Title,Organism,Type,Platform,Samples,Accession,FTP,Processing,Samples
Gene Expression Data from Human Peripheral Blood,Homo sapiens,Expression profiling by array,GPL570 2845 Samples,2845,"GSE203024	ID: 200203024","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE203nnn/GSE203024/",,blood
Characterizing transcriptomic differences between between primary colorectal adenocarcinomas and distant metastases reveals subtypes of metastatic colorectal cancer,Homo sapiens,Expression profiling by array,GPL15048 1135 Samples,1135,"GSE131418	ID: 200131418","GEO (CEL, CSV, TXT, XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131418/",,
Expression data from AstraZeneca internal cell lines,Homo sapiens,Expression profiling by array,GPL570 627 Samples,627,"GSE57083	ID: 200057083",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57083/,,cell line
Development of complete personalized treatment plans for early stage colorectal cancer patients,Homo sapiens,Expression profiling by array,GPL16686 593 Samples,593,"GSE81653	ID: 200081653",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81653/,,
"CRIS, a superior predictive and prognostic classification system of colorectal cancer based on high-resolution analysis of cancer cell-autonomous traits II",Homo sapiens,Expression profiling by array,GPL10558 529 Samples,529,"GSE76402	ID: 200076402",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76402/,,
Diverse somatic mutation patterns and pathway alterations in human cancers,Homo sapiens,Expression profiling by array; Genome variation profiling by genome tiling array,GPL9128 GPL5188 526 Samples,526,"GSE23768	ID: 200023768","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23768/",,
Differential genetic influences over colorectal cancer risk and gene expression in large bowel mucosa,Homo sapiens,Expression profiling by array,GPL10558 481 Samples,481,"GSE161023	ID: 200161023",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161023/,,
Expression data from colorectal cancer patients,Homo sapiens,Expression profiling by array,GPL96 390 Samples,390,"GSE41258	ID: 200041258","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41258/",,
Colorectal cancer susceptibility loci as predictive markers of rectal cancer prognosis after surgery,Homo sapiens,Expression profiling by array,GPL13497 363 Samples,363,"GSE87211	ID: 200087211",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87211/,,
In-depth clinical and biological exploration of DNA Damage Immune Response (DDIR) as a biomarker for oxaliplatin use in colorectal cancer,Homo sapiens,Expression profiling by array,GPL29069 361 Samples,361,"GSE156915	ID: 200156915",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156915/,,
A Precisely Regulated Gene Expression Cassette Potently Modulates Metastasis and Survival in Multiple Solid Cancers,Homo sapiens,Expression profiling by array,GPL96 341 Samples,341,"GSE5364	ID: 200005364",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5364/,,
Clinical Performance of a Stool RNA Assay for Early Detection of Precancerous Adenomas and Colorectal Cancer,Homo sapiens,Expression profiling by array,GPL17586 338 Samples,338,"GSE99573	ID: 200099573",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99573/,,
