"country","region","disease_type","year","epi_stage","incidence_rate"
"Puerto Rico","Southwest Puerto Rico (Guayama, Ponce, San German, Yauco, and Mayagüez)","CD",2000,2,1.96
"Spain","Northern Huelva (Andevalo, Cuenca Minera, Sierra)","CD",2000,3,4.816584464
"Romania","Romania","CD",2003,1,0.506406097
"Hong Kong","Shatin & Sai Kung Districts","CD",2000,1,0.985784981
"Sweden","Stockholm County","CD",2001,3,8.3
"Croatia","Primorsko-Goranska County","CD",2004,2,7.200595735
"Denmark","Copenhagen County","CD",2004,3,8.624716705
"France","Corsica","CD",2003,3,3.843256622
"Greece","Northwest Greece (6 prefectures: Ioannina, Arta, Preveza, Thesprotia, Lefkas, and Corfu)","CD",2003,2,2.2
"Hong Kong","Tuen Mun & Yuen Long districts","CD",2005,1,0.2406657455
"Spain","Navarre","CD",2003,3,5.091041873
"Barbados","Barbados","CD",2002,2,0.658355778
"Germany","Oberpfalz","CD",2005,2,5.142332415
"Bosnia and Herzegovina","Tuzla","CD",2006,2,5.0187394215
"Spain","Madrid","CD",2004,3,7.887768325
"Turkiye","Türkiye","CD",2002,2,2.2
"Brazil","Botucatu","CD",2003,2,3.5
"Spain","Campo Arañuelo (region within the province of Cáceres)","CD",2009,3,10.39
"Sri Lanka","Columbo And Gampaha","CD",2008,1,0.088888889
"Uruguay","Artigas, Salto, Lavalleja, San José, Montevideo","CD",2008,2,0.154871882
"Algeria","Constantine","CD",2007,2,9.83
"Lithuania","Kaunas Region","CD",2009,2,1.58
"France","Nord, Pas-de-Calais, Somme, Seine-Maritime","CD",2008,3,7.6
"Croatia","Zadar County","CD",2010,2,9.2
"China","Chengdu","CD",2012,2,0.142202166
"Thailand","Chiang Mai and Chiang Rai","CD",2012,1,0.3
"China","Xi'An","CD",2012,2,0.0685401645
"China","Zhongshan","CD",2012,2,1.1771968065
"Austria","Styria","CD",2007,3,6.6
"Sweden","Uppsala County","CD",2009,3,12.5
"Italy","Barletta-Andria-Trani Province (Apulia Region)","CD",2012,3,6.382978723
"Denmark","Aarhus","CD",2010,3,8.47004108
"England","Brent & Harrow","CD",2010,3,2.613586468
"Denmark","Fünen","CD",2010,3,10.73456906
"Greenland","Greenland","CD",2010,2,0
"Denmark","Herning","CD",2010,3,6.491820306
"England","Hull & East Yorkshire","CD",2010,3,8.351560947
"Iceland","Iceland","CD",2010,3,5.574668705
"Sweden","Linköping","CD",2010,3,9.757933548
"Ireland","Adelaide and Meath Hospital","CD",2010,2,4.763789338
"Russia","Moscow","CD",2010,2,0.784186103
"Sweden","Örebro","CD",2010,3,7.46293972
"Finland","Pirkanmaa","CD",2010,3,4.409225079
"Czech Republic","South Bohemia","CD",2010,3,3.847661904
"Estonia","Southern Estonia (Tartu, Polva, Voru and Valga Counties)","CD",2010,2,5.153027747
"Denmark","Viborg","CD",2010,3,8.645341491
"Croatia","Zagreb","CD",2010,2,3.148647656
"Spain","Ciudad Real","CD",2012,3,11.90806061
"Croatia","Vukovarsko-Srijemska County","CD",2011,2,1.5
"Denmark","Amager","CD",2011,3,5.2
"Israel","Beer Sheva","CD",2011,3,4.9
"Moldova","Chișinău","CD",2011,2,0.8
"Denmark","Herlev","CD",2011,3,3.8
"Greece","Ioannina","CD",2011,2,3.6
"Lithuania","Kaunas","CD",2011,2,1.4
"Australia","Melbourne","CD",2011,3,16
"Cyprus","Nicosia","CD",2011,2,5
"Italy","Northern Italy (Padua, Florence, Cremona and Crema, Forlì, and Reggio Emili)","CD",2011,3,3.3
"Czech Republic","Prague","CD",2011,3,5.5
"Romania","Timiș","CD",2011,2,2.8
"Portugal","Vale do Sousa","CD",2011,2,5.7
"Spain","Vigo","CD",2011,3,7.042139598
"Iran","Kerman","CD",2012,2,0.830468218
"Brazil","Piauí State","CD",2012,2,0.61
"Netherlands","Central Netherlands","CD",2009,3,20.7
"United States","Rhode Island","CD",2009,3,14.04759223
"Australia","Barwon Heads","CD",2011,3,14.65446143
"Canada","Alberta, Manitoba, Ontario, Nova Scotia","CD",2005,3,10.22961519
"Spain","Málaga","CD",2008,3,5.5028757295
"Czech Republic","Czech Republic","CD",2015,3,22.7
"Netherlands","South Limburg","CD",2010,3,17.49
"Bahrain","Bahrain","CD",2013,2,8
"New Zealand","Otago","CD",2013,3,6.9
"Brazil","São Paulo State","CD",2015,2,5.48
"Uruguay","Montevideo","CD",2011,2,0
"Uruguay","Salto","CD",2011,2,1.76
"Brazil","Espírito Santo","CD",2014,2,2.419531903
