"country","region","disease_type","year","epi_stage","incidence_rate"
"Puerto Rico","Southwest Puerto Rico (Guayama, Ponce, San German, Yauco, and Mayagüez)","IBD",2000,2,7.74
"Spain","Northern Huelva (Andevalo, Cuenca Minera, Sierra)","IBD",2000,3,11.238697082
"Romania","Romania","IBD",2003,1,1.477514259
"Hong Kong","Shatin & Sai Kung Districts","IBD",2000,1,2.147602994
"Croatia","Primorsko-Goranska County","IBD",2004,2,10.500595735
"Denmark","Copenhagen County","IBD",2004,3,23.191821955
"France","Corsica","IBD",2003,3,13.643561008
"Greece","Northwest Greece (6 prefectures: Ioannina, Arta, Preveza, Thesprotia, Lefkas, and Corfu)","IBD",2003,2,6.1
"Hong Kong","Tuen Mun & Yuen Long districts","IBD",2005,1,0.9991456095
"Spain","Navarre","IBD",2003,3,16.326444623
"Barbados","Barbados","IBD",2002,2,2.487121829
"Germany","Oberpfalz","IBD",2005,2,8.754208754
"Bosnia and Herzegovina","Tuzla","IBD",2006,2,10.6607157255
"Spain","Madrid","IBD",2004,3,15.550171841
"Turkiye","Türkiye","IBD",2002,2,6.6
"Brazil","Botucatu","IBD",2003,2,9.73
"Spain","Campo Arañuelo (region within the province of Cáceres)","IBD",2009,3,22.86
"Sri Lanka","Columbo And Gampaha","IBD",2008,1,0.755555556
"Uruguay","Artigas, Salto, Lavalleja, San José, Montevideo","IBD",2008,2,2.323078233
"Algeria","Constantine","IBD",2007,2,14.95
"Lithuania","Kaunas Region","IBD",2009,2,9.445
"France","Nord, Pas-de-Calais, Somme, Seine-Maritime","IBD",2008,3,12
"Croatia","Zadar County","IBD",2010,2,16.5
"China","Chengdu","IBD",2012,2,0.573808664
"Thailand","Chiang Mai and Chiang Rai","IBD",2012,1,0.66
"China","Xi'An","IBD",2012,2,0.713321315
"China","Zhongshan","IBD",2012,2,3.3214968655
"Austria","Styria","IBD",2007,3,11.5
"Sweden","Uppsala County","IBD",2009,3,33.9
"Italy","Barletta-Andria-Trani Province (Apulia Region)","IBD",2012,3,19.148936173
"Denmark","Aarhus","IBD",2010,3,21.17004108
"England","Brent & Harrow","IBD",2010,3,19.863257158
"Denmark","Fünen","IBD",2010,3,30.70586033
"Greenland","Greenland","IBD",2010,2,24
"Denmark","Herning","IBD",2010,3,21.206612996
"England","Hull & East Yorkshire","IBD",2010,3,18.095048718
"Iceland","Iceland","IBD",2010,3,28.674668705
"Sweden","Linköping","IBD",2010,3,38.334738938
"Ireland","Adelaide and Meath Hospital","IBD",2010,2,13.163789338
"Russia","Moscow","IBD",2010,2,5.09720967
"Sweden","Örebro","IBD",2010,3,26.45951355
"Finland","Pirkanmaa","IBD",2010,3,26.210393519
