"country","region","disease_type","year","epi_stage","incidence_rate"
"Turkiye","Trakya (Edirne, Tekirdag and Kirklareli provinces)","UC",2001,2,0.595829787
"Puerto Rico","Southwest Puerto Rico (Guayama, Ponce, San German, Yauco, and Mayagüez)","UC",2000,2,5.78
"Spain","Northern Huelva (Andevalo, Cuenca Minera, Sierra)","UC",2000,3,6.422112618
"Romania","Romania","UC",2003,1,0.971108162
"Hong Kong","Shatin & Sai Kung Districts","UC",2000,1,1.161818013
"Croatia","Primorsko-Goranska County","UC",2004,2,3.3
"Denmark","Copenhagen County","UC",2004,3,14.56710525
"France","Corsica","UC",2003,3,9.800304386
"Greece","Northwest Greece (6 prefectures: Ioannina, Arta, Preveza, Thesprotia, Lefkas, and Corfu)","UC",2003,2,3.9
"Spain","Costa Del Sol","UC",2001,3,7.842801734
"Spain","Navarre","UC",2003,3,11.23540275
"Barbados","Barbados","UC",2002,2,1.828766051
"Hong Kong","Tuen Mun & Yuen Long districts","UC",2006,1,0.3825817055
"Germany","Oberpfalz","UC",2005,2,3.611876339
"Bosnia and Herzegovina","Tuzla","UC",2006,2,5.641976304
"Hong Kong","Shatin district","UC",2006,1,2.1
"Spain","Madrid","UC",2004,3,7.662403516
"Turkiye","Türkiye","UC",2002,2,4.4
"Brazil","Botucatu","UC",2003,2,6.23
"Spain","Campo Arañuelo (region within the province of Cáceres)","UC",2009,3,12.47
"Sri Lanka","Columbo And Gampaha","UC",2008,1,0.666666667
"Sweden","Uppsala","UC",2007,3,19.7182389933333
"Uruguay","Artigas, Salto, Lavalleja, San José, Montevideo","UC",2008,2,2.168206351
"Algeria","Constantine","UC",2007,2,5.12
"Lithuania","Kaunas Region","UC",2009,2,7.865
"France","Nord, Pas-de-Calais, Somme, Seine-Maritime","UC",2008,3,4.4
"Croatia","Zadar County","UC",2010,2,7.3
"China","Chengdu","UC",2012,2,0.431606498
"Thailand","Chiang Mai and Chiang Rai","UC",2012,1,0.36
"China","Xi'An","UC",2012,2,0.6447811505
"China","Zhongshan","UC",2012,2,2.144300059
"Austria","Styria","UC",2007,3,4.9
"Sweden","Uppsala County","UC",2009,3,21.4
"Italy","Barletta-Andria-Trani Province (Apulia Region)","UC",2012,3,12.76595745
"Denmark","Aarhus","UC",2010,3,12.7
"England","Brent & Harrow","UC",2010,3,17.24967069
"Denmark","Fünen","UC",2010,3,19.97129127
"Greenland","Greenland","UC",2010,2,24
"Denmark","Herning","UC",2010,3,14.71479269
"England","Hull & East Yorkshire","UC",2010,3,9.743487771
"Iceland","Iceland","UC",2010,3,23.1
"Sweden","Linköping","UC",2010,3,28.57680539
"Ireland","Adelaide and Meath Hospital","UC",2010,2,8.4
"Russia","Moscow","UC",2010,2,4.313023567
"Sweden","Örebro","UC",2010,3,18.99657383
"Finland","Pirkanmaa","UC",2010,3,21.80116844
