"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"KRT80",2.33522655202014,5.4337113548172,11.2233146982819,1.47027392586355e-18,3.29914766224522e-14,31.5233377045443,"Up"
"CCT3",0.674873749812757,11.1482776254218,9.46427636468956,5.33080852755446e-15,5.98090062748972e-11,23.6543755392327,"Not Sig"
"SNRPB",0.766309633834164,10.8918005275798,9.13230666571361,2.53739930560691e-14,1.5839193211442e-10,22.1525866678502,"Not Sig"
"NPM1",0.624850429781414,12.2647225414943,9.09234613944606,3.06180343817602e-14,1.5839193211442e-10,21.9717012037691,"Not Sig"
"NME1",1.07673216488958,11.1734351005755,9.0621157760562,3.52938928014663e-14,1.5839193211442e-10,21.8348527369298,"Up"
"TMEM147",0.625093014020862,10.4343157278508,8.94587639985996,6.0956108988173e-14,2.27695040929662e-10,21.3086239649678,"Not Sig"
"SLC23A1",-2.13540851448763,6.4732992455573,-8.91333486202391,7.10310301933079e-14,2.27695040929662e-10,21.1613048184579,"Down"
"PRR7",1.06842091399351,5.67604979906499,8.61840655617297,2.83924508089092e-13,6.32002946447681e-10,19.8265740844778,"Up"
"SMKR1",1.66020879216136,4.81796266329372,8.60933349924533,2.96279722773637e-13,6.32002946447681e-10,19.7855354855165,"Up"
"NME1-NME2",0.742801476305861,11.7416980571962,8.59742324318143,3.13317173934858e-13,6.32002946447681e-10,19.7316667762408,"Not Sig"
"TMEM201",0.551786128204379,6.7953039930061,8.59317313782791,3.19630899016536e-13,6.32002946447681e-10,19.7124448595401,"Not Sig"
"KIF26B",0.581590277361056,5.34442913406978,8.56110344405709,3.71552906015611e-13,6.32002946447681e-10,19.5674180182879,"Not Sig"
"CCNE1",0.82188022867487,7.74899208067901,8.54160467332775,4.07155962284731e-13,6.32002946447681e-10,19.479253056698,"Not Sig"
"NOP56",0.786586562896694,8.94950513718727,8.5361689721401,4.17674791301937e-13,6.32002946447681e-10,19.4546770405172,"Not Sig"
"ALKAL2",-2.28091952621593,6.56957819152274,-8.53373081816141,4.22480689723928e-13,6.32002946447681e-10,19.4436538726953,"Down"
"MSX2",1.57373822423511,4.81399816359867,8.50180306058365,4.90752919918129e-13,6.88250298127681e-10,19.2993208035756,"Up"
"VSTM2A",-1.60438798288532,4.97456714888519,-8.42421956543338,7.06122917614936e-13,8.49860765931241e-10,18.9487299399269,"Down"
"C16orf89",-1.2638491556285,5.95313418388278,-8.42352117202153,7.08438727680464e-13,8.49860765931241e-10,18.9455749143213,"Down"
"CCT7",0.577151076996754,10.9591216111896,8.42018353580729,7.19611148121287e-13,8.49860765931241e-10,18.9304972262354,"Not Sig"
"ALKBH2",0.802555914186003,6.99149381910779,8.35575962535676,9.73258727974615e-13,1.09194762985112e-09,18.6395461162077,"Not Sig"
"SCARA5",-1.73640814355946,7.74752257981955,-8.31576234818684,1.17381528446537e-12,1.21026434941267e-09,18.4589946336588,"Down"
"AGTRAP",0.59134196957,7.13806115501246,8.3134517905007,1.18658655408346e-12,1.21026434941267e-09,18.4485666532781,"Not Sig"
"RUNDC3B",-1.94050128934821,6.85760234361838,-8.28513919944743,1.35480868934923e-12,1.32176313827424e-09,18.3208059454186,"Down"
"NOLC1",0.798262023663071,8.66887679920274,8.24791678357801,1.61268564004541e-12,1.48233595700591e-09,18.1528960225819,"Not Sig"
"INHBA",2.38770353747076,5.77664081038246,8.24283265153829,1.6515173994005e-12,1.48233595700591e-09,18.1299667189047,"Up"
"CNTN4",-1.32959303310872,6.02002828983966,-8.18499859015608,2.16464916222927e-12,1.86817548274087e-09,17.8692284733964,"Down"
"PSMD8",0.411181377690941,10.7568427746088,8.17325621203575,2.28683699798312e-12,1.90053094065715e-09,17.8163106997538,"Not Sig"
"LRP8",1.35061442525963,7.2102446211899,8.14488482015765,2.61120251411069e-12,2.09259904336178e-09,17.6884844319409,"Up"
"SCN4B",-1.3581032617629,5.43757123196868,-8.1300529741998,2.79863918754867e-12,2.16547119756568e-09,17.6216781166677,"Down"
"SLC17A4",-2.14346712399295,7.14445907334258,-8.1064410930465,3.12509598633815e-12,2.33746762791472e-09,17.5153506547501,"Down"
