"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"SLC6A14",6.18788710563178,7.99769691572021,12.2200021139167,1.56548366015952e-20,3.51278878503195e-16,36.0771792417723,"Up"
"LCN2",4.1506148753293,12.105954223263,11.742595917805,1.36310716094716e-19,1.52933807922466e-15,33.9842434173835,"Up"
"LPCAT1",2.13133295456577,8.56355473970577,11.5317732494761,3.56949357949601e-19,2.6698622143437e-15,33.052395660663,"Up"
"DUOXA2",4.26565927912641,8.95313197691208,11.2998821470834,1.03385811232263e-18,5.79968554560185e-15,32.0223942830146,"Up"
"DUOX2",5.48880720359181,9.4678367741311,11.2123763935592,1.54619365909734e-18,6.93900790329703e-15,31.6324078851235,"Up"
"DEPDC7",-2.07502386325849,6.88877711162482,-11.1010916208569,2.58203350289344e-18,9.65637496190433e-15,31.1354523692984,"Down"
"AUH",-0.892459830987557,9.61491287323514,-10.8795714437162,7.18638543772446e-18,2.09055359807879e-14,30.1430632357481,"Not Sig"
"SGMS1",1.57856721161112,8.68453473991707,10.8716943525608,7.45328614672237e-18,2.09055359807879e-14,30.107700092412,"Up"
"SLC16A1",-2.21878395332004,8.03638535332029,-10.6350470211304,2.23370604704809e-17,5.56912555441246e-14,29.043057017843,"Down"
"GALNT2",0.891070760777688,7.48163695679091,10.4749434965093,4.70368336875339e-17,1.05545951111457e-13,28.3204492641526,"Not Sig"
"CFB",1.41445745763355,7.16786564660567,10.3016096552415,1.05519052375735e-16,2.15249274205374e-13,27.5362048456248,"Up"
"ADM",1.87260215879165,10.9995259980511,10.275159691653,1.1938227129483e-16,2.23234898798724e-13,27.4163685261308,"Up"
"PDZK1IP1",2.67038055164508,10.291921079477,10.121113856089,2.45173435290591e-16,4.23188208806583e-13,26.7176357587157,"Up"
"TNIP3",4.05122223657045,5.9105773419574,10.0685217017674,3.1353747817135e-16,5.02533390906209e-13,26.4787883595879,"Up"
"ACSF2",-1.6486875616886,8.38925512511203,-10.0332350672258,3.69818249326044e-16,5.53223446441807e-13,26.3184547121524,"Down"
"KCND3",1.04191211907969,5.76725561555712,9.93692502083429,5.80496741977317e-16,8.14110399576813e-13,25.8805382268037,"Up"
"ZC3H12A",1.90722084448876,8.32883253954655,9.91409872483236,6.46000861740221e-16,8.52683137446401e-13,25.7766853019717,"Up"
"NUCB2",1.12282907834157,8.50922938808154,9.86875181868133,7.98921390594644e-16,9.95944282419623e-13,25.5703023119951,"Up"
"PDK2",-0.902481844516284,7.21895823224032,-9.83864689055852,9.19982321432013e-16,1.08649912161121e-12,25.4332404141018,"Not Sig"
"PHLPP2",-1.2112247380818,6.86326300779653,-9.82363869515516,9.87034730779039e-16,1.10740361619754e-12,25.3648970889855,"Down"
"GXYLT2",-1.68713398354092,6.31039317203446,-9.80162756585173,1.09432892053945e-15,1.16931650704689e-12,25.2646479258394,"Down"
"SCUBE2",-2.0427124198097,6.82554268573047,-9.7815404616633,1.20240917163367e-15,1.226402700104e-12,25.1731450977338,"Down"
"CXCL1",4.02727045063095,9.88372353449599,9.75321413089019,1.37323426608624e-15,1.32813132726761e-12,25.044083938396,"Up"
"CHI3L1",5.03601478802754,7.83791084708839,9.74599545384717,1.42052461582168e-15,1.32813132726761e-12,25.0111892305497,"Up"
"CXCL3",3.93960765575541,9.34690581252489,9.71318955030855,1.65684550494226e-15,1.46839704109624e-12,24.8616725910129,"Up"
"ACAT1",-0.597803455602234,6.4087261994313,-9.70752997608106,1.70142711656055e-15,1.46839704109624e-12,24.8358745711684,"Not Sig"
"PADI2",-1.89620771027264,6.78691411626558,-9.69811977101333,1.77822823038926e-15,1.47783938006313e-12,24.7929775973303,"Down"
"PRKG2",-1.40542443335688,4.74874799074668,-9.68055874662222,1.93095769975671e-15,1.54745570803003e-12,24.7129165232332,"Down"
"RUNDC3B",-2.15133697678609,6.85760234361838,-9.67121907160811,2.01746696728602e-15,1.56103245789418e-12,24.6703325215863,"Down"
