"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"EPHX1",-2.80016762757835,7.11196915689099,-20.2496649095536,1.44662927828062e-34,3.24609143753389e-30,68.0383164534858,"Down"
"TCIRG1",1.78980345701494,9.09803036059512,18.6119913741188,5.5193474485552e-32,6.19243186990651e-28,62.2313907480941,"Up"
"PCGF1",-1.19153212138396,7.01267734490776,-17.6715005117014,1.94010693800563e-30,1.11977791668807e-26,58.7436792883901,"Down"
"BSG",-2.70716085244573,9.89969784157561,-17.6640940791636,1.99612802119181e-30,1.11977791668807e-26,58.7157602225763,"Down"
"CTSZ",3.74401606856306,10.3788375992584,16.980866027146,2.84083549503173e-29,1.27491015346034e-25,56.1094877481536,"Up"
"GNA13",-1.27927344088276,8.88320519921481,-16.7354092114269,7.48164158395845e-29,2.70017249771688e-25,55.1582053525808,"Down"
"DDX42",-1.02555168986024,6.61400986278366,-16.6911395853384,8.91657822579207e-29,2.70017249771688e-25,54.9857909227305,"Down"
"API5P1",-1.76270794757721,7.29128604448854,-16.6718251282719,9.62671241219977e-29,2.70017249771688e-25,54.9104870090861,"Down"
"ZNF317",-1.18260310949696,6.74409971290687,-16.619364646598,1.18569688770694e-28,2.95620582925067e-25,54.705703784467,"Down"
"FBXW11",-1.36669319474532,7.23087309415529,-16.4486173450289,2.34189416140911e-28,4.8903473700083e-25,54.0366639257209,"Down"
"IPO8",-0.956703328119204,8.10077287960081,-16.4427640234543,2.39733593609748e-28,4.8903473700083e-25,54.0136605647564,"Not Sig"
"EXOC5P1",-2.79016698122074,6.21034011286278,-16.1957038997282,6.46191908839979e-28,1.20832502020502e-24,53.0385927290673,"Down"
"CSNK1G2",1.06011120591805,8.72772216863801,16.1662894315927,7.27539210355088e-28,1.25578864162752e-24,52.9219655061304,"Up"
"TRAPPC1",-1.83541651311468,8.01382811737142,-16.0834454368794,1.01658943561237e-27,1.61040532186796e-24,52.5928772704129,"Down"
"NCOA2",-1.21066865568727,6.46979373120083,-16.0692820063702,1.07652211899012e-27,1.61040532186796e-24,52.5365238083103,"Down"
"EI24",1.11688416663553,10.1062474435779,15.9090980767582,2.06134384335e-27,2.89090590630817e-24,51.8973370667588,"Up"
"SEPTIN2",-0.886383118023373,7.8126130849798,-15.8255643144626,2.89627105915894e-27,3.82290742920397e-24,51.5626636864551,"Not Sig"
"ABCD3",-1.92472299588552,9.13880805951947,-15.793731785626,3.29777557595813e-27,4.11104367494025e-24,51.4348856823996,"Down"
"EDIL3",-1.64557070644162,7.27204697193503,-15.5766023802599,8.02225189465063e-27,8.68232077661571e-24,50.559742038718,"Down"
"CPNE3",-1.34428321187159,9.76965645897694,-15.5756732250574,8.05293169038693e-27,8.68232077661571e-24,50.5559836869317,"Down"
"ZMYND11",-0.823591019789132,7.26423835471749,-15.5734887145185,8.12552860238558e-27,8.68232077661571e-24,50.5471470834705,"Not Sig"
"KLHDC3",-1.17607587240987,7.78963252208561,-15.555897682034,8.7346838955563e-27,8.90898054238127e-24,50.4759663256335,"Down"
"BANF1",-1.33836114105115,9.10194918525332,-15.4592172175315,1.30047712210329e-26,1.26875678882068e-23,50.084027669316,"Down"
"UHMK1",-1.40019735247292,8.32192604753969,-15.4164330154119,1.55153508290295e-26,1.39578646479024e-23,49.9101889693142,"Down"
"RBM22",-0.766353474394384,9.02740072805672,-15.4158786827401,1.55508987119551e-26,1.39578646479024e-23,49.9079350490167,"Not Sig"
"PRKCSH",-1.19010386585142,8.59290528735098,-15.3885860916619,1.74064739620433e-26,1.50224565090112e-23,49.7969131418583,"Down"
"PNRC2P1",-1.47165139973896,9.36617082064343,-15.3266091585856,2.24922459767667e-26,1.86927224989877e-23,49.5444366485286,"Down"
"API5",-0.926548941880651,8.04705608930269,-15.269927722369,2.84464861829825e-26,2.27968108378552e-23,49.3130900611027,"Not Sig"
"TWF1P1",-3.05675670769948,8.32304153243506,-15.2598869790643,2.96561643302388e-26,2.29467128071113e-23,49.2720644926313,"Down"
"PPP3R1",1.55321377672343,8.3695709574418,15.2497546368101,3.09294330870515e-26,2.31341849680116e-23,49.2306512268282,"Up"
"MED20",-0.761672156083392,6.96952987773566,-15.213449996784,3.59611844808083e-26,2.60300973730599e-23,49.0821548704566,"Not Sig"
"TECPR1",0.62395659456972,7.64489618085166,15.1559991731871,4.56639709117573e-26,3.20204326027788e-23,48.8468109319637,"Not Sig"
"SLC39A7",1.45799869047764,8.87580629836719,15.0634285445456,6.71601567533645e-26,4.56668714360226e-23,48.4666899960106,"Up"
"CD46",-1.79320434294216,9.78894532861467,-15.0031136341428,8.64023270965514e-26,5.70229946388093e-23,48.21841616815,"Down"
"DSG2-AS1",-1.52192863976458,5.6546871458047,-14.9917444317733,9.06091418095303e-26,5.80908152304014e-23,48.1715638904431,"Down"
"DHX9",-1.69493913132113,6.9170372994931,-14.9246263321026,1.20006180203776e-25,7.48005188220144e-23,47.8946271738045,"Down"
"GOLGA7",-0.661074486387728,9.91959753231071,-14.8712893346781,1.50091122554829e-25,9.10241810542651e-23,47.674133419995,"Not Sig"
"TOX4P1",-1.74225734827301,6.10077641534758,-14.8309262712211,1.77819091474536e-25,1.05002173515713e-22,47.5070270181705,"Down"
"YTHDF3",-1.24280204360467,9.22119757501529,-14.8188350513249,1.87089953321315e-25,1.0764388365582e-22,47.4569270654204,"Down"
"KRAS",-0.584450984537985,6.83301282893509,-14.6540935045693,3.74606777174669e-25,2.1014503682556e-22,46.7724271774247,"Not Sig"
"ATP6V1A",-1.37873093116812,9.60670634402832,-14.6244131677468,4.24674921676144e-25,2.32421477255878e-22,46.6487312936097,"Down"
"DGKZP1",1.0445477546044,7.93770644451569,14.4610836899784,8.48631803851811e-25,4.52611605179572e-22,45.9660018054937,"Up"
"HTATSF1",-0.822189513832618,8.27295687788686,-14.4559512934414,8.67342529645778e-25,4.52611605179572e-22,45.9444922649482,"Not Sig"
"REX1BD",0.870830696955153,8.71075517976888,14.4480024638836,8.97144187927707e-25,4.57523146202496e-22,45.9111725479105,"Not Sig"
"FBXO38",-0.683822206751161,7.72326969184235,-14.4300719335818,9.68211412140642e-25,4.82793241711641e-22,45.8359819348261,"Not Sig"
"CDH1",-2.31368298967403,9.88420277898032,-14.2881562503158,1.77265330034123e-24,8.64707987094714e-22,45.2394115566367,"Down"
"CNOT1",-0.926829436057341,8.44455515848023,-14.2369199495382,2.20656644315013e-24,1.05025839329932e-21,45.0233966531186,"Not Sig"
"VPS35P1",-1.67734803213074,9.06213971676958,-14.2327115788768,2.24664213549479e-24,1.05025839329932e-21,45.005639060245,"Down"
"HIPK3",-1.32753736792896,7.30946841509896,-14.1239143150834,3.58055380079313e-24,1.63967442318361e-21,44.5457770886722,"Down"
"C5orf22",-1.12961953554091,7.63550775064227,-14.1064400953596,3.85940048398969e-24,1.73202174920489e-21,44.4717773245421,"Down"
"SNORA4",-2.4094115506368,5.44127578417511,-14.0630273273726,4.65056855216263e-24,2.00680976426879e-21,44.2877657197846,"Down"
"SNORA63",-2.4094115506368,5.44127578417511,-14.0630273273726,4.65056855216263e-24,2.00680976426879e-21,44.2877657197846,"Down"
"YWHAE",-1.72117514202448,9.22612920422246,-14.050859900095,4.90029607378249e-24,2.07467440753972e-21,44.2361494658767,"Down"
"EXOC4",-0.802739883230212,6.78800852062072,-14.0312188829922,5.33222195844716e-24,2.21573571343696e-21,44.1527895409467,"Not Sig"
"RC3H2",-0.734168229547873,7.08807457396473,-13.9926910664827,6.29405975521248e-24,2.5678619426766e-21,43.989129355577,"Not Sig"
"RNF6",-0.803460020286535,6.28382989109088,-13.9511538350095,7.52778990265467e-24,3.01635852902979e-21,43.8124762380979,"Not Sig"
"CSNK2A3",-1.27133997975395,7.98349626216305,-13.919308468758,8.63630119926413e-24,3.39982390544365e-21,43.6768946792802,"Down"
"QSER1",-1.14586487747741,7.16847427772776,-13.8957571289414,9.56058011338749e-24,3.69879064076383e-21,43.5765430853912,"Down"
"ZNF644",-1.08645520042499,8.15128747350226,-13.8664193734628,1.08525215573276e-23,4.12745307160802e-21,43.451438576674,"Down"
"CGGBP1",-0.566335141896429,9.42516252371276,-13.86037745416,1.11396807982863e-23,4.16605495721245e-21,43.4256607496496,"Not Sig"
"CREB1",-0.674704158351613,8.21497540304692,-13.8463916061482,1.18340887928838e-23,4.35319866268066e-21,43.3659726771819,"Not Sig"
"ACTR2",-1.24257292920595,10.2271137488746,-13.8170142117759,1.34379212926054e-23,4.86344380459311e-21,43.2405178471609,"Down"
"CLINT1",-1.00736321062701,8.45392307236674,-13.8057294357695,1.41106546632221e-23,5.025856825207e-21,43.1922981120002,"Down"
"EIF4A2",-1.19297629322021,9.28271704623782,-13.7970899211311,1.46485196906819e-23,5.13590833342519e-21,43.1553708300913,"Down"
"FOXJ3",-0.819412657508785,7.23873138841987,-13.7070380017749,2.16455764995133e-23,7.42296848335224e-21,42.769915820941,"Not Sig"
"PNRC2",-0.9225526170921,10.60142854774,-13.7050497187342,2.18332332056352e-23,7.42296848335224e-21,42.7613938975897,"Not Sig"
"TOX4",-0.69164989795762,7.68244652661524,-13.6727648164998,2.51200180662563e-23,8.41295649833917e-21,42.6229500709424,"Not Sig"
"SPAG9",-0.830041312629318,7.4533925614374,-13.5965482735137,3.49952782412484e-23,1.15479271831672e-20,42.2956088750179,"Not Sig"
"NRIP1",-1.34710160816628,9.82285282554722,-13.5864186282506,3.65737309367156e-23,1.18938833114342e-20,42.2520494220258,"Down"
"SUPT5H",0.642579847259894,8.72006590421667,13.5448278907212,4.38421863812076e-23,1.38925931106505e-20,42.0730692098897,"Not Sig"
"NXT2",-1.23523629970396,7.84624020508896,-13.5442228074184,4.39580244599219e-23,1.38925931106505e-20,42.0704637505253,"Down"
"CMTM4",-1.66089684803927,8.68819318625301,-13.5266329151784,4.74635034682756e-23,1.47921326989533e-20,41.9947029541249,"Down"
"HNRNPL",1.09085378822005,8.8401430035781,13.5167957820528,4.95452305179053e-23,1.52026555806109e-20,41.9523173006091,"Up"
"ARFIP1",-1.33109723146607,9.15863501596808,-13.5140808727025,5.01357686601544e-23,1.52026555806109e-20,41.9406173797813,"Down"
"SCAMP1",-1.1146663814732,7.70903805334677,-13.4988248787269,5.35884107352144e-23,1.6032937979833e-20,41.8748548361342,"Down"
"R3HCC1L",-0.855584982095567,5.9195600329448,-13.4050046921071,8.0761412479737e-23,2.38448070346423e-20,41.4698104890873,"Not Sig"
"DDAH1",-0.949982375559353,9.15061407566917,-13.3737714438624,9.25988286823955e-23,2.69847417766789e-20,41.3347322445992,"Not Sig"
"RARS2",-0.600300034415959,6.82720264601416,-13.3602616379105,9.82459904842159e-23,2.826335615994e-20,41.2762682281894,"Not Sig"
"PABPN1P1",0.714131891219245,7.6792630040556,13.3289848029472,1.12686214831867e-22,3.20071642355982e-20,41.1408325341849,"Not Sig"
"TMEM192",-1.38612233548579,8.3364650021231,-13.3242797433125,1.15036131148133e-22,3.22661968354119e-20,41.1204483840082,"Down"
"PGRMC1",-0.978198059188497,11.1699079435039,-13.3173620641923,1.18580966991643e-22,3.28498557817959e-20,41.0904734716648,"Not Sig"
"SOS2",-1.21430919182555,6.99972108036164,-13.3092969153214,1.22852820465143e-22,3.36182248587482e-20,41.055519212226,"Down"
"KLHL12P1",-1.1985011254188,6.73997817567295,-13.2959277148245,1.3027789803058e-22,3.48984406350139e-20,40.9975600542762,"Down"
"SLC39A14",-0.866395290469198,6.19498547799786,-13.2952925340002,1.30641695857265e-22,3.48984406350139e-20,40.9948058372279,"Not Sig"
"SNX27",-0.702026047032533,7.73423549217672,-13.2868686960187,1.35564208569764e-22,3.57873561893758e-20,40.9582745327387,"Not Sig"
"ERI3",-1.32819262922293,6.71455483135569,-13.2772167051884,1.41434265463998e-22,3.68011512635089e-20,40.9164066956044,"Down"
"GFM2",-1.19705505333401,7.21837506519007,-13.2720838196615,1.44659414718609e-22,3.68011512635089e-20,40.8941370231746,"Down"
"NUCB1",-1.12785866177834,7.53035424842095,-13.2713520723248,1.45125181238527e-22,3.68011512635089e-20,40.8909619880531,"Down"
"KITLG",-1.29399126751896,6.58048293527842,-13.2700390461908,1.4596472491877e-22,3.68011512635089e-20,40.8852646367418,"Down"
"PSEN1",-0.964952850497394,6.76328754285684,-13.2426885867056,1.64607651300174e-22,4.104034541694e-20,40.7665413972899,"Not Sig"
"TYK2",0.783551337993826,8.75104845625316,13.2273652100293,1.76081331922653e-22,4.34185605166198e-20,40.6999864372324,"Not Sig"
"BPTFP1",1.31907155355297,9.65815904504704,13.177067393937,2.19710629206205e-22,5.35879000951959e-20,40.4813283441923,"Up"
"OSBP",-0.708426054656043,9.15950453088671,-13.1198212458632,2.82764131743006e-22,6.8225208087971e-20,40.23209884871,"Not Sig"
"VAMP3",-0.980880170407241,10.3500737707755,-13.1158173393624,2.87802276587254e-22,6.87020774929935e-20,40.2146527613184,"Not Sig"
"CTNNA1",-0.976069239548206,9.50753660559477,-13.0961971417051,3.13827042997429e-22,7.41259475559928e-20,40.1291350111035,"Not Sig"
"SH3D19",-1.07826105406289,8.39650056060361,-13.0804599382624,3.36402960478078e-22,7.86306878142458e-20,40.0605091523166,"Down"
"SNAP23",-1.09629467627494,7.9410553115504,-12.9791377115216,5.26498384102652e-22,1.21794816916283e-19,39.6179742050672,"Down"
"TRAK2",-1.13804031368848,9.32285243047163,-12.9753591962901,5.35379287007855e-22,1.22585467562952e-19,39.6014479880476,"Down"
"TWF1",-1.44225451988556,9.63712772013811,-12.9410397516234,6.23269496137092e-22,1.40499146233688e-19,39.4512679730756,"Down"
