"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006805","xenobiotic metabolic process","19/292","126/18805",0.150793650793651,9.71121439443357,12.3215490534746,8.51235313742172e-14,2.66096159075803e-10,2.37987472978864e-10,"UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A3/UGT1A8/UGT1A7/NAT2/UGT1A10/SULT1B1/GSTA1/BCHE/UGT2B17/SULT1A4/FMO5/SULT1A2/ABCB1/CES2/FMO4",19
"GO:0071466","cellular response to xenobiotic stimulus","20/292","198/18805",0.101010101010101,6.5051196900512,9.78001066527725,3.78872148347979e-11,5.92177167867891e-08,5.29623382111701e-08,"UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A3/UGT1A8/UGT1A7/NAT2/UGT1A10/SULT1B1/GSTA1/BCHE/UGT2B17/SULT1A4/FMO5/ADIPOQ/SULT1A2/ABCB1/CES2/FMO4",20
"GO:0009812","flavonoid metabolic process","7/292","12/18805",0.583333333333333,37.5670662100457,15.9133212682472,1.50147834973481e-10,1.42649563948642e-07,1.27580981866045e-07,"UGT1A9/UGT1A1/UGT1A8/UGT1A7/UGT1A10/SULT1B1/SULT1A4",7
"GO:0042445","hormone metabolic process","21/292","240/18805",0.0875,5.63505993150685,9.07594059142157,1.82533031284251e-10,1.42649563948642e-07,1.27580981866045e-07,"DHRS11/UGT2B15/UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7/ADH1C/SULT1B1/ADH1B/AKR1C3/GHR/MEP1A/BCHE/BMP5/HSD17B2/UGT2B17/AKR1B10/SCNN1B/HSD3B2/DHRS9",21
"GO:0009410","response to xenobiotic stimulus","28/292","453/18805",0.0618101545253863,3.98061628715716,8.06476315134603,5.69312279362085e-10,3.55934037057175e-07,3.18335455575936e-07,"UGT2B15/OTC/UGT1A9/UGT1A6/UGT1A1/UGT1A3/UGT1A8/UGT1A7/NAT2/SST/UGT1A10/SULT1B1/C1orf115/SFRP1/GSTA1/BCHE/HSD11B2/UGT2B17/HMGCS2/PDE3A/SULT1A4/FMO5/SCNN1B/ADIPOQ/SULT1A2/ABCB1/CES2/FMO4",28
"GO:0006066","alcohol metabolic process","25/292","368/18805",0.0679347826086956,4.37504653067302,8.21176840597554,7.21949035655491e-10,3.76135447576511e-07,3.36402919070348e-07,"UGT1A4/UGT1A3/ADH1C/SULT1B1/ADH1B/P2RY1/AKR1C3/GDPD3/BMP5/IGF1/NR1H4/VLDLR/HSD11B2/PCK1/EPHX2/AQP8/HMGCS2/AKR1B10/PLPP1/SULT1A4/FMO5/SCNN1B/SULT1A2/MOGAT2/DHRS9",25
"GO:0042573","retinoic acid metabolic process","9/292","33/18805",0.272727272727273,17.5638231631382,11.9602547162171,1.2909530341949e-09,5.76502740699036e-07,5.15604700574684e-07,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7/ADH1C/ADH1B/AKR1C3/DHRS9",9
"GO:0042180","ketone metabolic process","19/292","227/18805",0.0837004405286344,5.39036569911291,8.35780612029862,2.88919915094545e-09,1.00947072764674e-06,9.02836735235792e-07,"UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A7/UGT1A10/AKR1C3/BMP5/NR1H4/HSD11B2/PDK4/AKR1B10/FABP1/SCNN1B/ADIPOQ/FMO4/DHRS9",19
"GO:0008202","steroid metabolic process","23/292","335/18805",0.0686567164179104,4.42153956246166,7.93576261626994,2.9063456650098e-09,1.00947072764674e-06,9.02836735235792e-07,"DHRS11/UGT2B15/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A7/AKR1C3/BMP5/NR1H4/VLDLR/HSD11B2/HSD17B2/EPHX2/UGT2B17/AQP8/HMGCS2/SULT1A4/FMO5/SCNN1B/SULT1A2/HSD3B2/DHRS9",23
"GO:0010565","regulation of ketone metabolic process","15/292","142/18805",0.105633802816901,6.80288925332819,8.71717717077225,6.00151376928433e-09,1.87607320427828e-06,1.6778969022336e-06,"UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A7/UGT1A10/AKR1C3/BMP5/NR1H4/PDK4/FABP1/ADIPOQ/FMO4",15
