"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005903","brush border","13/316","109/19880",0.119266055045872,7.50319358959471,8.65242003872063,1.9260956585578e-08,4.1175693186349e-06,3.64992294172623e-06,"SLC9A3/TRPM6/SI/SLC26A3/SLC22A5/AQP8/CDHR2/SLC17A4/ABCG2/SCIN/CA4/MYO1A/ITLN1",13
"GO:0031526","brush border membrane","10/316","60/19880",0.166666666666667,10.4852320675105,9.35155305436787,3.33406422561531e-08,4.1175693186349e-06,3.64992294172623e-06,"SLC9A3/TRPM6/SLC26A3/SLC22A5/AQP8/CDHR2/SLC17A4/ABCG2/CA4/ITLN1",10
"GO:0016324","apical plasma membrane","23/316","413/19880",0.0556900726392252,3.50354001287277,6.53419407327674,2.19148101768255e-07,1.35949943285359e-05,1.20509645017493e-05,"CEACAM7/SLC9A3/TRPM6/SI/ECRG4/P2RY1/SLC26A2/SLC23A1/SCNN1G/SLC26A3/SORBS2/ENPP3/SLC22A5/AQP8/CDHR2/SLC17A4/ABCG2/PLPP1/SCNN1B/ABCB1/CA4/MYO1A/CLCA4",23
"GO:0045177","apical part of cell","25/316","479/19880",0.0521920668058455,3.28347559525383,6.42930537945223,2.20161851474266e-07,1.35949943285359e-05,1.20509645017493e-05,"CEACAM7/SLC9A3/TRPM6/SI/ECRG4/P2RY1/SLC26A2/SLC23A1/SCNN1G/SLC26A3/SORBS2/ENPP3/CA2/SLC22A5/AQP8/CDHR2/SLC17A4/ABCG2/PLPP1/FABP1/SCNN1B/ABCB1/CA4/MYO1A/CLCA4",25
"GO:0098862","cluster of actin-based cell projections","13/316","173/19880",0.0751445086705202,4.72744567205678,6.25800774992834,4.17673615185294e-06,0.000206330765901535,0.000182897077807455,"SLC9A3/TRPM6/SI/SLC26A3/SLC22A5/AQP8/CDHR2/SLC17A4/ABCG2/SCIN/CA4/MYO1A/ITLN1",13
"GO:0062023","collagen-containing extracellular matrix","19/316","432/19880",0.0439814814814815,2.76693624003751,4.71886181488979,6.83528946155888e-05,0.00281386082834174,0.00249428106667412,"TINAG/LAMA1/CXCL12/OGN/ADAMDEC1/SFRP1/CLEC3B/HAPLN1/ITIH5/MFAP4/SRPX/F13A1/MMRN1/MFAP5/ZG16/ADIPOQ/DPT/ANGPTL1/MYOC",19
"GO:0009925","basal plasma membrane","14/316","298/19880",0.0469798657718121,2.95556877070767,4.32279542567255,0.000317538180277242,0.0112045615040684,0.00993202127784457,"CLDN8/HPGD/P2RY1/SCN3A/SLC23A1/SLC51A/SLC51B/BEST2/SLC22A5/AQP8/SLC4A4/SLC39A5/ABCA8/MYO1A",14
"GO:0034706","sodium channel complex","4/316","24/19880",0.166666666666667,10.4852320675105,5.9090774290757,0.00051768093609998,0.0159833989020869,0.0141681098301047,"SCN4B/SCN3A/SCNN1G/SCNN1B",4
"GO:0045178","basal part of cell","14/316","317/19880",0.0441640378548896,2.77842111568103,4.05656548297869,0.000587759158934114,0.0161307235840807,0.0142987023459995,"CLDN8/HPGD/P2RY1/SCN3A/SLC23A1/SLC51A/SLC51B/BEST2/SLC22A5/AQP8/SLC4A4/SLC39A5/ABCA8/MYO1A",14
"GO:0031253","cell projection membrane","15/316","359/19880",0.0417827298050139,2.62860971051796,3.95753892001902,0.000671095237794025,0.0165760523735124,0.0146934536274902,"PDE9A/SLC9A3/TRPM6/SLC26A2/PDE6A/EPB41L3/SLC38A4/SLC26A3/SLC22A5/AQP8/CDHR2/SLC17A4/ABCG2/CA4/ITLN1",15
