"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04976","Bile secretion","23/174","90/9446",0.255555555555556,13.87343550447,16.8096822252217,1.58137376387746e-20,3.62134591927938e-18,3.09616336927587e-18,"SLC9A3/UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/SLC51A/NR1H4/SLC51B/CA2/UGT2B17/AQP8/PRKACB/ABCG2/SLC4A4/ABCB1/ATP1A2",23
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","19/174","73/9446",0.26027397260274,14.1295858919855,15.4263096260636,2.74096034699359e-17,3.13839959730767e-15,2.68325591863583e-15,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH1B/GSTA1/HPGDS/MAOA/UGT2B17/FMO5/FMO4",19
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","17/174","64/9446",0.265625,14.4200790229885,14.7565977709079,9.58138462540026e-16,7.31379026405553e-14,6.25311417657701e-14,"DHRS11/UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/AKR1C3/HSD11B2/HSD17B2/UGT2B17/HSD3B2",17
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","17/174","71/9446",0.23943661971831,12.9983810911446,13.9012893076663,6.43752234640128e-15,3.68548154331473e-13,3.15099778008062e-13,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/NAT2/UGT1A10/GSTA1/HPGDS/UGT2B17/SULT1A4/SULT1A2",17
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","13/174","36/9446",0.361111111111111,19.6037675606641,15.3195580691604,2.8651152236637e-14,1.31222277243798e-12,1.12191880337147e-12,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17/AKR1B10",13
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","12/174","31/9446",0.387096774193548,21.0144605116796,15.2898585177305,1.08620075389372e-13,4.14566621069435e-12,3.54444456533739e-12,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",12
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","16/174","79/9446",0.20253164556962,10.9949076094864,12.220274552112,6.91549440145681e-13,2.26235459704801e-11,1.93425858446762e-11,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH1B/GSTA1/HPGDS/UGT2B17",16
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","15/174","68/9446",0.220588235294118,11.9751521298174,12.4422460316315,9.8779211114489e-13,2.73634554838592e-11,2.33950940933019e-11,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH1B/UGT2B17/DHRS9",15
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","13/174","46/9446",0.282608695652174,15.3420789605197,13.357217322503,1.07541964783726e-12,2.73634554838592e-11,2.33950940933019e-11,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/CP/UGT2B17",13
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","15/174","81/9446",0.185185185185185,10.0532141336739,11.2093467835278,1.47348451460186e-11,3.37427953843827e-10,2.88492757595733e-10,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/NAT2/UGT1A10/GSTA1/UGT2B17/CES2",15
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","18/174","217/9446",0.0829493087557604,4.50309868107421,7.15144510211432,8.90791062337358e-08,1.85446502977504e-06,1.58552284779664e-06,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/KLF4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/GSTA1/MIR29C/MIR29B2/EPHX2/UGT2B17/PRKACB",18
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","6/174","23/9446",0.260869565217391,14.1619190404798,8.65719961283981,2.78918126098486e-06,5.32268757304611e-05,4.55076942581741e-05,"SLC9A3/PCK1/CA2/SLC4A4/CA4/ATP1A2",6
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","12/174","154/9446",0.0779220779220779,4.23018360949395,5.53632864706003,2.58474957307563e-05,0.000455313578641785,0.000389282121936897,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",12
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","6/174","38/9446",0.157894736842105,8.57168784029038,6.40655765145291,6.06527473997362e-05,0.000992105653895684,0.000848226392206837,"NR3C2/IGF1/HSD11B2/SCNN1G/SCNN1B/ATP1A2",6
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","4/174","17/9446",0.235294117647059,12.7734956051386,6.65558083702382,0.000219447440575609,0.00335023092612097,0.00286436659277637,"CA1/CA7/CA2/CA4",4
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","8/174","106/9446",0.0754716981132075,4.09715896768597,4.39270345071517,0.00073380428410402,0.0105025738162388,0.00897944716074656,"PNLIPRP2/PLA2G10/SLC26A3/CA2/SLC4A4/CLCA1/CLCA4/ATP1A2",8
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","6/174","61/9446",0.0983606557377049,5.33973996608253,4.658009613412,0.00085994796840275,0.0115840049861312,0.00990404471349298,"SLC9A3/TRPM6/MT1M/SLC26A3/MT1F/ATP1A2",6
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","5/174","43/9446",0.116279069767442,6.3124832932371,4.78285793035808,0.00109361553003506,0.0139132197987794,0.0118954671688024,"PNLIPRP2/PLA2G10/PLPP1/FABP1/MOGAT2",5
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","5/174","45/9446",0.111111111111111,6.03192848020434,4.63492364569926,0.00134753076193012,0.016241291814842,0.0138859125606096,"DEFB1/ABCA6/ABCG2/ABCA8/ABCB1",5
