"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015020","glucuronosyltransferase activity","12/296","34/18639",0.352941176470588,22.2245627980922,15.7352519291756,8.27069232865232e-14,4.6315877040453e-11,3.59557466498254e-11,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",12
"GO:0033293","monocarboxylic acid binding","11/296","79/18639",0.139240506329114,8.76791823469039,8.78900135506127,4.66510671236162e-08,1.30622987946125e-05,1.01404688010808e-05,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7/AKR1C3/GSTA1/NR1H4/FABP4/FABP1/ACOX1",11
"GO:0008194","UDP-glycosyltransferase activity","14/296","145/18639",0.096551724137931,6.07982292637465,7.80059040507379,8.07785863657903e-08,1.50786694549475e-05,1.17058091821303e-05,"GCNT2/UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/B3GNT7/UGT2B17",14
"GO:0016758","hexosyltransferase activity","15/296","197/18639",0.0761421319796954,4.79463918232954,6.80158167027164,6.2686886974573e-07,8.77616417644023e-05,6.81307482118386e-05,"GCNT2/UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/B3GNT7/UGT2B17/PIGZ",15
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","11/296","122/18639",0.0901639344262295,5.67758639787328,6.58455979940837,3.95949343659847e-06,0.000443463264899029,0.000344267534592667,"DHRS11/HPGD/ADH1C/ADH1B/AKR1C3/HSD11B2/HSD17B2/AKR1B10/LDHD/HSD3B2/DHRS9",11
"GO:0008009","chemokine activity","7/296","45/18639",0.155555555555556,9.79527027027027,7.50376732752416,6.42132391481216e-06,0.000546042285344471,0.000423901247833208,"CCL23/CCL14/GPR15LG/CXCL12/CCL28/CXCL14/CCL8",7
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","11/296","132/18639",0.0833333333333333,5.24746621621622,6.2209858362119,8.48810430003826e-06,0.000546042285344471,0.000423901247833208,"DHRS11/HPGD/ADH1C/ADH1B/AKR1C3/HSD11B2/HSD17B2/AKR1B10/LDHD/HSD3B2/DHRS9",11
"GO:0031406","carboxylic acid binding","13/296","187/18639",0.0695187165775401,4.37756539962422,5.89675621560369,9.56364675735687e-06,0.000546042285344471,0.000423901247833208,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7/AKR1C3/GSTA1/NR1H4/PCK1/FABP4/FABP1/ACOX1/ADIPOQ",13
"GO:0015106","bicarbonate transmembrane transporter activity","6/296","32/18639",0.1875,11.8067989864865,7.7722043356381,9.7600003841357e-06,0.000546042285344471,0.000423901247833208,"SLC26A2/SLC26A3/BEST2/BEST4/SLC4A4/SLC39A5",6
"GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","6/296","32/18639",0.1875,11.8067989864865,7.7722043356381,9.7600003841357e-06,0.000546042285344471,0.000423901247833208,"DHRS11/AKR1C3/HSD11B2/HSD17B2/HSD3B2/DHRS9",6
"GO:0043177","organic acid binding","13/296","189/18639",0.0687830687830688,4.33124195624196,5.84721712402762,1.07258306049807e-05,0.000546042285344471,0.000423901247833208,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7/AKR1C3/GSTA1/NR1H4/PCK1/FABP4/FABP1/ACOX1/ADIPOQ",13
"GO:0001972","retinoic acid binding","5/296","20/18639",0.25,15.7423986486486,8.37944585066461,1.24492424338327e-05,0.000580964646912191,0.000451012028523938,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7",5
