"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9748784","Drug ADME","21/197","110/11214",0.190909090909091,10.8672819566221,13.9064572084488,2.27000251958349e-16,1.04193115648882e-13,9.51011581888663e-14,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/NAT2/UGT1A10/GSTA1/BCHE/HSD11B2/PCK1/UGT2B17/ABCG2/SULT1A4/ABCB1/CES2",21
"R-HSA-156588","Glucuronidation","12/197","27/11214",0.444444444444444,25.2994923857868,16.9038104370521,8.52487681839281e-15,1.95645922982115e-12,1.78573735458965e-12,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",12
"R-HSA-211859","Biological oxidations","26/197","223/11214",0.116591928251121,6.63686235232524,11.3692968731893,1.38193903143394e-14,2.11436671809393e-12,1.92986573512529e-12,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/NAT2/UGT1A10/ADH1C/SULT1B1/ADH1B/SLC26A2/AOC3/GSTA1/NR1H4/HPGDS/MAOA/AOC1/UGT2B17/SULT1A4/SULT1A2/CES2",26
"R-HSA-156580","Phase II - Conjugation of compounds","19/197","111/11214",0.171171171171171,9.74372341885032,12.3794138111217,5.29269688358817e-14,6.07336967391742e-12,5.54340357807392e-12,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/NAT2/UGT1A10/SULT1B1/SLC26A2/GSTA1/HPGDS/UGT2B17/SULT1A4/SULT1A2",19
"R-HSA-9749641","Aspirin ADME","13/197","44/11214",0.295454545454545,16.8184125519151,14.0580472634732,3.28722800054538e-13,3.01767530450066e-11,2.75435104045697e-11,"UGT2A3/UGT2B15/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/BCHE/UGT2B17/CES2",13
"R-HSA-9753281","Paracetamol ADME","8/197","29/11214",0.275862068965517,15.7031332049711,10.6011565030587,2.46190606940657e-08,1.88335814309603e-06,1.7190151151295e-06,"UGT2B15/UGT1A9/UGT1A6/UGT1A1/NAT2/UGT1A10/ABCG2/SULT1A4",8
"R-HSA-189483","Heme degradation","5/197","15/11214",0.333333333333333,18.9746192893401,9.31489700470313,4.13917156491223e-06,0.000271411392613531,0.000247727862080462,"UGT1A1/UGT1A4/GSTA1/ABCG2/FABP1",5
"R-HSA-9757110","Prednisone ADME","4/197","10/11214",0.4,22.7695431472081,9.2092680603421,1.78597256163492e-05,0.00102470175723804,0.000935285630961446,"UGT1A3/HSD11B2/UGT2B17/ABCB1",4
"R-HSA-1475029","Reversible hydration of carbon dioxide","4/197","12/11214",0.333333333333333,18.9746192893401,8.33038146137253,4.09500618381191e-05,0.00208845315374408,0.00190621340486215,"CA1/CA7/CA2/CA4",4
"R-HSA-189445","Metabolism of porphyrins","5/197","27/11214",0.185185185185185,10.5414551607445,6.63746167081241,9.37288474952004e-05,0.0043021541000297,0.00392674540032524,"UGT1A1/UGT1A4/GSTA1/ABCG2/FABP1",5
"R-HSA-2672351","Stimuli-sensing channels","9/197","109/11214",0.0825688073394495,4.70013505332278,5.19079518232139,0.000124473669190667,0.00519394674168327,0.0047407196495584,"TRPM6/SGK2/SCNN1G/BEST2/BEST4/ANO5/SCNN1B/CLCA1/CLCA4",9
"R-HSA-422085","Synthesis, secretion, and deacylation of Ghrelin","4/197","19/11214",0.210526315789474,11.983970077478,6.40746794342386,0.000291146758687765,0.011136363519807,0.0101645973647132,"GCG/KLF4/BCHE/IGF1",4
"R-HSA-983712","Ion channel transport","11/197","186/11214",0.0591397849462366,3.36646471262486,4.35181551046633,0.000438301077593664,0.015475399585807,0.014125006387229,"TRPM6/SGK2/SCNN1G/BEST2/BEST4/PLN/ANO5/SCNN1B/CLCA1/CLCA4/ATP1A2",11
"R-HSA-8935690","Digestion","4/197","22/11214",0.181818181818182,10.3497923396401,5.86977973229879,0.000527259935558724,0.0172865936015324,0.0157781544625844,"PNLIPRP2/SI/GUCA2B/GUCA2A",4
"R-HSA-156584","Cytosolic sulfonation of small molecules","4/197","24/11214",0.166666666666667,9.48730964467005,5.56574075986547,0.000745163347860398,0.0228019984445282,0.020812281575329,"SULT1B1/SLC26A2/SULT1A4/SULT1A2",4
"R-HSA-163125","Post-translational modification: synthesis of GPI-anchored proteins","7/197","92/11214",0.0760869565217391,4.33116309865372,4.29003380758082,0.00115337867392102,0.0318899800715898,0.0291072401524888,"CEACAM7/NEGR1/CPM/PIGZ/CNTN3/CNTN4/LYPD8",7
"R-HSA-8963743","Digestion and absorption","4/197","27/11214",0.148148148148148,8.4331641285956,5.17084041849245,0.00118111037302184,0.0318899800715898,0.0291072401524888,"PNLIPRP2/SI/GUCA2B/GUCA2A",4
"R-HSA-1237044","Erythrocytes take up carbon dioxide and release oxygen","3/197","13/11214",0.230769230769231,13.1362748926201,5.85451646664913,0.00134101404990759,0.0323960762582938,0.0295691740644443,"CA1/CA2/CA4",3
"R-HSA-1480926","O2/CO2 exchange in erythrocytes","3/197","13/11214",0.230769230769231,13.1362748926201,5.85451646664913,0.00134101404990759,0.0323960762582938,0.0295691740644443,"CA1/CA2/CA4",3
"R-HSA-2162123","Synthesis of Prostaglandins (PG) and Thromboxanes (TX)","3/197","15/11214",0.2,11.3847715736041,5.38164820452461,0.00207888418820323,0.0477103921192641,0.0435471529949939,"HPGD/AKR1C3/HPGDS",3
