"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","23/222","136/18805",0.169117647058824,14.3254835718071,17.0465147881286,2.82931456674133e-20,7.70293659567425e-17,6.15398067926411e-17,"CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PPBP/SEMG1/CCL20/CXCL8/DMBT1/CXCL2/KLK7/MMP7/CXCL1/REG1B/REG1A/S100A9",23
"GO:0006959","humoral immune response","31/222","309/18805",0.100323624595469,8.49813405638648,14.5257052414952,4.84766305580506e-20,7.70293659567425e-17,6.15398067926411e-17,"CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PPBP/SEMG1/IL1B/IFNG/CCL20/TREM1/CXCL8/DMBT1/CXCL2/KLK7/MMP7/PI3/CXCL1/EXO1/CFI/IL6/C4BPB/REG1B/REG1A/S100A9",31
"GO:0019730","antimicrobial humoral response","24/222","185/18805",0.12972972972973,10.9890430971512,14.9232566412061,2.54200747718176e-18,2.69283325416122e-15,2.15134106489909e-15,"CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PPBP/SEMG1/CCL20/CXCL8/DMBT1/CXCL2/KLK7/MMP7/PI3/CXCL1/REG1B/REG1A/S100A9",24
"GO:0030593","neutrophil chemotaxis","16/222","84/18805",0.19047619047619,16.1347061347061,15.1947237685357,2.59704671266779e-15,2.06335361321456e-12,1.64844122919861e-12,"SAA1/CCL3/CXCL6/CXCL9/CXCL10/CXCL5/CXCL3/PPBP/IL1B/TNFAIP6/TREM1/CXCL8/DPEP1/CXCR2/S100A8/S100A9",16
"GO:1990266","neutrophil migration","17/222","107/18805",0.158878504672897,13.4581544160983,14.1251060033548,8.24284621372092e-15,5.23915305344102e-12,4.18563054052523e-12,"SAA1/CCL3/CXCL6/CXCL9/CXCL10/CXCL5/CXCL3/PPBP/IL1B/TNFAIP6/TREM1/CXCL8/DPEP1/CXCR2/IL1A/S100A8/S100A9",17
"GO:0006935","chemotaxis","30/222","466/18805",0.0643776824034335,5.45325368286742,10.6396235939844,3.93377723877014e-14,1.9983999735394e-11,1.59654888416317e-11,"SAA1/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/FPR2/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PROK2/PPBP/IL1B/FFAR2/ANOS1/CCL20/TNFAIP6/TREM1/CXCL8/CXCL2/PLAU/CXCL1/DPEP1/CXCR2/IL6/S100A8/S100A9",30
"GO:0042330","taxis","30/222","468/18805",0.0641025641025641,5.42994917994918,10.6072113702209,4.40176205625419e-14,1.9983999735394e-11,1.59654888416317e-11,"SAA1/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/FPR2/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PROK2/PPBP/IL1B/FFAR2/ANOS1/CCL20/TNFAIP6/TREM1/CXCL8/CXCL2/PLAU/CXCL1/DPEP1/CXCR2/IL6/S100A8/S100A9",30
"GO:0071621","granulocyte chemotaxis","17/222","122/18805",0.139344262295082,11.8034632993649,13.0846859783933,7.8037818435799e-14,3.10005233736211e-11,2.47667392193615e-11,"SAA1/CCL4/CCL3/CXCL6/CXCL9/CXCL10/CXCL5/CXCL3/PPBP/IL1B/TNFAIP6/TREM1/CXCL8/DPEP1/CXCR2/S100A8/S100A9",17
"GO:0060326","cell chemotaxis","25/222","325/18805",0.0769230769230769,6.51593901593902,10.9636168096242,1.16541004110924e-13,4.1151923451613e-11,3.28768306333975e-11,"SAA1/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/FPR2/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PPBP/IL1B/FFAR2/CCL20/TNFAIP6/TREM1/CXCL8/DPEP1/CXCR2/IL6/S100A8/S100A9",25
"GO:0097530","granulocyte migration","18/222","149/18805",0.120805369127517,10.2330854344277,12.3672863601721,1.78194652812037e-13,5.66302606636652e-11,4.52426844823823e-11,"SAA1/CCL4/CCL3/CXCL6/CXCL9/CXCL10/CXCL5/CXCL3/PPBP/IL1B/TNFAIP6/TREM1/CXCL8/DPEP1/CXCR2/IL1A/S100A8/S100A9",18
