"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6783783","Interleukin-10 signaling","15/176","47/11214",0.319148936170213,20.3348646034816,16.7723476694461,2.29699397909013e-16,1.10765080620491e-13,1.03250949052773e-13,"CCL4/CCL3/CCL3L1/CCL3L3/CXCL10/IL1B/CCL20/CXCL8/PTGS2/IL1RN/CXCL2/TIMP1/CXCL1/IL6/IL1A",15
"R-HSA-380108","Chemokine receptors bind chemokines","16/176","59/11214",0.271186440677966,17.2788906009245,15.8302609236473,4.15628820339553e-16,1.10765080620491e-13,1.03250949052773e-13,"CCL4/CCL3/CCL3L1/CCL3L3/CXCL6/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PPBP/CCL20/CXCL8/CXCL2/CXCL1/CXCR2",16
"R-HSA-375276","Peptide ligand-binding receptors","19/176","201/11214",0.0945273631840796,6.02289687924016,9.07343059076525,3.29457065180048e-10,5.85335385803218e-08,5.45627139526254e-08,"SAA1/CCL4/CCL3/CCL3L1/CCL3L3/CXCL6/FPR2/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PROK2/PPBP/CCL20/CXCL8/CXCL2/CXCL1/CXCR2",19
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","14/176","108/11214",0.12962962962963,8.2594696969697,9.57216089747638,1.26904911937542e-09,1.69100795156775e-07,1.5762925903821e-07,"SAA1/OSM/MMP9/MMP1/MMP3/IL1B/CXCL8/LCN2/PTGS2/TWIST1/TIMP1/IL13RA2/IL6/IL1A",14
"R-HSA-449147","Signaling by Interleukins","27/176","460/11214",0.058695652173913,3.73984683794466,7.57691186586822,2.74452835437177e-09,2.92566722576031e-07,2.72719449108101e-07,"SAA1/OSM/CCL4/CCL3/CCL3L1/CCL3L3/CXCL10/DUSP4/MMP9/SERPINB2/MMP1/MMP3/IL1B/IFNG/CCL20/CXCL8/LCN2/IL24/PTGS2/IL1RN/CXCL2/TWIST1/TIMP1/IL13RA2/CXCL1/IL6/IL1A",27
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","22/176","334/11214",0.0658682634730539,4.19685628742515,7.48951938398511,1.18587486130017e-08,1.05345216845498e-06,9.81987604445053e-07,"SAA1/CCL4/CCL3/CCL3L1/CCL3L3/CXCL6/FPR2/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PROK2/HCAR2/HCAR3/PPBP/FFAR2/CCL20/CXCL8/CXCL2/CXCL1/CXCR2",22
"R-HSA-500792","GPCR ligand binding","24/176","468/11214",0.0512820512820513,3.26748251748252,6.32725744983097,2.89809506965744e-07,2.20669238875345e-05,2.05699379380198e-05,"SAA1/CCL4/CCL3/CCL3L1/CCL3L3/CXCL6/FPR2/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/PROK2/HCAR2/HCAR3/PPBP/FFAR2/CCL20/FZD10/CXCL8/CXCL2/CXCL1/WNT2/CXCR2",24
"R-HSA-1442490","Collagen degradation","9/176","64/11214",0.140625,8.96004971590909,8.06381180626144,6.17752846928618e-07,4.11577834266192e-05,3.83657031250405e-05,"COL10A1/MMP9/MMP10/MMP1/MMP3/MMP12/COL4A1/MMP7/COL11A1",9
"R-HSA-1474228","Degradation of the extracellular matrix","12/176","140/11214",0.0857142857142857,5.46136363636364,6.70735714122558,1.95702205419064e-06,0.000115899194987068,0.000108036773050057,"COL10A1/MMP9/MMP10/MMP1/MMP3/MMP12/COL4A1/KLK7/MMP7/TIMP1/SPP1/COL11A1",12
"R-HSA-418594","G alpha (i) signalling events","18/176","318/11214",0.0566037735849057,3.60656089193825,5.9541522807197,2.50443789497068e-06,0.000133486539801937,0.000124431019623806,"SAA1/CCL4/GNA15/CXCL6/FPR2/CXCL9/CXCL10/CXCL11/CXCL5/CXCL3/HCAR2/HCAR3/PPBP/CCL20/CXCL8/CXCL2/CXCL1/CXCR2",18
