"external_gene_name","entrezgene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"GCNT2",2651,-1.08650389826505,6.04756268783028,-6.08090932111329,3.15309844788123e-08,1.29346208541146e-06,8.6414270283693,"Down"
"FCGBP",8857,-1.320873975794,12.5236090899336,-3.66186750514513,0.000430578327054481,0.00234110663454701,-0.394247229795145,"Down"
"CLDN8",9073,-3.19317221388093,7.45106615811934,-4.75819361651902,7.76354882748702e-06,8.8429579766488e-05,3.38176461944369,"Down"
"CHODL",140578,-1.23584515858483,5.81318851156701,-6.09185203837249,3.00593845680347e-08,1.23946845580845e-06,8.68729687088187,"Down"
"IGKV1-17",NA,-1.03411318018809,11.7107563690812,-3.67242675953845,0.000415484855439976,0.00227170191793802,-0.361105133123342,"Down"
"IGKV3-20",NA,-1.11663422282096,12.9343988228284,-4.22006920642931,6.00517789506594e-05,0.000465619166507894,1.44812001167926,"Down"
"IGKV1-37",NA,-1.07321537852428,12.0023925751554,-3.89711010664093,0.00019158525136713,0.00119882360720218,0.360175950990185,"Down"
"TCEAL2",140597,-1.0037416433265,4.58039104609344,-2.90015218191493,0.00472840066136072,0.0170251255520336,-2.59078586399845,"Down"
"PNLIPRP2",5408,-2.35321387073144,6.73280699778162,-4.53896931859631,1.81529915078464e-05,0.000174821878302388,2.57695463300875,"Down"
"FCER1A",2205,-1.34627967507675,6.82644191617763,-5.00286423191263,2.93742709565879e-06,4.02398819288691e-05,4.30543803364294,"Down"
"GBA3",57733,-2.53230708538636,7.0533171295586,-6.60607968512347,3.08196793722606e-09,2.29098857469182e-07,10.8756533765532,"Down"
"PCDH20",64881,-1.61365367444504,6.78084182017708,-3.38672976600932,0.00106630465767145,0.00495481677645259,-1.23285648806038,"Down"
"CLDN23",137075,-1.79541267037412,9.38283286764832,-6.33182840799332,1.04610393060543e-08,5.69745779098429e-07,9.70088178505422,"Down"
"DEFB1",1672,-1.61926750069319,7.58021045310728,-5.26518221432374,1.00972120246804e-06,1.76732714993607e-05,5.32314074487831,"Down"
"MEP1B",4225,-1.82457921295847,5.95880501842453,-4.97664728136917,3.26358372428021e-06,4.40093480703868e-05,4.20524355785816,"Down"
"IGHA2",NA,-1.91429241524022,11.3822930196638,-7.72210874095386,1.87227158266908e-11,7.50212536491277e-09,15.7900733680842,"Down"
"IGHA1",NA,-1.91429241524022,11.3822930196638,-7.72210874095386,1.87227158266908e-11,7.50212536491277e-09,15.7900733680842,"Down"
"PRIMA1",145270,-1.62384506739846,7.12757458421341,-4.90663914572684,4.31742986817683e-06,5.51073997793059e-05,3.93910168052058,"Down"
"CHGA",1113,-1.74593582372805,10.2932400137828,-5.93468179834387,5.95422901458225e-08,2.08435171385665e-06,8.03157766513035,"Down"
"MIR22HG",84981,-1.1483326298969,10.1637532111584,-6.28405508010667,1.29212026136743e-08,6.5895196692781e-07,9.49797411576313,"Down"
"ENTREP2",23359,-1.00940610792209,5.95066790940571,-5.03979817933587,2.53133591463867e-06,3.58532152006504e-05,4.44707109555688,"Down"
"KRT20",54474,-1.3208469017163,13.4882948497259,-4.82399108634244,5.99230538321962e-06,7.1598157877564e-05,3.62760733530939,"Down"
"KLHL34",257240,-1.23705559615974,4.70320057431584,-6.87934860333212,8.98700468296501e-10,9.33608324449314e-08,12.0613567235621,"Down"
