"external_gene_name","entrezgene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"PADI2",11240,-1.89620771027264,6.78691411626558,-9.69811977101333,1.77822823038926e-15,1.47783938006313e-12,24.7929775973303,"Down"
"GCNT2",2651,-1.25932095631715,6.04756268783028,-7.4209682621555,7.54296352445557e-11,5.44233307155172e-09,14.4363954244405,"Down"
"RHOU",58480,-1.65095647345391,8.50718456048082,-8.79731957131027,1.2252943518831e-13,3.61768157393486e-11,20.6787830266371,"Down"
"YBX2",51087,-1.00337031599091,8.00575090919502,-7.63870618080099,2.75663777177612e-11,2.44490889173456e-09,15.4141742139439,"Down"
"SLC16A1",6566,-2.21878395332004,8.03638535332029,-10.6350470211304,2.23370604704809e-17,5.56912555441246e-14,29.043057017843,"Down"
"CLDN8",9073,-4.01195549303034,7.45106615811934,-6.29452235594447,1.23374221868632e-08,3.15460620683735e-07,9.49393469965998,"Down"
"PNLIPRP2",5408,-2.38987672377739,6.73280699778162,-4.85353596693633,5.33137754710939e-06,4.77186999519696e-05,3.65102013458904,"Down"
"GBA3",57733,-3.04580711955851,7.0533171295586,-8.36597843401856,9.27756120291371e-13,1.83270747436686e-10,18.7105808444061,"Down"
"ATP23",91419,-1.20844385221607,8.40648802914479,-8.61310729347314,2.91076849544107e-13,7.42212889422753e-11,19.8375667863345,"Down"
"DEFB1",1672,-1.82027619999109,7.58021045310728,-6.23187885377037,1.62638503977631e-08,3.92835887056411e-07,9.22663452703459,"Down"
"CDHR5",53841,-1.08625486275283,7.27389061591662,-5.59562258351917,2.54112990552338e-07,3.77119139881211e-06,6.57286096683571,"Down"
"MEP1B",4225,-2.45336149688465,5.95880501842453,-7.04567472004195,4.21824775950007e-10,2.19104771933847e-08,12.765323835981,"Down"
"ENTREP2",23359,-1.0841610613334,5.95066790940571,-5.69938411276617,1.63579266127413e-07,2.60176869668899e-06,6.99734110199072,"Down"
"APOBEC3B",9582,-1.91669408044009,8.49711937147799,-8.48178203278827,5.39075836160591e-13,1.22185077652601e-10,19.2384073778928,"Down"
"GATA6-AS1",100128893,-1.10776968920166,6.9826187255145,-6.09739483341664,2.93400489754395e-08,6.23448256590802e-07,8.65615523210311,"Down"
"APOBEC3A",200315,-1.08413189882906,7.59973483284083,-4.95827426192746,3.51294346551334e-06,3.35148547715365e-05,4.05010976092037,"Down"
"APOBEC3A",100913187,-1.08413189882906,7.59973483284083,-4.95827426192746,3.51294346551334e-06,3.35148547715365e-05,4.05010976092037,"Down"
"DHRS11",79154,-1.93174216251955,9.1336262858837,-6.89603114225114,8.33212625186507e-10,3.74327780194885e-08,12.1049756816584,"Down"
"TEX11",56159,-1.85918044889796,5.97706592369067,-7.10722790752714,3.18490398965286e-10,1.77776270208509e-08,13.038002667537,"Down"
"PEX11A",8800,-1.13697248447434,7.96631798823011,-7.05701336729407,4.00562676368923e-10,2.11986459788733e-08,12.8155090119499,"Down"
"UGT2B11",10720,-1.43802064077443,6.53784704937229,-8.54644606884114,3.98010126458803e-13,9.50100981660540e-11,19.5333622595077,"Down"
"SOWAHA",134548,-1.46285189048612,8.59350767285556,-6.20934427792153,1.79594176815097e-08,4.2346583533087e-07,9.1307185934417,"Down"
"TINAG",27283,-1.29992526309001,7.61683796845792,-6.92726148922273,7.23083493202268e-10,3.33853302550734e-08,12.2424771088513,"Down"
"SPMIP6",84688,-1.08192826389547,6.71349454972841,-7.0503184345686,4.12984746612829e-10,2.16517867505731e-08,12.7858745779124,"Down"
"ZNF511-PRAP1",104326056,-2.02261416865215,8.32333346400363,-7.0103807379857,4.95443547902332e-10,2.46365892048776e-08,12.6092435987473,"Down"
"EDN3",1908,-1.31621299878406,6.81798632773303,-5.77262723107342,1.1963197451839e-07,2.0124252299851e-06,7.29905107948454,"Down"
"LAMA1",284217,-2.21957881233985,7.342126667061,-6.11937571829243,2.66509043924766e-08,5.8060159578911e-07,8.74907506915019,"Down"
"C1QTNF3-AMACR",NA,-1.11700882928488,7.33998175630427,-6.64570807625366,2.5797971562326e-09,8.93334388714557e-08,11.0092970562873,"Down"
"FOXA1",3169,-1.04942231839001,4.9626098585218,-5.50331427012454,3.74958505661772e-07,5.15544969886305e-06,6.19824645676918,"Down"
"PITX2",5308,-1.84559039459496,4.86062243323814,-4.45227389268995,2.5249856485615e-05,0.000178338536254553,2.16826376658397,"Down"
"UGT2A3",79799,-3.15139655985985,6.8099332232154,-6.69671368863181,2.05104330402235e-09,7.52015697695384e-08,11.2315791569666,"Down"
"UGT2B15",7366,-1.32456445338517,10.152823555507,-3.15812302006681,0.00218749987236908,0.00775439330743913,-2.01241844164978,"Down"
"CDX2",1045,-1.06129515155616,7.04151866338557,-6.0664032206711,3.35918603368426e-08,6.98579938923459e-07,8.52536424118692,"Down"
"PTGDR",5729,-1.28327686071037,6.52232549160093,-4.39576578698851,3.12503701762525e-05,0.000214508123702946,1.96570898526311,"Down"
"C11orf52",91894,-1.09751346576273,6.54624684610388,-6.64959482921182,2.53514336392082e-09,8.8332425377359e-08,11.0262171510702,"Down"
"THRB-IT1",NA,-1.06613378432941,4.62027157070844,-7.22685708213626,1.84179280951792e-10,1.1353843091421e-08,13.5695962514539,"Down"
"TRPM6",140803,-1.50268013003825,6.99946343378645,-5.323146065905,7.94799434639832e-07,9.66025688972951e-06,5.47566334123611,"Down"
"SPINK2",6691,-1.11918682907679,7.05270861450835,-4.79612460735539,6.68838836495206e-06,5.78791926421748e-05,3.43429980223318,"Down"
"UGT2B28",54490,-1.43802064077443,6.53784704937229,-8.54644606884114,3.98010126458803e-13,9.50100981660540e-11,19.5333622595077,"Down"
"UGT2B25P",NA,-1.43802064077443,6.53784704937229,-8.54644606884114,3.98010126458803e-13,9.50100981660540e-11,19.5333622595077,"Down"
"UGT2B24P",NA,-1.43802064077443,6.53784704937229,-8.54644606884114,3.98010126458803e-13,9.50100981660540e-11,19.5333622595077,"Down"
"NHERF4",79849,-1.0181205114357,6.70779486241373,-8.64243229550295,2.53636696938987e-13,6.77542124120705e-11,19.9714295039442,"Down"
"TMEM72",643236,-1.07284910352039,5.86974584707397,-6.2038016620568,1.84025257010644e-08,4.31037864515849e-07,9.10714674380773,"Down"
"OTC",5009,-1.23621143735839,5.41680697282838,-5.69029689070342,1.7003512837537e-07,2.68691425747531e-06,6.96002650049724,"Down"
"TRHDE",29953,-1.44496289631774,6.28784314208653,-4.994780313935,3.03444682554045e-06,2.97856309353903e-05,4.19031339777756,"Down"
"RPS6KA6",27330,-1.17801643683332,5.52719117998942,-7.42928832493981,7.25904340141288e-11,5.28465882073947e-09,14.4736567900518,"Down"
"CYP2B7P",NA,-1.2435500373254,6.74303689968271,-7.04942856797079,4.14664380648253e-10,2.16891702502707e-08,12.7819362105606,"Down"
"LINC03026",124902202,-1.25278590251953,6.3642325506285,-6.2705990065964,1.37119262800955e-08,3.42630193540159e-07,9.39173933575525,"Down"
"MAMDC2",256691,-1.37810579559255,6.41004079182283,-3.41197831350866,0.000983006697587797,0.00396435788770176,-1.27474125299002,"Down"
"TMT1B",196410,-1.38321280452601,8.5550255922064,-6.84034721851883,1.07239645090798e-09,4.58352456417605e-08,11.8602355137471,"Down"
"GDPD2",54857,-1.06115190695477,7.42427885945413,-6.79415541107362,1.32159041393532e-09,5.38206303054349e-08,11.6576399800605,"Down"
"DPP10",57628,-2.26476779730715,4.5135985400704,-8.86007025190793,9.12374516919978e-14,2.96706837466194e-11,20.9654774165691,"Down"
"RETNLB",84666,-1.08828616588152,8.88325059867578,-2.41073229337733,0.0180392014746487,0.0452315534775412,-3.91135597706129,"Down"
"UGT1A9",54600,-2.14412051582337,9.07922873778095,-7.34836355630045,1.05389055155291e-10,7.20983234338282e-09,14.1116021011067,"Down"
"MB",4151,-1.14022832932626,7.77394973218348,-4.47434186353539,2.32231991859424e-05,0.000166381023797369,2.24780324582247,"Down"
"UGT1A6",54578,-1.66915082599423,8.66261258680365,-6.81937607455654,1.17915833731692e-09,4.91772701383815e-08,11.7682083479935,"Down"
"UGT1A1",54658,-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down"
"RFLNA",144347,-1.13107154645567,8.33469785717039,-5.86066791353088,8.19632673894372e-08,1.46547709717257e-06,7.66390899284948,"Down"
"RFLNA",100533183,-1.13107154645567,8.33469785717039,-5.86066791353088,8.19632673894372e-08,1.46547709717257e-06,7.66390899284948,"Down"
"UGT1A4",54657,-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down"
"CYP2B7P",1556,-1.2435500373254,6.74303689968271,-7.04942856797079,4.14664380648253e-10,2.16891702502707e-08,12.7819362105606,"Down"
"EXPH5",23086,-2.00292199558717,7.73270872420699,-8.42496549508376,7.03657826297595e-13,1.5037502823135e-10,18.9793728007771,"Down"
"LINC01224",104472717,-1.04079892099642,5.69006085014032,-8.11081263962357,3.06191514818042e-12,4.40425089807823e-10,17.5498262170512,"Down"
"CDKN2B",1030,-1.45808247739352,7.13298235089796,-7.07776345294874,3.64370572163709e-10,1.98389619293891e-08,12.9074020919408,"Down"
"AMN",81693,-1.01733951007431,7.1820216268379,-7.33692537031832,1.11084475260034e-10,7.48535898005975e-09,14.0604953449936,"Down"
"CA1",759,-2.24905107202115,7.753026772209,-6.55787666245785,3.82475659588539e-09,1.21563333222482e-07,10.627770961646,"Down"
"UGT1A3",54659,-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down"
"UGT1A8",54576,-2.14412051582337,9.07922873778095,-7.34836355630045,1.05389055155291e-10,7.20983234338282e-09,14.1116021011067,"Down"
"UGT1A5",54579,-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down"
"UGT1A7",54577,-1.66915082599423,8.66261258680365,-6.81937607455654,1.17915833731692e-09,4.91772701383815e-08,11.7682083479935,"Down"
"SCGB2A1",4246,-1.00673043517859,7.99124324319908,-2.76832556482214,0.00689281584241389,0.0202090545319842,-3.05586716761479,"Down"
"TUBAL3",79861,-1.65619965368143,8.76579308043727,-5.27830307423939,9.56571377061918e-07,1.12379608009908e-05,5.29765683756382,"Down"
"A1CF",29974,-1.31199602988693,8.45195685495496,-4.65764572817804,1.14917042716039e-05,9.2776447201343e-05,2.91770119009984,"Down"
"UGT1A10",54575,-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down"
"ADH1C",126,-2.80183369303525,10.5256834254897,-5.85348950888054,8.45367187092536e-08,1.50085634207165e-06,7.63407261880273,"Down"
"ESAM-AS1",NA,-1.64759956819661,5.35325666574326,-8.43426595002869,6.73634136994067e-13,1.46754139805921e-10,19.0217662884959,"Down"
"ADH6",130,-1.29762773552871,6.72133769962121,-6.89535587610812,8.35769053334094e-10,3.74327780194885e-08,12.1020044846747,"Down"
"P2RY1",5028,-1.43048671203066,6.45575262165546,-8.32417795291456,1.1284479496535e-12,2.06173239762881e-10,18.5201978534039,"Down"
"PRAP1",118471,-2.02261416865215,8.32333346400363,-7.0103807379857,4.95443547902332e-10,2.46365892048776e-08,12.6092435987473,"Down"
"CYP2B6",1555,-1.25454409049888,6.04478293107894,-5.87325786949797,7.76348156560948e-08,1.39811206140218e-06,7.71627501344619,"Down"
"ANK3",288,-1.31376107597303,7.30378147099008,-9.1261060314222,2.61245463078957e-14,1.14942881294681e-11,22.1812586308129,"Down"
"LINC02535",101928820,-1.78631618687776,6.84461002085021,-5.91084599495723,6.60077303738447e-08,1.21804889955485e-06,7.87289545214855,"Down"
"HSPB3",8988,-1.42720110064276,5.43379694940452,-4.98162730670697,3.19902461603157e-06,3.11287568773341e-05,4.1397337836504,"Down"
"PPP1R36",145376,-1.14287006605311,8.14947990691392,-5.77023895954591,1.20861727929455e-07,2.02691802168089e-06,7.28918661958663,"Down"
"ADH1A",124,-1.30488802997364,5.03915229610371,-6.78362091946963,1.38601722405615e-09,5.54766797686909e-08,11.6114912954885,"Down"
"KLK1",3816,-1.26294675890452,8.26724369239947,-5.2836119928249,9.35853384742611e-07,1.10621408963548e-05,5.31869147468379,"Down"
"NEURL1B",54492,-1.51861852916145,9.81947980433169,-8.48297175087685,5.36075968472239e-13,1.22185077652601e-10,19.2438327722548,"Down"
"MIER3",166968,-1.41878556602822,7.54978756487675,-8.27051367232423,1.4508241229116e-12,2.46629109803132e-10,18.2759033854287,"Down"
"SLC26A2",1836,-3.63098354200918,11.1105982963411,-8.79204154797569,1.25606201439014e-13,3.63293990069121e-11,20.6546714209279,"Down"
"LEAP2",116842,-1.17328661354913,6.55455053425556,-6.94992004731729,6.5234315352568e-10,3.07519496259721e-08,12.3423436117792,"Down"
