"external_gene_name","entrezgene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"P2RY8",286530,1.19420661990372,7.61762947403156,5.29102502313159,9.07657617233345e-07,1.07761530545497e-05,5.34808064808342,"Up"
"ECSCR",641700,1.00419047913164,7.61565045046676,6.33940474014471,1.01159595609506e-08,2.6799529703444e-07,9.68603688019005,"Up"
"C1R",715,1.03677668036269,10.29003218733,5.68326329489416,1.75203451037804e-07,2.75693565065728e-06,6.93116280807947,"Up"
"ANKRD36B",57730,1.12157086913193,6.55422765937225,6.43613136892842,6.58470763020499e-09,1.89915494234151e-07,10.1016541090163,"Up"
"IGKV1-17",NA,1.31432944152749,11.7107563690812,4.91446460537655,4.18487847296071e-06,3.88035074606469e-05,3.88260340292778,"Up"
"IGKV2-28",NA,1.36692284565216,11.4834241502643,4.52309379503823,1.92886865208138e-05,0.000142140833116762,2.42437686093266,"Up"
"IGKV1-37",NA,1.03144169624129,12.0023925751554,3.94355024213793,0.000162694725221391,0.000863663813400234,0.405794406972751,"Up"
"SAA1",6288,2.17438143092926,7.74643239237743,6.02201473666625,4.07593537787899e-08,8.12516656106245e-07,8.33849073629634,"Up"
"TFF1",7031,1.16757904769137,12.5663309101574,3.89735976456519,0.000191417567768122,0.000995646454137433,0.252906598792687,"Up"
"EVI2B",2124,1.19392854270786,9.47478476916756,5.89959230564167,6.92960425248044e-08,1.26815553779922e-06,7.82596062755925,"Up"
"OLFM4",10562,1.55420623850097,12.8219303238005,5.35443679823594,6.9812625595579e-07,8.67400612258692e-06,5.60031646631504,"Up"
"PCDH17",27253,1.54068872878062,6.88649995000611,6.72582376938194,1.79899483731176e-09,6.71972584511892e-08,11.3586710285972,"Up"
"CYYR1",116159,1.41711892370887,7.10954101086089,8.33597691755278,1.0677725641928e-12,2.01342424940524e-10,18.5739287859129,"Up"
"GPR18",2841,1.02855115734196,6.62377358939249,3.69523673835423,0.000384578098022536,0.00180195196106237,-0.401128943861575,"Up"
"TNFSF13B",10673,1.33262765445512,8.76797098891706,5.86735283961946,7.96361911957638e-08,1.4295651953934e-06,7.69170807133536,"Up"
"SACS",26278,1.30397430207857,6.93185972020774,6.15057156603686,2.32472234630798e-08,5.19566182557817e-07,8.88116864273005,"Up"
"DEFA5",1670,4.82620262966154,8.74997731339227,6.41806275548363,7.13570175175861e-09,2.02681027351533e-07,10.0238523484163,"Up"
"DEFB4B",1673,3.58313255025267,7.46333602148693,8.2951166763582,1.29297161444939e-12,2.28282009145106e-10,18.3878852013665,"Up"
"DEFB4B",100289462,3.58313255025267,7.46333602148693,8.2951166763582,1.29297161444939e-12,2.28282009145106e-10,18.3878852013665,"Up"
"DEFB4B",124906748,3.58313255025267,7.46333602148693,8.2951166763582,1.29297161444939e-12,2.28282009145106e-10,18.3878852013665,"Up"
"DEFB4A",1673,3.58313255025267,7.46333602148693,8.2951166763582,1.29297161444939e-12,2.28282009145106e-10,18.3878852013665,"Up"
"DEFB4A",100289462,3.58313255025267,7.46333602148693,8.2951166763582,1.29297161444939e-12,2.28282009145106e-10,18.3878852013665,"Up"
"DEFA6",1671,3.83584451844921,9.24117986099114,6.15161381841622,2.31412445092382e-08,5.1809068520435e-07,8.8855862893857,"Up"
"SERPINB4",6318,1.57833197115067,4.57338861992071,4.28048089340384,4.80532385399075e-05,0.000308781964374853,1.55754976914912,"Up"
"CASP4LP",643733,1.83351976049828,7.11454781011469,8.81885489649012,1.10736832233131e-13,3.36415360171519e-11,20.7771672517154,"Up"
"CASP4LP",NA,1.83351976049828,7.11454781011469,8.81885489649012,1.10736832233131e-13,3.36415360171519e-11,20.7771672517154,"Up"
"IGHG3",NA,1.10739627419524,6.7509486431151,5.33894424753342,7.44456014502075e-07,9.16249921558325e-06,5.53855351446487,"Up"
"IGHV4-34",NA,1.33763622494743,9.00910751394654,4.57029481892735,1.60990655857482e-05,0.000123082430214175,2.59644403526209,"Up"
"IGHGP",NA,2.40221903018431,13.3339465257548,8.12634417711573,2.84756923793942e-12,4.17624876667468e-10,17.6203735998472,"Up"
"IGHG1",NA,1.81070678916348,10.043576275552,8.13604758755512,2.72131907186723e-12,4.04395222871714e-10,17.6644561336249,"Up"
"IGHV3-33",NA,1.22715866299232,8.78518045068927,4.45305849146205,2.51749538510193e-05,0.000177865487866191,2.17108751559688,"Up"
"IGHV3-21",NA,1.00335971660026,9.13012151247219,3.62795269643811,0.000482656759464632,0.00218265518452779,-0.61328731949737,"Up"
"IGHG4",NA,1.10739627419524,6.7509486431151,5.33894424753342,7.44456014502075e-07,9.16249921558325e-06,5.53855351446487,"Up"
"FGF7P2",NA,1.4939285850549,6.97245772431866,4.97879072371892,3.23564265133187e-06,3.13626719020457e-05,4.12883529630252,"Up"
"IGHV3-7",NA,1.08059345237127,9.18354846462003,3.58111627096554,0.000564472568315508,0.00248600588035951,-0.75928636172815,"Up"
"IGHV4-59",NA,1.46219241489636,9.49334159048021,4.65070209830307,1.18052899645715e-05,9.47082236378337e-05,2.89203159659428,"Up"
"IGHV1-69D",NA,1.40613659580909,7.73437274134493,5.08113434450222,2.14170948261976e-06,2.22181317986615e-05,4.5241704497568,"Up"
"IGHV3-73",NA,1.54533730788538,5.21130897950519,5.209417430191,1.26973573986441e-06,1.42854087625849e-05,5.02569566290066,"Up"
"IGHV4-61",NA,1.46219241489636,9.49334159048021,4.65070209830307,1.18052899645715e-05,9.47082236378337e-05,2.89203159659428,"Up"
"IGHV3-30",NA,1.22715866299232,8.78518045068927,4.45305849146205,2.51749538510193e-05,0.000177865487866191,2.17108751559688,"Up"
"IGHG2",NA,1.81070678916348,10.043576275552,8.13604758755512,2.72131907186723e-12,4.04395222871714e-10,17.6644561336249,"Up"
"IGHV1-69",NA,1.40613659580909,7.73437274134493,5.08113434450222,2.14170948261976e-06,2.22181317986615e-05,4.5241704497568,"Up"
"IGHM",NA,1.42048233055667,9.17045308768925,5.13221811468113,1.74046645063127e-06,1.86773441825514e-05,4.72309967477335,"Up"
"FAM30A",9834,1.21180017911845,6.95681921078135,5.98283104348157,4.83266316174589e-08,9.30802627782052e-07,8.17398242087192,"Up"
"ZG16B",124220,1.64282785948031,9.3394349069646,6.27672580271598,1.33461361241004e-08,3.3581947131907e-07,9.41789832579984,"Up"
"MIR155HG",NA,1.3508520035921,6.17251554425222,4.42909845783026,2.75621794183622e-05,0.00019213039576534,2.08499555583562,"Up"
"MIR155",406947,1.3508520035921,6.17251554425222,4.42909845783026,2.75621794183622e-05,0.00019213039576534,2.08499555583562,"Up"
"SERPINA1",5265,1.43033551201671,9.51461716039916,5.95056049203998,5.5585872230697e-08,1.05118282331105e-06,8.03882298686966,"Up"
"DOC2B",8447,1.32141936582628,6.46046302255755,9.03100595972276,4.0852322579837e-14,1.72845190408607e-11,21.7466308249358,"Up"
"GREM1",26585,2.80815099323805,9.7284653397292,6.55501393779228,3.87406328146383e-09,1.22956302648892e-07,10.6153628767227,"Up"
"SLPI",6590,1.13857735104392,10.463715773743,4.85625082602887,5.27433643759506e-06,4.72647105923305e-05,3.66130450669656,"Up"
"HSPA13",6782,1.01835998788551,9.13314503620762,6.78762991464109,1.36114005401963e-09,5.48341502192933e-08,11.6290511494727,"Up"
"GPR183",1880,1.16927347723493,8.65290154844836,5.22463565084023,1.19290166611992e-06,1.35326190526111e-05,5.08562072897093,"Up"
"RGCC",28984,1.73496311557213,8.95179601908553,8.24591759895894,1.62784521359105e-12,2.72591184684848e-10,18.1639843757143,"Up"
"IGLV4-60",NA,1.36385273069872,7.71695215334652,4.30652793902887,4.36260210710262e-05,0.000284819402622274,1.64916244934359,"Up"
"IGLV1-51",NA,1.34160677004577,10.1109617437451,4.10272945768895,9.21064083566726e-05,0.00053612858550334,0.942073736002326,"Up"
"IGLV9-49",NA,1.17399348374121,5.5405216295634,3.89427997329515,0.000193495965966709,0.0010045941648142,0.242757160098996,"Up"
"IGLV1-47",NA,1.53382985360563,10.9889175335201,4.71483042724426,9.19913234877545e-06,7.61413982936822e-05,3.12996131526522,"Up"
"IGLV7-43",NA,1.08641846389558,6.65214296395731,5.2735725699967,9.7541004814701e-07,1.14114838740202e-05,5.27892292160639,"Up"
"FGF7P1",NA,1.4939285850549,6.97245772431866,4.97879072371892,3.23564265133187e-06,3.13626719020457e-05,4.12883529630252,"Up"
"IGLV3-25",NA,1.84392350439559,9.8678508647339,5.35850832030769,6.86427113051786e-07,8.55191172595667e-06,5.61656271928626,"Up"
"IGLV3-19",NA,1.66629992894705,10.2754379094633,5.21950887555029,1.21826337668913e-06,1.37646585647167e-05,5.0654229382191,"Up"
"IGLV2-14",NA,1.11555175999666,12.4337527021131,4.08431119102976,9.84401988292025e-05,0.00056661021295454,0.879288948447067,"Up"
"CEBPB",1051,1.02373742380331,11.3515352833921,6.58409063852362,3.40119179301792e-09,1.10128921563534e-07,10.7414724140786,"Up"
"MIR223",407008,1.18283206878338,6.01531688251472,6.10595650337955,2.82621817071692e-08,6.05706872327765e-07,8.69233270081607,"Up"
"DSG3",1830,1.49849905259207,4.88526343378667,4.83072594731137,5.83496172753573e-06,5.16791914349374e-05,3.56474008238611,"Up"
"IGLV3-10",NA,1.25493572362656,10.7357914195777,3.55552108495899,0.000614570329038042,0.00267202937672634,-0.838480914647119,"Up"
"IGLV2-8",NA,1.11555175999666,12.4337527021131,4.08431119102976,9.84401988292025e-05,0.00056661021295454,0.879288948447067,"Up"
"MIR650",723778,1.11555175999666,12.4337527021131,4.08431119102976,9.84401988292025e-05,0.00056661021295454,0.879288948447067,"Up"
"SELENOM",140606,1.05790507995597,9.41925330738844,6.29043394275324,1.25622720713953e-08,3.19235360147271e-07,9.47645997422229,"Up"
"CCL18",6362,1.78751290005434,9.75576835545039,4.57655019679129,1.57168101550263e-05,0.000120570770279875,2.61932859372844,"Up"
"SERPINB7",8710,2.14687374277711,5.32956947090742,4.9563940489928,3.53948616271533e-06,3.37107512755388e-05,4.04290394446609,"Up"
"STC1",6781,1.22435233826037,6.23813447069086,4.2784594630656,4.84143795781146e-05,0.000310302845859273,1.5504549429744,"Up"
"VSIG1",340547,1.70284287931832,5.11416443690525,6.66496434138364,2.36594375423646e-09,8.38647374880779e-08,11.0931546506259,"Up"
"MTCL1",23255,1.82811388131403,7.42337372073447,6.74453795356376,1.65342944406126e-09,6.29903281753662e-08,11.4404621585759,"Up"
"SASH3",54440,1.19036926934186,7.76946108329685,6.34773589774171,9.7494809657854e-09,2.60749229310201e-07,9.72174832732935,"Up"
"CD93",22918,1.00103961790385,9.17745423247148,5.98114911420544,4.86807463466544e-08,9.36030220456364e-07,8.16693066838933,"Up"
"CCN4",8840,1.33773327722032,5.38384280122969,6.07894540253635,3.18025195957833e-08,6.669315301026e-07,8.57826364052637,"Up"
"TYRP1",7306,1.1981197994968,6.28165068242054,3.63814318111982,0.000466411502628496,0.00212116086491302,-0.581337412770027,"Up"
"TLR8",51311,1.16835568479142,6.50202538450401,6.0548356394663,3.53300164070978e-08,7.26676560120106e-07,8.47661327712032,"Up"
"LILRB2",10288,1.13063716259711,6.8727547465187,5.45159222313101,4.65726381461488e-07,6.19468540226101e-06,5.98962479968484,"Up"
"NAMPTP1",NA,1.01776212090866,10.0029843045603,4.90259303661454,4.3875606950595e-06,4.0382475158507e-05,3.83735430837394,"Up"
"TUBB6",84617,1.03063722859595,9.5083630963613,4.70954023806834,9.3910158991413e-06,7.75865264215138e-05,3.11026129546561,"Up"
"BCL2A1",597,2.03391261753819,8.58605384871087,5.19460684197633,1.34915218499533e-06,1.50241319499306e-05,4.96746191498251,"Up"
"FOXQ1",94234,2.14043952840217,8.39406049694838,4.79591698871522,6.69385883059091e-06,5.79042013491247e-05,3.43351873556448,"Up"
"BANK1",55024,1.41380319218177,6.60241210084333,4.66393829504992,1.12145187854347e-05,9.09113392436303e-05,2.94098346087637,"Up"
"GNA15",2769,1.3954073300428,7.77257492021363,6.88818082760171,8.63417606312761e-10,3.85173512287317e-08,12.0704389353602,"Up"
"CXCL6",6372,3.70630019385334,7.06731503971956,7.83371841107654,1.11456260479508e-11,1.19663494205727e-09,16.2940748941959,"Up"
"SLC7A11",23657,1.89512711925528,7.20498938893389,7.99330402243368,5.29955289526438e-12,6.60648152315764e-10,17.0165978475031,"Up"
"CCL19",6363,1.55123830542895,8.90854544786486,3.36484486134557,0.00114383636801476,0.00450290250208479,-1.4150237918913,"Up"
"IDO1",3620,2.91214584156286,9.06297828787055,7.31547410847327,1.22603255802057e-10,8.09145428512455e-09,13.9646955581552,"Up"
"RAC2",5880,1.19100718771792,8.89124624022016,6.67503727000416,2.26117189099213e-09,8.1181497699156e-08,11.1370500866161,"Up"
"DUOX2",50506,5.48880720359181,9.4678367741311,11.2123763935592,1.54619365909734e-18,6.93900790329703e-15,31.6324078851235,"Up"
"DERL3",91319,1.16997935692417,7.77291414893077,6.25020652848994,1.50022485736237e-08,3.6992907224565e-07,9.30473826305753,"Up"
"IFIT3",3437,1.23536404160801,8.78248229539222,4.56672856208492,1.63210120146272e-05,0.000124524715605651,2.58340576613854,"Up"
"MZB1",51237,1.7524751179974,9.62360789019011,5.98472859086762,4.79301687220982e-08,9.24767889901256e-07,8.18193914392985,"Up"
"CD72",971,1.45292362576032,6.12404800799318,6.05482583468381,3.53315266763686e-08,7.26676560120106e-07,8.47657197083943,"Up"
"IGKV1D-8",NA,1.18108123207784,6.7726117900176,4.64793053590265,1.19327645983502e-05,9.55259738931077e-05,2.88179186736699,"Up"
"ZBP1",81030,1.23631580130478,6.28732423761775,7.95054849476914,6.46878048628472e-12,7.52087903273279e-10,16.8228262257829,"Up"
"PIM2",11040,1.35604566066935,8.48569731432033,6.25182381014388,1.48956790102014e-08,3.67705325973498e-07,9.31163436111128,"Up"
"FPR2",2358,1.23248257621155,6.51895646678859,4.81440504542775,6.22340363374899e-06,5.44857409823229e-05,3.50314694376239,"Up"
"CD274",29126,1.42713982761518,6.70099957584763,7.2775048221712,1.45976473893705e-10,9.33209714444688e-09,13.7952778129066,"Up"
"CXCL9",4283,2.68872205081679,8.99961984352381,6.00770052098728,4.33776182745914e-08,8.54565738773975e-07,8.27834440065853,"Up"
