"external_gene_name","entrezgene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"SHANK3",85358,1.32256377568471,6.44477374063522,9.44637896997154,5.79839550130313e-15,2.59037826689593e-13,23.5852203582538,"Up"
"P2RY8",286530,1.2297922289711,7.61762947403156,5.36253910270616,6.75034385104979e-07,4.35887671003471e-06,5.32097987317405,"Up"
"ECSCR",641700,1.59422640413442,7.61565045046676,9.90514334650329,6.73678349900489e-16,3.74174962708343e-14,25.7135171252488,"Up"
"C1R",715,1.027071613654,10.29003218733,5.54104489536825,3.19937806950083e-07,2.24205585340368e-06,6.04752813479761,"Up"
"ANKRD36B",57730,1.32080616435437,6.55422765937225,7.45960193315669,6.31161843488741e-11,1.10559255316502e-09,14.4105193582451,"Up"
"IGKV2-28",NA,1.03602437288636,11.4834241502643,3.37396016423076,0.00111092049176902,0.00315055903020477,-1.77288446732628,"Up"
"SAA1",6288,2.27745786216975,7.74643239237743,6.20775859866247,1.80850984474237e-08,1.7305395482377e-07,8.85337503334822,"Up"
"TFF2",7032,1.42758797290103,7.92409320154956,4.1379914699143,8.10556492504481e-05,0.000310270848435825,0.702143314746366,"Up"
"TFF1",7031,1.40160050150941,12.5663309101574,4.60454620146505,1.4111197361449e-05,6.62706483033811e-05,2.37851096826418,"Up"
"MIR1245A",100302219,1.55968867456939,6.49929622890028,6.26351038251932,1.41475145733458e-08,1.39418568076991e-07,9.09380273938462,"Up"
"OLFM4",10562,1.49269902961735,12.8219303238005,5.06122664490355,2.32142818021808e-06,1.30847844601642e-05,4.12204832040204,"Up"
"PCDH17",27253,1.815156326166,6.88649995000611,7.79871407953016,1.31161141341669e-11,2.773915976028e-10,15.9585130751264,"Up"
"CYYR1",116159,1.53949968605489,7.10954101086089,8.91267759993343,7.12508116077228e-14,2.51383170073222e-12,21.106019592809,"Up"
"SACS",26278,1.39928982283927,6.93185972020774,6.495797913513,5.04747698340156e-09,5.56395665566558e-08,10.1038387865166,"Up"
"DGKZP1",NA,1.0445477546044,7.93770644451569,14.4610836899784,8.48631803851811e-25,4.52611605179572e-22,45.9660018054937,"Up"
"COL18A1",80781,1.51056842884811,7.71697044850872,7.9572759595919,6.26906283033126e-12,1.41663142849751e-10,16.6863675343802,"Up"
"DEFA5",1670,5.36785897611503,8.74997731339227,7.02551056677098,4.62440490525944e-10,6.58420188255815e-09,12.4508680695031,"Up"
"DEFB4B",1673,2.88428620723804,7.46333602148693,6.57167934220012,3.59560620737107e-09,4.13965149754743e-08,10.4365215817497,"Up"
"DEFB4B",100289462,2.88428620723804,7.46333602148693,6.57167934220012,3.59560620737107e-09,4.13965149754743e-08,10.4365215817497,"Up"
"DEFB4B",124906748,2.88428620723804,7.46333602148693,6.57167934220012,3.59560620737107e-09,4.13965149754743e-08,10.4365215817497,"Up"
"CDKN1C",1028,1.07438294008212,7.0927052953396,6.82889380861567,1.12945785702165e-09,1.45906187989112e-08,11.5733033910993,"Up"
"DEFB4A",1673,2.88428620723804,7.46333602148693,6.57167934220012,3.59560620737107e-09,4.13965149754743e-08,10.4365215817497,"Up"
"DEFB4A",100289462,2.88428620723804,7.46333602148693,6.57167934220012,3.59560620737107e-09,4.13965149754743e-08,10.4365215817497,"Up"
"DEFA6",1671,4.38195917009523,9.24117986099114,6.91631526823415,7.59933731348096e-10,1.02108700585149e-08,11.9626328518117,"Up"
"HNRNPL",3191,1.09085378822005,8.8401430035781,13.5167957820528,4.95452305179053e-23,1.52026555806109e-20,41.9523173006091,"Up"
"SERPINB4",6318,1.12469442804089,4.57338861992071,3.0019754689603,0.00350618073291668,0.00868791219699477,-2.83866082326273,"Up"
"CASP4LP",643733,1.82988207392403,7.11454781011469,8.66219769123347,2.31155163914079e-13,7.25439261967555e-12,19.943522064435,"Up"
"CASP4LP",NA,1.82988207392403,7.11454781011469,8.66219769123347,2.31155163914079e-13,7.25439261967555e-12,19.943522064435,"Up"
"RAB12",201475,1.1324951757039,7.4294198751997,7.69112793153296,2.16178203776375e-11,4.26633484128239e-10,15.4660271000672,"Up"
"ITGB2-AS1",100505746,1.05598994431885,6.03815958598595,6.21143614260787,1.77949354785944e-08,1.7064126376247e-07,8.86920945591141,"Up"
"IGHG3",NA,1.268200290393,6.7509486431151,6.01753413349667,4.15616991971955e-08,3.6316314964403e-07,8.03929997372333,"Up"
"IGHGP",NA,2.30532195637867,13.3339465257548,7.67525091498186,2.32700573972976e-11,4.54840433743868e-10,15.3934503008044,"Up"
"IGHG1",NA,1.8866497812854,10.043576275552,8.34324556235677,1.03202607792314e-12,2.77669462380303e-11,18.4663139396496,"Up"
"IGHG4",NA,1.268200290393,6.7509486431151,6.01753413349667,4.15616991971955e-08,3.6316314964403e-07,8.03929997372333,"Up"
"FGF7P2",NA,1.29473978303394,6.97245772431866,4.2467325757168,5.44373440232726e-05,0.000218675181263554,1.08256923208778,"Up"
"IGHG2",NA,1.8866497812854,10.043576275552,8.34324556235677,1.03202607792314e-12,2.77669462380303e-11,18.4663139396496,"Up"
"IGHM",NA,1.17145737770597,9.17045308768925,4.16556722486776,7.33136123052109e-05,0.000285101027190745,0.797998308891152,"Up"
"FAM30A",9834,1.33836208523464,6.95681921078135,6.50320938662704,4.88325744984594e-09,5.41113155146139e-08,10.1362755378125,"Up"
"ZG16B",124220,1.53527285577762,9.3394349069646,5.77304650251161,1.19417360291293e-07,9.34637651753167e-07,7.00832139536395,"Up"
"MIR155HG",NA,1.36072262292286,6.17251554425222,4.39092030836984,3.18247361966572e-05,0.000136099724703029,1.59685077331167,"Up"
"MIR155",406947,1.36072262292286,6.17251554425222,4.39092030836984,3.18247361966572e-05,0.000136099724703029,1.59685077331167,"Up"
"SERPINA1",5265,1.39477134111891,9.51461716039916,5.71085791001846,1.55771355319625e-07,1.18970505174168e-06,6.74903169217891,"Up"
"PMEPA1",56937,1.28973050292235,9.08914654330538,6.79390249504891,1.32310184412386e-09,1.684964942128e-08,11.417874291183,"Up"
"DOC2B",8447,1.12138251002383,6.46046302255755,7.54271374887145,4.29913673373728e-11,7.87707746308804e-10,14.7886930070598,"Up"
"GREM1",26585,2.76378344535497,9.7284653397292,6.34944200966631,9.67606623056898e-09,9.9642611357383e-08,9.46592664135338,"Up"
"SLPI",6590,1.32029256508262,10.463715773743,5.54226303718044,3.18300436858664e-07,2.23198234458486e-06,6.05252528049357,"Up"
"MIR6821",102465493,1.1394616210818,10.3289221565434,11.4256338900028,5.80430411590637e-19,6.54486331943834e-17,32.6928313494265,"Up"
"RGCC",28984,1.85620577963519,8.95179601908553,8.68266912123336,2.09966879682916e-13,6.62650747286211e-12,20.0384696437449,"Up"
"CBR3",874,1.12870114556314,7.82713628031503,6.94467571184968,6.68079296649851e-10,9.16882650613211e-09,12.0892362640839,"Up"
"IGLV1-51",NA,1.55620763098576,10.1109617437451,4.68374848359779,1.03836265798853e-05,5.03670983195086e-05,2.67403169746461,"Up"
"IGLV9-49",NA,1.30596628252861,5.5405216295634,4.26355466603057,5.11591950411137e-05,0.000207138429723484,1.14199793845576,"Up"
"IGLV1-47",NA,1.2019658163318,10.9889175335201,3.63629738993837,0.000469314972867907,0.00147969069498145,-0.964240585615108,"Up"
"FGF7P1",NA,1.29473978303394,6.97245772431866,4.2467325757168,5.44373440232726e-05,0.000218675181263554,1.08256923208778,"Up"
