"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016324","apical plasma membrane","24/239","413/19880",0.0581113801452785,4.83369973760726,8.68476409235897,2.11566927088383e-10,4.90835270845048e-08,4.54312138168738e-08,"SLC16A1/CDHR5/TRPM6/NHERF4/AMN/P2RY1/SLC26A2/SLC23A1/CA12/PRKG2/SLC3A1/SLC9A2/SLC22A4/SLC1A1/SLC22A5/AQP8/ANXA13/SLC17A4/ABCG2/CYP4F2/CYP4F12/SCNN1B/ABCB1/MYO1A",24
"GO:0045177","apical part of cell","25/239","479/19880",0.0521920668058455,4.34133174937326,8.16563034664825,8.19873628634521e-10,9.51053409216044e-08,8.80285369691801e-08,"SLC16A1/CDHR5/TRPM6/NHERF4/AMN/P2RY1/SLC26A2/SLC23A1/CA12/PRKG2/SLC3A1/SLC9A2/SLC22A4/SLC1A1/CA2/SLC22A5/AQP8/ANXA13/SLC17A4/ABCG2/CYP4F2/CYP4F12/SCNN1B/ABCB1/MYO1A",25
"GO:0045178","basal part of cell","19/239","317/19880",0.0599369085173502,4.98554703483231,7.89067692265631,1.06544730756306e-08,8.2394591784877e-07,7.62635967518825e-07,"SLC16A1/CLDN8/P2RY1/ANK3/SLC23A1/CA12/SLC51A/SLC51B/SLC22A4/BEST2/SLC22A5/AQP8/ANXA13/BSG/SLC4A4/SLC39A5/EDN1/MYO1A/CLCN2",19
"GO:0009925","basal plasma membrane","18/239","298/19880",0.0604026845637584,5.02429024739547,7.72117373385965,2.33721233860644e-08,1.35558315639173e-06,1.25471399230451e-06,"SLC16A1/CLDN8/P2RY1/ANK3/SLC23A1/CA12/SLC51A/SLC51B/SLC22A4/BEST2/SLC22A5/AQP8/ANXA13/BSG/SLC4A4/SLC39A5/MYO1A/CLCN2",18
"GO:0005903","brush border","11/239","109/19880",0.100917431192661,8.39430348163218,8.53907094113488,8.20720168635191e-08,3.80814158246729e-06,3.5247771452964e-06,"CDHR5/TRPM6/NHERF4/AMN/SLC3A1/SLC22A5/AQP8/SLC17A4/ABCG2/SCIN/MYO1A",11
"GO:0031526","brush border membrane","8/239","60/19880",0.133333333333333,11.0906555090656,8.63490570644263,5.79461564028393e-07,2.24058471424312e-05,2.07386243968056e-05,"CDHR5/TRPM6/AMN/SLC3A1/SLC22A5/AQP8/SLC17A4/ABCG2",8
"GO:0016323","basolateral plasma membrane","15/239","264/19880",0.0568181818181818,4.7261316089768,6.72309652978839,7.75303036831834e-07,2.56957577921408e-05,2.37837322576984e-05,"SLC16A1/CLDN8/P2RY1/ANK3/CA12/SLC51A/SLC51B/BEST2/AQP8/ANXA13/BSG/SLC4A4/SLC39A5/MYO1A/CLCN2",15
"GO:0098862","cluster of actin-based cell projections","11/239","173/19880",0.0635838150289017,5.2888964132827,6.24989570227069,8.20474070343647e-06,0.000237937480399658,0.000220232513618558,"CDHR5/TRPM6/NHERF4/AMN/SLC3A1/SLC22A5/AQP8/SLC17A4/ABCG2/SCIN/MYO1A",11
"GO:0031253","cell projection membrane","14/239","359/19880",0.0389972144846797,3.24378503747043,4.732513491231,0.000121011761094443,0.00311941428599008,0.00288729815944635,"CDHR5/TRPM6/AMN/SLC26A2/PDE6A/CDHR1/SLC38A4/SLC3A1/SLC22A5/AQP8/PHLPP2/SLC17A4/ABCG2/CLCN2",14
"GO:0031528","microvillus membrane","4/239","33/19880",0.121212121212121,10.0824140991505,5.76003674105059,0.000633804454724977,0.0147042633496195,0.013610116711989,"CDHR5/AMN/SLC26A2/SLC38A4",4
"GO:0042622","photoreceptor outer segment membrane","3/239","16/19880",0.1875,15.5962343096234,6.44290731679456,0.00085585310441372,0.0180507200203621,0.0167075629952535,"PDE6A/CDHR1/PHLPP2",3
"GO:0005902","microvillus","6/239","100/19880",0.06,4.9907949790795,4.41327198170039,0.00131896203533741,0.0254999326831899,0.0236024785270904,"CDHR5/FOXA1/AMN/SLC26A2/SLC38A4/MYO1A",6
