"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","22/145","73/9446",0.301369863013699,19.6326877657062,19.9534403941588,3.21013320790041e-23,6.54867174411684e-21,5.87961240183865e-21,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH6/CYP2B6/ADH1A/GSTA1/MAOA/UGT2B17/FMO5/FMO4",22
"Organismal Systems","Digestive system","hsa04976","Bile secretion","22/145","90/9446",0.244444444444444,15.9242911877395,17.7619246018164,5.38456037404839e-21,5.49225158152936e-19,4.93112371097063e-19,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/SLC51A/NR1H4/SLC51B/CA2/UGT2B17/AQP8/ABCG2/SLC4A4/ABCB1",22
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","20/145","79/9446",0.253164556962025,16.4923614142296,17.2643831379591,1.70538766038157e-19,9.31396514100766e-18,8.36238356313381e-18,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH6/CYP2B6/ADH1A/GSTA1/CYP2S1/UGT2B17",20
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","19/145","68/9446",0.279411764705882,18.2022312373225,17.7747820200607,1.82626767470738e-19,9.31396514100766e-18,8.36238356313381e-18,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH6/CYP2B6/ADH1A/CYP2S1/UGT2B17",19
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","18/145","64/9446",0.28125,18.3219827586207,17.3604122809888,1.50958693144407e-18,6.1591146802918e-17,5.5298552857109e-17,"DHRS11/UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/HSD11B2/HSD17B2/UGT2B17/HSD3B2",18
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","14/145","31/9446",0.451612903225806,29.4202447163515,19.7887634897758,4.52497902810137e-18,1.53849286955446e-16,1.38130938752568e-16,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",14
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","14/145","36/9446",0.388888888888889,25.3340996168582,18.2638310196222,6.06844696964197e-17,1.7685188311528e-15,1.58783424468828e-15,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",14
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","14/145","46/9446",0.304347826086957,19.8266866566717,15.9811873763698,3.36497540597086e-15,8.58068728522569e-14,7.70402263998591e-14,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",14
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","16/145","81/9446",0.197530864197531,12.8681140911026,13.3933892634246,5.89263333845121e-14,1.33566355671561e-12,1.19920257414095e-12,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/GSTA1/UGT2B17/CES2",16
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","15/145","71/9446",0.211267605633803,13.7629917435648,13.4777123923954,1.30511441875474e-13,2.66243341425968e-12,2.39042009329816e-12,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/GSTA1/UGT2B17",15
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","19/145","217/9446",0.0875576036866359,5.70392499602733,8.7525196064512,7.20895278641648e-10,1.33693306220815e-08,1.20034237783394e-08,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/RPS6KA6/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/CYP2B6/GSTA1/EPHX2/UGT2B17/PAQR5",19
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","14/145","154/9446",0.0909090909090909,5.92225705329154,7.68936027844066,8.98545319833341e-08,1.52752704371668e-06,1.37146390921931e-06,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",14
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","8/145","61/9446",0.131147540983607,8.54358394573205,7.37981825850176,3.76376287701708e-06,5.90621251470373e-05,5.30279142187022e-05,"TRPM6/MT1E/MT1M/MT1H/MT1X/MT1F/MT1G/CLCN2",8
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","4/145","17/9446",0.235294117647059,15.3281947261663,7.38249698045257,0.000108526011680193,0.00158137902733995,0.001419813987395,"CA1/CA12/CA7/CA2",4
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","5/145","43/9446",0.116279069767442,7.57497995188452,5.39530005650822,0.000478740131555667,0.00651086578915707,0.00584566897478498,"ADH1C/ADH6/ADH1A/ACADS/ACOX1",5
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","5/145","47/9446",0.106382978723404,6.93030080704329,5.08867819470233,0.000726288470896115,0.00926017800392547,0.0083140917063108,"ADH1C/ADH6/ADH1A/PCK1/LDHD",5
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","6/145","83/9446",0.072289156626506,4.70926464478604,4.23779080756797,0.00168716662863639,0.0202459995436367,0.0181775228100763,"PEX11A/PXMP2/AMACR/PHYH/EPHX2/ACOX1",6
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","4/145","37/9446",0.108108108108108,7.04268406337372,4.59810808703775,0.00237371824456464,0.0269021401050659,0.0241536242429384,"ADH1C/ADH6/ADH1A/MAOA",4
