"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015020","glucuronosyltransferase activity","14/230","34/18639",0.411764705882353,33.3690537084399,21.1155840037054,1.42626803959527e-18,8.35793071202828e-16,7.1913935891172e-16,"UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17",14
"GO:0008194","UDP-glycosyltransferase activity","18/230","145/18639",0.124137931034483,10.0600299850075,12.2418395301811,2.35547865819901e-13,6.90155246852308e-11,5.93828566988065e-11,"GCNT2/UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/GXYLT2/UGT2B17/GALNT12/B4GALNT2",18
"GO:0016758","hexosyltransferase activity","18/230","197/18639",0.0913705583756345,7.40459059810196,10.1011065113595,4.49171678233078e-11,8.77382011481946e-09,7.54923627626822e-09,"GCNT2/UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/UGT2B17/GALNT12/B4GALNT2/PIGZ",18
"GO:0016757","glycosyltransferase activity","19/230","267/18639",0.0711610486891386,5.76682950659502,8.76910972129197,9.37242905280347e-10,1.37306085623571e-07,1.18141934639286e-07,"GCNT2/UGT2B11/UGT2A3/UGT2B15/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/GXYLT2/UGT2B17/GALNT12/B4GALNT2/PIGZ",19
"GO:0033293","monocarboxylic acid binding","9/230","79/18639",0.113924050632911,9.23230599889929,8.19586011855953,5.51631300022288e-07,5.58953305049463e-05,4.80938805673959e-05,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7/GSTA1/NR1H4/PPARG/ACOX1",9
"GO:0031406","carboxylic acid binding","13/230","187/18639",0.0695187165775401,5.63373634038596,7.11834236294241,5.91468596137325e-07,5.58953305049463e-05,4.80938805673959e-05,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7/GSTA1/NR1H4/PHYH/PCK1/PPARG/TM4SF5/SLC1A1/ACOX1",13
"GO:0043177","organic acid binding","13/230","189/18639",0.0687830687830688,5.57412008281574,7.06461910555841,6.67691661321885e-07,5.58953305049463e-05,4.80938805673959e-05,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7/GSTA1/NR1H4/PHYH/PCK1/PPARG/TM4SF5/SLC1A1/ACOX1",13
"GO:0008514","organic anion transmembrane transporter activity","15/230","269/18639",0.0557620817843866,4.51891061903992,6.49797850688319,1.33618828400969e-06,9.78757918037095e-05,8.42150247421894e-05,"SLC16A1/SLC26A2/SLC23A1/SLC51A/SLC38A4/SLC16A9/SLC51B/SLC3A1/SLC1A1/BEST2/BEST4/ABCG2/SLC4A4/SLC39A5/ABCB1",15
"GO:0001972","retinoic acid binding","5/230","20/18639",0.25,20.2597826086957,9.63244805145972,3.65114542269814e-06,0.000237730135300123,0.000204549550581568,"UGT1A9/UGT1A1/UGT1A3/UGT1A8/UGT1A7",5
"GO:0015293","symporter activity","10/230","146/18639",0.0684931506849315,5.55062537224538,6.17010137870426,1.37852140927689e-05,0.000807813545836256,0.000695065005309083,"SLC16A1/SLC23A1/SLC38A4/SLC16A9/SLC22A4/SLC1A1/SLC22A5/SLC17A4/SLC4A4/SLC39A5",10
