"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","53/408","309/18805",0.171521035598705,7.90552224125896,18.227141217245,3.2268776562976e-32,1.34625335820736e-28,9.83348506840165e-29,"C1R/DEFA5/DEFB4A/DEFA6/SLPI/GPR183/RGCC/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/LYZ/SPINK5/IL17A/IL1B/CFB/IFNG/CCL20/REG3A/TREM1/CXCL8/CCL21/DMBT1/CXCL2/CCR6/MMP7/S100A12/CCL11/CCR7/PI3/CXCL1/LTF/CLU/C3/SERPING1/CR2/CFI/SPNS2/CD55/ADM/MS4A1/S100A7/CCL24/C4BPB/REG1B/REG1A/C4BPA/S100A9",53
"GO:0006935","chemotaxis","55/408","466/18805",0.118025751072961,5.43988786501725,14.4530276429406,5.40001237127225e-25,9.28563402370455e-22,6.78253784594658e-22,"ECSCR/SAA1/GPR18/DEFB4A/GREM1/GPR183/MIR223/CCL18/CXCL6/CCL19/RAC2/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/WNT5A/IL1B/FFAR2/CCL20/ROBO1/EGR3/TREM1/CXCL8/CCL21/C5AR1/CXCR4/CXCL2/CCR6/PDE4B/CMTM2/S100A12/CCL11/PLAU/RIPOR2/CCR7/ANXA1/PLAUR/CXCL1/ENPP2/EPHA2/LYN/CORO1A/CXCR2/CSF3R/ACKR4/S100A7/CCL24/F3/S100A8/CCN1/S100A9",55
"GO:0042330","taxis","55/408","468/18805",0.117521367521368,5.41664048097872,14.408956536847,6.67710979652772e-25,9.28563402370455e-22,6.78253784594658e-22,"ECSCR/SAA1/GPR18/DEFB4A/GREM1/GPR183/MIR223/CCL18/CXCL6/CCL19/RAC2/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/WNT5A/IL1B/FFAR2/CCL20/ROBO1/EGR3/TREM1/CXCL8/CCL21/C5AR1/CXCR4/CXCL2/CCR6/PDE4B/CMTM2/S100A12/CCL11/PLAU/RIPOR2/CCR7/ANXA1/PLAUR/CXCL1/ENPP2/EPHA2/LYN/CORO1A/CXCR2/CSF3R/ACKR4/S100A7/CCL24/F3/S100A8/CCN1/S100A9",55
"GO:0050900","leukocyte migration","50/408","395/18805",0.126582278481013,5.83426408538099,14.4605137740271,3.75769068326259e-24,3.91927138264288e-21,2.86276698106452e-21,"SAA1/GPR18/GREM1/GPR183/MIR223/CXCL6/CCL19/RAC2/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/ADA/WNT5A/IL17A/IL1B/FFAR2/CCL20/TREM1/CXCL8/CCL21/C5AR1/CXCR4/CCR6/PDE4B/S100A12/CCL11/RIPOR2/IL33/CCR7/ANXA1/SELL/MADCAM1/LYN/CORO1A/SPNS2/FYN/PECAM1/THY1/CXCR2/CSF3R/S100A7/CCL24/IL1A/S100A8/SELP/S100A9",50
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","31/408","136/18805",0.227941176470588,10.5059652537486,16.5686394544788,4.44629639020846e-23,3.70998970798994e-20,2.70990064203231e-20,"DEFA5/DEFB4A/DEFA6/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/SPINK5/IL17A/CCL20/REG3A/CXCL8/CCL21/DMBT1/CXCL2/MMP7/S100A12/CCL11/CXCL1/LTF/ADM/S100A7/CCL24/REG1B/REG1A/S100A9",31
"GO:0060326","cell chemotaxis","44/408","325/18805",0.135384615384615,6.23996983408748,14.1906138545016,1.5866228775788e-22,1.10323177420979e-19,8.05837408875546e-20,"SAA1/GPR18/DEFB4A/GREM1/GPR183/MIR223/CCL18/CXCL6/CCL19/RAC2/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/WNT5A/IL1B/FFAR2/CCL20/EGR3/TREM1/CXCL8/CCL21/C5AR1/CXCR4/CCR6/PDE4B/S100A12/CCL11/RIPOR2/CCR7/ANXA1/EPHA2/LYN/CORO1A/CXCR2/CSF3R/ACKR4/S100A7/CCL24/S100A8/S100A9",44
"GO:0030595","leukocyte chemotaxis","38/408","234/18805",0.162393162393162,7.48481230098877,14.8651533076858,1.99683466794471e-22,1.19011346209505e-19,8.69298701308261e-20,"SAA1/GPR18/GREM1/GPR183/MIR223/CXCL6/CCL19/RAC2/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/WNT5A/IL1B/FFAR2/TREM1/CXCL8/CCL21/C5AR1/CXCR4/CCR6/PDE4B/S100A12/CCL11/RIPOR2/CCR7/ANXA1/LYN/CORO1A/CXCR2/CSF3R/S100A7/CCL24/S100A8/S100A9",38
"GO:0019730","antimicrobial humoral response","34/408","185/18805",0.183783783783784,8.47072072072072,15.2068837481201,5.75363809460889e-22,3.00052226633854e-19,2.19168187945957e-19,"DEFA5/DEFB4A/DEFA6/SLPI/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/LYZ/SPINK5/IL17A/CCL20/REG3A/CXCL8/CCL21/DMBT1/CXCL2/MMP7/S100A12/CCL11/PI3/CXCL1/LTF/ADM/S100A7/CCL24/REG1B/REG1A/S100A9",34
"GO:0001906","cell killing","39/408","263/18805",0.14828897338403,6.83474055021248,14.1906678119041,1.62385791841954e-21,7.52748359516258e-19,5.49832593429774e-19,"DEFA5/DEFB4A/DEFA6/SERPINB4/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL3/LYZ/GZMB/CCL20/TREM1/CXCL8/APOL1/CCL21/NKG7/CXCL2/IL7R/S100A12/CCL11/RASGRP1/CADM1/AZGP1/CD2/NOS2/GBP5/CXCL1/LTF/FCGR3B/C3/CORO1A/CD55/FCGR3A/GBP1/PLA2G2A",39
"GO:0097530","granulocyte migration","30/408","149/18805",0.201342281879195,9.28000394788788,15.111101063043,1.04540806507321e-20,4.36144244748544e-18,3.18574352461784e-18,"SAA1/MIR223/CXCL6/CCL19/RAC2/CXCL9/CXCL13/PF4/CXCL5/CXCL3/IL17A/IL1B/TREM1/CXCL8/CCL21/C5AR1/PDE4B/S100A12/CCL11/RIPOR2/CCR7/ANXA1/PECAM1/CXCR2/CSF3R/S100A7/CCL24/IL1A/S100A8/S100A9",30
"GO:0031640","killing of cells of another organism","27/408","119/18805",0.226890756302521,10.4575506673258,15.4125920611509,3.4092893108708e-20,1.18529625041275e-17,8.65780048681663e-18,"DEFA5/DEFB4A/DEFA6/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL3/LYZ/GZMB/CCL20/TREM1/CXCL8/APOL1/CCL21/NKG7/CXCL2/S100A12/CCL11/GBP5/CXCL1/LTF/GBP1/PLA2G2A",27
"GO:0141061","disruption of cell in another organism","27/408","119/18805",0.226890756302521,10.4575506673258,15.4125920611509,3.4092893108708e-20,1.18529625041275e-17,8.65780048681663e-18,"DEFA5/DEFB4A/DEFA6/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL3/LYZ/GZMB/CCL20/TREM1/CXCL8/APOL1/CCL21/NKG7/CXCL2/S100A12/CCL11/GBP5/CXCL1/LTF/GBP1/PLA2G2A",27
"GO:0071621","granulocyte chemotaxis","27/408","122/18805",0.221311475409836,10.2003977820636,15.1825566992955,6.85257481231316e-20,2.19914939361311e-17,1.60633231430337e-17,"SAA1/MIR223/CXCL6/CCL19/RAC2/CXCL9/CXCL13/PF4/CXCL5/CXCL3/IL1B/TREM1/CXCL8/CCL21/C5AR1/PDE4B/S100A12/CCL11/RIPOR2/CCR7/ANXA1/CXCR2/CSF3R/S100A7/CCL24/S100A8/S100A9",27
"GO:0002237","response to molecule of bacterial origin","44/408","379/18805",0.116094986807388,5.35089761498267,12.7427931626984,7.57451035145744e-20,2.25720408473432e-17,1.64873740356912e-17,"DEFA5/DEFA6/SLPI/CEBPB/MIR223/LILRB2/CXCL6/IDO1/CD274/CXCL9/CSF2RB/CXCL13/PF4/CXCL5/MMP9/CLDN1/MMP3/WNT5A/IL1B/CXCL8/NFKBIZ/TNIP3/C5AR1/PTGS2/CXCL2/PDE4B/CASP1/SLC7A5/ASS1/PCSK1/CCR7/NOS2/GBP5/LY96/LTF/LYN/ZC3H12A/CD55/ADM/S100A7/IL1A/S100A8/SELP/DUSP10",44
"GO:0141060","disruption of anatomical structure in another organism","27/408","123/18805",0.219512195121951,10.1174677187948,15.1076461687229,8.6076891427909e-20,2.39408527358158e-17,1.74872000479857e-17,"DEFA5/DEFB4A/DEFA6/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL3/LYZ/GZMB/CCL20/TREM1/CXCL8/APOL1/CCL21/NKG7/CXCL2/S100A12/CCL11/GBP5/CXCL1/LTF/GBP1/PLA2G2A",27
"GO:0050727","regulation of inflammatory response","47/408","442/18805",0.106334841628959,4.90104582557005,12.3595331926337,1.46965643465894e-19,3.83212915337318e-17,2.79911538048528e-17,"SAA1/CEBPB/MIR223/CCN4/IDO1/ZBP1/FPR2/C2CD4A/IL2RA/MMP9/ADA/MMP3/WNT5A/IL17A/IL1B/FFAR2/IFNG/REG3A/NFKBIZ/PTGS2/NKG7/AGT/S100A12/CASP1/IL33/CDH5/CCR7/ANXA1/GBP5/SOCS3/DUOXA2/AIM2/C3/LYN/LRRK2/OSMR/BIRC3/FYN/MAP3K8/CASP5/CCL24/NCF1/S100A8/GBP1/DUSP10/PLA2G2A/S100A9",47
