"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","external side of plasma membrane","39/422","401/19880",0.0972568578553616,4.58167377764121,10.6703650522831,2.26557966286549e-15,7.61234766722804e-13,6.08129277927052e-13,"TLR8/CD274/CXCL9/CSF2RB/IL2RA/ADA/CD79A/IL17A/CLEC4A/CD3D/CXCR4/IL7R/CD19/CCR6/PLAU/SLC7A5/IL13RA2/CDH5/AZGP1/CCR7/CD2/PLAUR/SELL/BTN3A3/FCGR3B/FCRL5/IL21R/OSMR/PECAM1/THY1/CXCR2/MCAM/CSF3R/FCGR3A/ACKR4/MS4A1/F3/SELP/CTSK",39
"GO:0060205","cytoplasmic vesicle lumen","30/422","329/19880",0.0911854103343465,4.29565392759907,8.87686171920088,2.20082405866796e-11,2.65922574153899e-09,2.12438146645502e-09,"OLFM4/DEFA5/SERPINA1/SLPI/S100P/PF4/LYZ/SERPINB3/ADA/SRGN/GZMB/LCN2/TCN1/S100A12/TIMP1/PCSK1/SERPINA3/CXCL1/LTF/CLU/C3/ARHGAP9/MMRN1/SERPING1/SERPINI1/CHI3L1/S100A7/S100A8/MNDA/S100A9",30
"GO:0031983","vesicle lumen","30/422","330/19880",0.0909090909090909,4.28263679448514,8.85545366482538,2.37430869780267e-11,2.65922574153899e-09,2.12438146645502e-09,"OLFM4/DEFA5/SERPINA1/SLPI/S100P/PF4/LYZ/SERPINB3/ADA/SRGN/GZMB/LCN2/TCN1/S100A12/TIMP1/PCSK1/SERPINA3/CXCL1/LTF/CLU/C3/ARHGAP9/MMRN1/SERPING1/SERPINI1/CHI3L1/S100A7/S100A8/MNDA/S100A9",30
"GO:0062023","collagen-containing extracellular matrix","33/422","432/19880",0.0763888888888889,3.59860452869932,8.04172067947042,2.40487900115767e-10,2.02009836097245e-08,1.61380038235581e-08,"SERPINA1/GREM1/SLPI/PF4/MMP9/EGFL6/WNT5A/COL4A1/CTHRC1/AGT/TGM2/MGP/TIMP1/CCN2/COL15A1/COL5A2/AZGP1/IGFBP7/SULF1/ANXA1/SERPINA3/CLU/MMRN1/SERPING1/THBS2/COL1A2/LUM/COL6A3/S100A7/F3/S100A8/CCN1/S100A9",33
"GO:0034774","secretory granule lumen","28/422","324/19880",0.0864197530864197,4.07114855772044,8.20800681350113,3.61146311512775e-10,2.42690321336585e-08,1.93878546180542e-08,"OLFM4/DEFA5/SERPINA1/SLPI/S100P/PF4/LYZ/SERPINB3/SRGN/LCN2/TCN1/S100A12/TIMP1/PCSK1/SERPINA3/CXCL1/LTF/CLU/C3/ARHGAP9/MMRN1/SERPING1/SERPINI1/CHI3L1/S100A7/S100A8/MNDA/S100A9",28
"GO:0030667","secretory granule membrane","25/422","322/19880",0.077639751552795,3.65753142386153,7.08024875455699,2.78680475446412e-08,1.56061066249991e-06,1.24672844278658e-06,"CD93/LILRB2/FPR2/LPCAT1/RAB31/ABCA12/ACP3/C5AR1/DMBT1/VNN1/PLA1A/PLAU/SLC2A3/MME/CAV1/PLAUR/SELL/MCEMP1/FCGR3B/LAMP3/STOM/PECAM1/CXCR2/CD55/SELP",25
"GO:0042581","specific granule","16/422","160/19880",0.1,4.71090047393365,6.94049164251791,3.19277260718417e-07,1.5325308514484e-05,1.22429626290521e-05,"OLFM4/SLPI/CD93/FPR2/LYZ/LCN2/TCN1/ANXA3/PLAU/SLC2A3/PLAUR/CXCL1/MCEMP1/LTF/STOM/CHI3L1",16
"GO:0043020","NADPH oxidase complex","6/422","18/19880",0.333333333333333,15.7030015797788,9.19041579908213,1.32037618124545e-06,5.54557996123091e-05,4.43020955549462e-05,"RAC2/DUOX2/NCF1B/NCF1C/NCF2/NCF1",6
"GO:0031091","platelet alpha granule","11/422","91/19880",0.120879120879121,5.69449507838133,6.61000903041723,3.56926159026652e-06,0.000133252432703284,0.000106451661464089,"SERPINA1/PF4/SRGN/TIMP1/SERPINA3/CLU/MMRN1/SERPING1/PECAM1/THBS2/SELP",11
"GO:0005788","endoplasmic reticulum lumen","21/422","315/19880",0.0666666666666667,3.14060031595577,5.63969124985363,4.21808186670757e-06,0.000138069990468304,0.000110300274340281,"SERPINA1/SELENOM/MZB1/WNT5A/COL4A1/GPX7/APOL1/PTGS2/TIMP1/COL15A1/COL5A2/STS/IGFBP7/PLAUR/CLU/ERO1A/C3/SERPING1/COL1A2/COL6A3/CCN1",21
