"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","23/255","95/9446",0.242105263157895,8.96833849329205,13.0014035031955,3.5779761368937e-16,8.58714272854488e-14,7.19361518049154e-14,"DEFB4A/DEFB4B/LOC124906748/CEBPB/CXCL6/CXCL5/CXCL3/MMP9/MMP1/MMP3/IL17A/IL1B/IFNG/CCL20/CXCL8/LCN2/PTGS2/CXCL2/CCL11/CXCL1/S100A7/S100A8/S100A9",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","37/255","298/9446",0.124161073825503,4.59931569943414,10.5160994143707,3.75271483485177e-15,4.50325780182213e-13,3.77246596556152e-13,"TNFSF13B/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CSF2RB/CXCL13/PF4/CXCL5/CXCL3/IL2RA/IL17A/IL1B/IFNG/CCL20/CXCL8/CCL21/CXCR4/IL1RN/CXCL2/IL7R/CCR6/CCL11/IL33/IL13RA2/TNFRSF6B/CCR7/CXCL1/IL21R/INHBA/OSMR/CXCR2/CSF3R/ACKR4/CCL24/IL1A",37
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","22/255","100/9446",0.22,8.14949019607843,11.971591105208,1.40247783262847e-14,1.12198226610278e-12,9.39906196603643e-13,"CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/IL2RA/CCL20/CXCL8/CCL21/CXCR4/CXCL2/CCR6/CCL11/CCR7/CXCL1/CXCR2/ACKR4/CCL24",22
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","25/255","193/9446",0.129533678756477,4.79833384130854,8.88014780845437,5.86573242367662e-11,3.51943945420597e-09,2.94830234979535e-09,"CCL18/CXCL6/CCL19/RAC2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/CCL20/CXCL8/CCL21/CXCR4/CXCL2/ITK/CCR6/CCL11/CCR7/CXCL1/LYN/CXCR2/STAT1/CCL24/NCF1",25
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","17/255","95/9446",0.178947368421053,6.62877192982456,9.18408965039772,4.92622716085587e-10,2.36458903721082e-08,1.98086186889152e-08,"TNFSF13B/CXCL6/CXCL5/CXCL3/MMP1/HLA-DOB/MMP3/HLA-DMA/IL17A/IL1B/IFNG/CCL20/CXCL8/CXCL2/CXCL1/IL1A/CTSK",17
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","17/255","102/9446",0.166666666666667,6.17385620915033,8.75059761865482,1.55633119779496e-09,6.22532479117985e-08,5.21507471541821e-08,"C1R/DEFA5/DEFB4A/DEFB4B/LOC124906748/DEFA6/FPR2/HLA-DOB/HLA-DMA/CFB/C5AR1/FCGR3B/LOC124905743/C3/CFI/FCGR3A/SELP",17
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","16/255","100/9446",0.16,5.92690196078431,8.24993867706961,8.82053515521622e-09,3.02418348178842e-07,2.53341686412977e-07,"IL2RA/HLA-DOB/HLA-DMA/IL1B/CD3D/CD38/IL7R/CD19/CD37/MME/CD2/CR2/CSF3R/CD55/MS4A1/IL1A",16
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","15/255","88/9446",0.170454545454545,6.31417112299465,8.34209322848719,1.06644463768408e-08,3.19933391305225e-07,2.68014376049553e-07,"C1R/SERPINA1/CFB/C5AR1/PLAU/PLAUR/CLU/C3/SERPING1/CR2/CFI/CD55/F3/C4BPB/C4BPA",15
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","14/255","79/9446",0.177215189873418,6.56460660213452,8.27251266083676,1.9879331261913e-08,5.30115500317679e-07,4.44087984915249e-07,"HLA-DOB/HLA-DMA/IL1B/IFNG/PTGS2/NOS2/FCGR3B/LOC124905743/C3/STAT1/NCF2/FCGR3A/NCF1/IL1A",14
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","13/255","78/9446",0.166666666666667,6.17385620915033,7.64236724425695,1.37683195734617e-07,3.30439669763081e-06,2.76815688266441e-06,"C1R/CXCL6/CXCL5/IL1B/CXCL8/CASP1/NOS2/LY96/C3/SERPING1/C4BPB/IL1A/C4BPA",13
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","20/255","189/9446",0.105820105820106,3.91990870422243,6.75390163556134,1.67376310701768e-07,3.65184677894767e-06,3.05922252096055e-06,"DEFA5/DEFB4A/DEFB4B/LOC124906748/DEFA6/CXCL3/OAS2/IL1B/CXCL8/CXCL2/CARD6/CASP1/GBP5/CXCL1/AIM2/BIRC3/CASP5/STAT1/GBP4/GBP1",20
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","14/255","105/9446",0.133333333333333,4.93908496732026,6.76056512241373,7.83561131221522e-07,1.56712226244304e-05,1.31280856195887e-05,"TNFSF13B/BCL2A1/CCL19/CXCL3/IL1B/CXCL8/CCL21/PTGS2/CXCL2/PLAU/CXCL1/LY96/LYN/BIRC3",14
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","14/255","119/9446",0.117647058823529,4.35801614763552,6.14009316446956,3.60533898844056e-06,6.65601044019796e-05,5.57586839507811e-05,"CEBPB/CXCL6/CXCL5/CXCL3/MMP9/MMP3/IL1B/CCL20/PTGS2/CXCL2/SOCS3/CXCL1/BIRC3/MAP3K8",14
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","12/255","103/9446",0.116504854368932,4.31570531125071,5.63561155846437,1.99783054340104e-05,0.000342485236011606,0.000286906491571126,"SERPINB4/GNA15/CXCL3/SERPINB3/IL1B/COL4A1/IFNG/CXCL8/CXCL2/NOS2/CXCL1/COL1A2",12
