"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042379","chemokine receptor binding","16/417","72/18639",0.222222222222222,9.93285371702638,11.4882866056084,3.87757680876152e-12,2.82287591677839e-09,2.52246575559434e-09,"DEFB4A/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/CCL20/CXCL8/CCL21/CCL11/STAT1/CCL24",16
"GO:0008009","chemokine activity","13/417","45/18639",0.288888888888889,12.9127098321343,12.103196019732,1.11400826743185e-11,4.05499009345193e-09,3.62345846985727e-09,"CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/CXCL8/CCL21/CCL11/CCL24",13
"GO:0005125","cytokine activity","26/417","234/18639",0.111111111111111,4.96642685851319,9.23653601757909,1.87150862601522e-11,4.54152759913027e-09,4.05821870483301e-09,"TNFSF13B/GREM1/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/WNT5A/IL17A/IL1B/IFNG/CXCL8/CCL21/IL1RN/CMTM2/CCL11/TIMP1/IL33/AREG/INHBA/CCL24/IL1A",26
"GO:0005126","cytokine receptor binding","27/417","275/18639",0.0981818181818182,4.38851536952256,8.56370749069746,1.33130671129032e-10,2.26086843082372e-08,2.02026704778638e-08,"TNFSF13B/DEFB4A/GREM1/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/IL1B/IFNG/CCL20/CXCL8/CCL21/IL1RN/CCL11/SOCS1/IL33/CDH5/SOCS3/OSMR/STAT1/CCL24/IL1A",27
"GO:0001664","G protein-coupled receptor binding","28/417","297/18639",0.0942760942760943,4.21393794055665,8.44621294573313,1.55279425193937e-10,2.26086843082372e-08,2.02026704778638e-08,"SAA1/DEFB4A/CCL18/GNA15/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/WNT5A/CCL20/CXCL8/CTHRC1/CCL21/PNOC/RSPO3/AGT/CCL11/GAL/C3/FYN/STAT1/ADM/CCL24",28
"GO:0140375","immune receptor activity","20/417","156/18639",0.128205128205128,5.73049252905368,8.97536436718706,3.2345526853939e-10,3.50111278522676e-08,3.12852472711125e-08,"LILRB2/FPR2/CSF2RB/IL2RA/HLA-DOB/C5AR1/CXCR4/IL7R/CCR6/IL13RA2/CCR7/FCGR3B/IL21R/OSMR/CR2/CXCR2/CSF3R/FCGR3A/ACKR4/F3",20
"GO:0004857","enzyme inhibitor activity","33/417","416/18639",0.0793269230769231,3.54574225235196,7.94366312815454,3.36645460117958e-10,3.50111278522676e-08,3.12852472711125e-08,"SERPINB4/SERPINA1/SLPI/SERPINB7/SPINK4/SPINK5/SERPINB3/CSTA/TRIB2/AGT/RGS2/SLCO1B3/TIMP1/ANXA3/SOCS1/TESC/TFPI2/PPP1R16B/PI3/ANXA1/SERPINA3/CAV1/GBP5/SOCS3/LTF/WARS1/PLN/C3/SERPING1/LRRK2/RHOH/SERPINI1/COL6A3",33
"GO:0004866","endopeptidase inhibitor activity","20/417","161/18639",0.124223602484472,5.55252692256133,8.77622278806891,5.71768239674746e-10,5.20309098104019e-08,4.64937858051306e-08,"SERPINB4/SERPINA1/SLPI/SERPINB7/SPINK4/SPINK5/SERPINB3/CSTA/AGT/SLCO1B3/TIMP1/TFPI2/PI3/SERPINA3/GBP5/LTF/C3/SERPING1/SERPINI1/COL6A3",20
"GO:0061135","endopeptidase regulator activity","21/417","184/18639",0.114130434782609,5.10138411010322,8.45769444781753,1.02724232801642e-09,8.30924905328839e-08,7.42497963408361e-08,"SERPINB4/SERPINA1/SLPI/SERPINB7/SPINK4/SPINK5/SERPINB3/CSTA/AGT/SLCO1B3/TIMP1/TFPI2/PI3/SERPINA3/GBP5/LTF/AIM2/C3/SERPING1/SERPINI1/COL6A3",21
"GO:0030414","peptidase inhibitor activity","20/417","169/18639",0.118343195266272,5.28968541143417,8.47432290943822,1.36003928148859e-09,9.90108596923695e-08,8.84741343115736e-08,"SERPINB4/SERPINA1/SLPI/SERPINB7/SPINK4/SPINK5/SERPINB3/CSTA/AGT/SLCO1B3/TIMP1/TFPI2/PI3/SERPINA3/GBP5/LTF/C3/SERPING1/SERPINI1/COL6A3",20
