"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-380108","Chemokine receptors bind chemokines","19/310","59/11214",0.322033898305085,11.6493165664297,13.8280771006089,7.30002108927438e-16,5.43851571150941e-13,4.88717201345106e-13,"CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/CCL20/CXCL8/CCL21/CXCR4/CXCL2/CCR6/CCL11/CCR7/CXCL1/CXCR2/ACKR4",19
"R-HSA-375276","Peptide ligand-binding receptors","29/310","201/11214",0.144278606965174,5.21916225324988,10.1770116747809,2.06034253053319e-13,7.67477592623613e-11,6.89672552325847e-11,"SAA1/CXCL6/CCL19/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/CCL20/CXCL8/CCL21/C5AR1/CXCR4/CXCL2/PNOC/CCR6/AGT/CCL11/GAL/CCR7/ANXA1/CXCL1/C3/CXCR2/ACKR4/ACKR1",29
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","21/310","108/11214",0.194444444444444,7.03387096774194,10.6237513749417,1.33872399665889e-12,3.32449792503625e-10,2.9874682872809e-10,"SAA1/MMP9/MMP1/MMP3/IL17A/IL1B/CXCL8/LCN2/PTGS2/TWIST1/MUC1/CCL11/TIMP1/SOCS1/IL13RA2/ANXA1/NOS2/SOCS3/COL1A2/STAT1/IL1A",21
"R-HSA-418594","G alpha (i) signalling events","35/310","318/11214",0.110062893081761,3.98143639683506,9.09398844900773,2.17108723405339e-12,4.04364997342444e-10,3.63371442331041e-10,"SAA1/GPR18/GPR183/GNA15/CXCL6/CCL19/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/HCAR2/HCAR3/P2RY13/CCL20/RGS18/CXCL8/CCL21/C5AR1/CXCR4/CXCL2/PNOC/CCR6/PDE4B/AGT/GAL/CCR7/ANXA1/CXCL1/RGS1/C3/CXCR2/RGS5",35
"R-HSA-449147","Signaling by Interleukins","42/310","460/11214",0.091304347826087,3.30286115007013,8.50375010874617,6.24827250933747e-12,9.30992603891284e-10,8.36610803355502e-10,"SAA1/CCL19/CSF2RB/IL2RA/DUSP4/MMP9/IKBIP/MMP1/MMP3/IL17A/IL1B/LCP1/IFNG/CCL20/CXCL8/LCN2/PTGS2/IL1RN/CXCL2/TWIST1/IL7R/MUC1/S100A12/CCL11/CASP1/TIMP1/SOCS1/IL33/IL13RA2/ANXA1/NOS2/SOCS3/CXCL1/IL21R/LYN/OSMR/FYN/MAP3K8/COL1A2/CSF3R/STAT1/IL1A",42
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","35/310","334/11214",0.104790419161677,3.7907089047711,8.73015914065328,8.98217228844427e-12,1.11528639248183e-09,1.00222132902641e-09,"SAA1/GPR18/GPR183/CXCL6/CCL19/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/HCAR2/HCAR3/FFAR2/P2RY13/CCL20/CXCL8/CCL21/C5AR1/CXCR4/CXCL2/PNOC/CCR6/AGT/CCL11/GAL/CCR7/ANXA1/CXCL1/C3/CXCR2/ACKR4/ACKR1",35
"R-HSA-6798695","Neutrophil degranulation","39/310","479/11214",0.081419624217119,2.94528924506701,7.33668299877381,1.13959722713437e-09,1.21285704887872e-07,1.08990050595106e-07,"OLFM4/SERPINA1/SLPI/CD93/LILRB2/FPR2/S100P/LYZ/MMP9/LPCAT1/SERPINB3/RAB31/ACP3/LCN2/C5AR1/TCN1/VNN1/S100A12/PLAU/SLC2A3/MME/SERPINA3/PLAUR/SELL/CXCL1/MCEMP1/LTF/FCGR3B/C3/ARHGAP9/STOM/PECAM1/CXCR2/CD55/CHI3L1/S100A7/S100A8/MNDA/S100A9",39
"R-HSA-500792","GPCR ligand binding","38/310","468/11214",0.0811965811965812,2.93722084367246,7.21817618310203,2.05409728423932e-09,1.91287809594786e-07,1.71895509575817e-07,"SAA1/GPR18/GPR183/CXCL6/CCL19/FPR2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/HCAR2/HCAR3/WNT5A/FFAR2/P2RY13/CCL20/CXCL8/CCL21/C5AR1/CXCR4/CXCL2/PNOC/CCR6/AGT/CCL11/GAL/CCR7/ANXA1/CXCL1/C3/CXCR2/CD55/ADM/ACKR4/ACKR1",38
"R-HSA-977606","Regulation of Complement cascade","12/310","47/11214",0.25531914893617,9.23596431022649,9.53990310007112,3.53831799339112e-09,2.92894100564043e-07,2.63201198104883e-07,"C1R/CFB/C5AR1/CD19/CLU/C3/SERPING1/CR2/CFI/CD55/C4BPB/C4BPA",12
"R-HSA-6803157","Antimicrobial peptides","15/310","95/11214",0.157894736842105,5.71171477079796,7.77600920738286,4.50356839763409e-08,3.11406287481991e-06,2.79836663848176e-06,"DEFA5/DEFB4A/DEFB4B/DEFA6/LYZ/REG3A/LCN2/CCR6/PI3/LTF/CLU/S100A7/S100A8/PLA2G2A/S100A9",15
