"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016324","apical plasma membrane","24/302","413/19880",0.0581113801452785,3.82534515658323,7.20632091418181,2.26148519924379e-08,4.03595282185802e-06,3.70215221253142e-06,"SLC16A1/CDHR5/CEACAM7/TRPM6/SLC44A4/STK26/P2RY1/SLC26A2/CA12/PRKG2/SLC9A2/SLC1A1/SLC22A5/AQP8/ANXA13/ATP6V1A/SLC17A4/ABCG2/CFTR/CYP4F2/CYP4F12/SCNN1B/ABCB1/MYO1A",24
"GO:0045177","apical part of cell","26/302","479/19880",0.0542797494780793,3.5731172835239,7.07997716668726,2.30625875534744e-08,4.03595282185802e-06,3.70215221253142e-06,"SLC16A1/CDHR5/CEACAM7/TRPM6/SLC44A4/STK26/P2RY1/SLC26A2/CA12/PRKG2/EPB41L4B/SLC9A2/SLC1A1/SLC22A5/AQP8/ANXA13/ATP6V1A/SLC17A4/ABCG2/CFTR/CYP4F2/CYP4F12/SCNN1B/ABCB1/MYO1A/CLIC4",26
"GO:0031526","brush border membrane","7/302","60/19880",0.116666666666667,7.67991169977925,6.43592683112933,3.37622465982752e-05,0.00377851269042992,0.0034660041220485,"CDHR5/TRPM6/SLC22A5/AQP8/GNA13/SLC17A4/ABCG2",7
"GO:0005903","brush border","9/302","109/19880",0.0825688073394495,5.43532413876906,5.76687942575086,4.31830021763419e-05,0.00377851269042992,0.0034660041220485,"ANKS4B/CDHR5/TRPM6/SLC22A5/AQP8/GNA13/SLC17A4/ABCG2/MYO1A",9
"GO:0005902","microvillus","8/302","100/19880",0.08,5.26622516556291,5.31186716265889,0.000143470597146248,0.0100429418002374,0.00921232255360121,"ANKS4B/CDHR5/FOXA1/SLC26A2/SLC38A4/ATP6V1A/MYO1A/CLIC4",8
"GO:0009925","basal plasma membrane","14/302","298/19880",0.0469798657718121,3.09258189252856,4.5204185470851,0.000200080240606445,0.0106633291973295,0.00978139971484357,"SLC16A1/CLDN8/CXADR/P2RY1/CA12/SLC51A/BEST2/SLC22A5/AQP8/ANXA13/BSG/SLC4A4/MYO1A/TFRC",14
"GO:0016323","basolateral plasma membrane","13/302","264/19880",0.0492424242424242,3.24152117198475,4.55361342247696,0.000213266583946589,0.0106633291973295,0.00978139971484357,"SLC16A1/CLDN8/CXADR/P2RY1/CA12/SLC51A/BEST2/AQP8/ANXA13/BSG/SLC4A4/MYO1A/TFRC",13
"GO:0045178","basal part of cell","14/302","317/19880",0.0441640378548896,2.90722209455366,4.25137827722537,0.000374869978445734,0.0164005615570009,0.0150441241349933,"SLC16A1/CLDN8/CXADR/P2RY1/CA12/SLC51A/BEST2/SLC22A5/AQP8/ANXA13/BSG/SLC4A4/MYO1A/TFRC",14
"GO:0098858","actin-based cell projection","11/302","235/19880",0.0468085106382979,3.08130195857405,3.98620457930504,0.000978880643780622,0.0366681450812964,0.0336354413527682,"ANKS4B/CDHR5/CXADR/FOXA1/SLC26A2/SLC38A4/KITLG/ATP6V1A/TWF1/MYO1A/CLIC4",11
"GO:0030057","desmosome","4/302","30/19880",0.133333333333333,8.77704194260486,5.29433465051446,0.00104766128803704,0.0366681450812964,0.0336354413527682,"DSC2/POF1B/PKP2/CDH1",4
"GO:0098862","cluster of actin-based cell projections","9/302","173/19880",0.0520231213872832,3.42456838801057,3.97799110760323,0.00135060124509366,0.0404074323079627,0.0370654642223417,"ANKS4B/CDHR5/TRPM6/SLC22A5/AQP8/GNA13/SLC17A4/ABCG2/MYO1A",9
"GO:0055038","recycling endosome membrane","7/302","109/19880",0.0642201834862385,4.22747433015372,4.19641377481557,0.00138539767913015,0.0404074323079627,0.0370654642223417,"ABHD17B/SLC1A1/SLC30A10/CFTR/SCAMP1/MCOLN2/TFRC",7
