"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04976","Bile secretion","20/178","90/9446",0.222222222222222,11.792759051186,14.2569491101288,1.76926237937022e-16,4.90085679085551e-14,4.4324678556854e-14,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/SLC51A/NR1H4/AQP8/ABCG2/SLC4A4/CFTR/ABCB1/EPHX1",20
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","18/178","73/9446",0.246575342465753,13.0851162074804,14.3645135096606,8.44388271472423e-16,1.16947775598931e-13,1.05770741373914e-13,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH6/ADH1A/GSTA1/MAOA/FMO5",18
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","18/178","79/9446",0.227848101265823,12.0913099132414,13.7187359066196,3.83417942280191e-15,3.54022566705376e-13,3.20187614956791e-13,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH6/ADH1A/GSTA1/CYP2S1/EPHX1",18
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","16/178","64/9446",0.25,13.2668539325843,13.6456251333401,2.85330856011103e-14,1.97591617787689e-12,1.78707220343796e-12,"DHRS11/UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/HSD11B2/HSD17B2/HSD3B2",16
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","16/178","68/9446",0.235294117647059,12.4864507600793,13.1735604022694,8.04036471404282e-14,4.45436205157972e-12,4.02864589882567e-12,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH6/ADH1A/CYP2S1",16
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","12/178","31/9446",0.387096774193548,20.5422254440014,15.1029809141896,1.42873404707828e-13,6.59598885067804e-12,5.96559128429175e-12,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10",12
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","12/178","36/9446",0.333333333333333,17.689138576779,13.902993803372,1.16760519128467e-12,4.62038054265506e-11,4.17879752670303e-11,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10",12
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","12/178","46/9446",0.260869565217391,13.8436736687836,12.101026758403,3.08148041036499e-11,1.06696259208888e-09,9.6498991798272e-10,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10",12
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","14/178","71/9446",0.197183098591549,10.4639974679538,11.0926707182071,4.02677076334485e-11,1.2393505571628e-09,1.12090227096617e-09,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/GSTA1/EPHX1",14
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","14/178","81/9446",0.172839506172839,9.17214592870024,10.2362928345697,2.58912153613871e-10,7.17186665510422e-09,6.48643079580013e-09,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/GSTA1/CES2",14
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","20/178","217/9446",0.0921658986175115,4.89100605809558,8.03586108668157,3.94919340875179e-09,9.94478703840224e-08,8.99433522758781e-08,"UGT2B11/UGT2A3/UGT2B28/RPS6KA6/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/GSTA1/EPHX2/HSP90AB1/SOS2/PAQR5/PIK3R1/EPHX1",20
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","13/178","154/9446",0.0844155844155844,4.47971691230118,6.03347674998575,6.31143658924135e-06,0.000145688994601654,0.000131765079670126,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/MAT2A",13
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","6/178","47/9446",0.127659574468085,6.7745637102558,5.49977916123135,0.000232700641102616,0.00495831366041727,0.00448443340748361,"POC1B-GALNT4/GALNT4/GXYLT2/GALNT12/ST6GAL1/ST6GAL2",6
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","5/178","37/9446",0.135135135135135,7.1712723959915,5.21220890408243,0.000600445693459484,0.0118802469348769,0.0107448176724329,"ADH1C/ADH6/ADH1A/MAOA/DDC",5
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","5/178","47/9446",0.106382978723404,5.6454697585465,4.42441352353747,0.00181554094591636,0.0335269894679221,0.0303227189563575,"ADH1C/ADH6/ADH1A/PCK1/FH",5
