"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9748784","Drug ADME","22/213","110/11214",0.2,10.5295774647887,13.9754207307303,7.98466855542831e-17,6.10827144490266e-14,5.80779575979049e-14,"SLC16A1/UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1A/GSTA1/HSD11B2/PCK1/BSG/VAV3/ABCG2/ABCB1/CES2",22
"R-HSA-211859","Biological oxidations","28/213","223/11214",0.125560538116592,6.61049706309606,11.7752408090495,1.37314987679791e-15,5.252298278752e-13,4.99392928877555e-13,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/ADH1C/ADH6/NCOA2/ADH1A/SLC26A2/GSTA1/CYP2S1/NR1H4/MAT2A/HSP90AB1/MAOA/CYP2J2/CYP4F2/CYP4F12/EPHX1/CES2",28
"R-HSA-156588","Glucuronidation","12/213","27/11214",0.444444444444444,23.3990610328638,16.2139752823482,2.18919716232555e-14,5.58245276393015e-12,5.30784294444546e-12,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10",12
"R-HSA-9749641","Aspirin ADME","14/213","44/11214",0.318181818181818,16.7516005121639,14.5666293926265,3.60774633024205e-14,6.89981485658792e-12,6.56040187946647e-12,"SLC16A1/UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/BSG/CES2",14
"R-HSA-156580","Phase II - Conjugation of compounds","15/213","111/11214",0.135135135135135,7.11457936810049,9.00829368648021,2.51368921937258e-09,3.84594450564005e-07,3.65675631702412e-07,"UGT2B11/UGT2A3/UGT2B28/UGT1A9/UGT1A6/UGT1A1/UGT1A4/UGT1A3/UGT1A8/UGT1A5/UGT1A7/UGT1A10/SLC26A2/GSTA1/MAT2A",15
"R-HSA-211945","Phase I - Functionalization of compounds","13/213","106/11214",0.122641509433962,6.45681636991762,7.85432679342124,9.76367072662893e-08,1.24486801764519e-05,1.18363096001765e-05,"ADH1C/ADH6/NCOA2/ADH1A/CYP2S1/NR1H4/HSP90AB1/MAOA/CYP2J2/CYP4F2/CYP4F12/EPHX1/CES2",13
"R-HSA-9012999","RHO GTPase cycle","21/213","448/11214",0.046875,2.46786971830986,4.41198432630917,0.000122830491681344,0.0134236180194612,0.0127632886844825,"RHOU/STBD1/LMAN1/OCRL/NOX1/STIP1/TRIP10/HSP90AB1/SOS2/CKB/SNAP23/CHN2/GNA13/MPP7/VAV3/PIK3R1/ROCK2/CFTR/TWF1/TFRC/ABCD3",21
"R-HSA-189483","Heme degradation","4/213","15/11214",0.266666666666667,14.0394366197183,7.03152403161889,0.000146539069093908,0.0140127984821049,0.0133234864136698,"UGT1A1/UGT1A4/GSTA1/ABCG2",4
"R-HSA-9753281","Paracetamol ADME","5/213","29/11214",0.172413793103448,9.07722195240408,6.06007015889069,0.000193145356978669,0.0164173553431869,0.0156097592599135,"UGT1A9/UGT1A6/UGT1A1/UGT1A10/ABCG2",5
"R-HSA-9013423","RAC3 GTPase cycle","8/213","94/11214",0.0851063829787234,4.48067126161223,4.7152982865392,0.000407653275385276,0.0311854755669736,0.0296514119253922,"STBD1/LMAN1/OCRL/NOX1/SNAP23/MPP7/PIK3R1/TFRC",8
