"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","48/430","309/18805",0.155339805825243,6.79340708963649,15.7079696317223,3.44433551938333e-26,1.4376656457906e-22,1.05831740853473e-22,"C1R/DEFA5/DEFB4A/DEFA6/SLPI/RGCC/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/SEMG1/IL1B/CFB/CCL20/REG3A/TREM1/CXCL8/CCL21/DMBT1/CXCL2/MMP7/S100A12/CCL11/GNLY/PI3/CXCL1/SERPING1/H2BC4/SPON2/CFI/SPNS2/CD55/ADM/IL6/C4BPB/REG1B/REG1A/C4BPA/S100A9",48
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","33/430","136/18805",0.242647058823529,10.6115766073871,17.2087463482513,1.04230772896322e-24,2.17529623034624e-21,1.60131382149665e-21,"DEFA5/DEFB4A/DEFA6/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/SEMG1/CCL20/REG3A/CXCL8/CCL21/DMBT1/CXCL2/MMP7/S100A12/CCL11/GNLY/CXCL1/H2BC4/ADM/REG1B/REG1A/S100A9",33
"GO:0019730","antimicrobial humoral response","36/430","185/18805",0.194594594594595,8.51011942174733,15.7032138126102,2.60558731297718e-23,3.62524048145559e-20,2.66866995318611e-20,"DEFA5/DEFB4A/DEFA6/SLPI/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/SEMG1/CCL20/REG3A/CXCL8/CCL21/DMBT1/CXCL2/MMP7/S100A12/CCL11/GNLY/PI3/CXCL1/H2BC4/SPON2/ADM/REG1B/REG1A/S100A9",36
"GO:0006935","chemotaxis","52/430","466/18805",0.111587982832618,4.88002794690089,12.9743515705513,1.79120898143692e-21,1.81751226543045e-18,1.33793617198988e-18,"ECSCR/SAA1/DEFB4A/GREM1/MIR223/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/WNT5A/IL1B/FFAR2/ANOS1/CCL20/ROBO1/EGR3/TNFAIP6/TREM1/CXCL8/CCL21/CXCL2/MMP2/CMTM2/S100A12/CCL11/RIPOR2/TYMP/ANXA1/PDGFRB/PLAUR/CXCL1/EPHA2/LYN/CORO1A/S100A4/CXCR2/ACKR4/IL6/F3/S100A8/CCN1/S100A9",52
"GO:0042330","taxis","52/430","468/18805",0.111111111111111,4.85917312661499,12.9329834296407,2.17718287665363e-21,1.81751226543045e-18,1.33793617198988e-18,"ECSCR/SAA1/DEFB4A/GREM1/MIR223/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/WNT5A/IL1B/FFAR2/ANOS1/CCL20/ROBO1/EGR3/TNFAIP6/TREM1/CXCL8/CCL21/CXCL2/MMP2/CMTM2/S100A12/CCL11/RIPOR2/TYMP/ANXA1/PDGFRB/PLAUR/CXCL1/EPHA2/LYN/CORO1A/S100A4/CXCR2/ACKR4/IL6/F3/S100A8/CCN1/S100A9",52
"GO:0031640","killing of cells of another organism","26/430","119/18805",0.218487394957983,9.55501270275552,14.3212736187115,1.74845956556233e-18,1.04258146095103e-15,7.67481725094203e-16,"DEFA5/DEFB4A/DEFA6/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL3/SEMG1/GZMB/CCL20/TREM1/CXCL8/APOL1/CCL21/CXCL2/S100A12/CCL11/GNLY/GBP5/CXCL1/GBP1/GBP2",26
"GO:0141061","disruption of cell in another organism","26/430","119/18805",0.218487394957983,9.55501270275552,14.3212736187115,1.74845956556233e-18,1.04258146095103e-15,7.67481725094203e-16,"DEFA5/DEFB4A/DEFA6/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL3/SEMG1/GZMB/CCL20/TREM1/CXCL8/APOL1/CCL21/CXCL2/S100A12/CCL11/GNLY/GBP5/CXCL1/GBP1/GBP2",26
"GO:0060326","cell chemotaxis","40/430","325/18805",0.123076923076923,5.3824686940966,12.1914453058371,3.15944945892815e-18,1.64844275519576e-15,1.21347802244885e-15,"SAA1/DEFB4A/GREM1/MIR223/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/WNT5A/IL1B/FFAR2/CCL20/EGR3/TNFAIP6/TREM1/CXCL8/CCL21/MMP2/S100A12/CCL11/RIPOR2/ANXA1/PDGFRB/EPHA2/LYN/CORO1A/CXCR2/ACKR4/IL6/S100A8/S100A9",40
"GO:0141060","disruption of anatomical structure in another organism","26/430","123/18805",0.211382113821138,9.24428058234071,14.0326376481781,4.2126633883526e-18,1.95373966477597e-15,1.43821806205863e-15,"DEFA5/DEFB4A/DEFA6/CCL18/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL3/SEMG1/GZMB/CCL20/TREM1/CXCL8/APOL1/CCL21/CXCL2/S100A12/CCL11/GNLY/GBP5/CXCL1/GBP1/GBP2",26
"GO:0050900","leukocyte migration","43/430","395/18805",0.108860759493671,4.76075949367089,11.5556103510747,1.69540440031687e-17,7.07661796692263e-15,5.20935309949995e-15,"SAA1/GREM1/MIR223/CCL4/CCL3/CXCL6/CCL19/JAM2/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/GDF15/WNT5A/IL1B/FFAR2/CCL20/TNFAIP6/TREM1/SELE/CXCL8/CCL21/MMP2/S100A12/CCL11/RIPOR2/IL33/ANXA1/SELL/MADCAM1/LYN/CORO1A/SPNS2/PECAM1/THY1/CXCR2/IL6/IL1A/S100A8/SELP/S100A9",43
