"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","25/254","100/9446",0.25,9.29724409448819,13.8654449192707,6.85022292397495e-18,1.73310639976566e-15,1.51425980424709e-15,"CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/CCL20/CXCL8/CCL21/CXCL2/CCL11/CXCL1/IL10RA/TNFRSF1B/CXCR2/IL18R1/ACKR4/IL6",25
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","21/254","95/9446",0.221052631578947,8.22072109407377,11.7578029112142,4.77732981334125e-14,6.04332221387669e-12,5.28020663579823e-12,"DEFB4A/DEFB4B/LOC124906748/CEBPB/CXCL6/CXCL5/CXCL3/MMP9/MMP1/MMP3/IL1B/CCL20/CXCL8/LCN2/PTGS2/CXCL2/CCL11/CXCL1/IL6/S100A8/S100A9",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","33/254","298/9446",0.110738255033557,4.11824235057866,9.09217427086145,3.06481999937862e-12,2.58466486614264e-10,2.25828842059477e-10,"CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CSF2RB/CXCL13/PF4/CXCL5/CXCL3/GDF15/IL1B/CCL20/CXCL8/CCL21/CXCL2/CCL11/IL33/IL13RA2/TNFRSF6B/CXCL1/INHBA/IL10RA/TNFRSF1B/CXCR2/IL18R1/ACKR4/IL6/IL1A",33
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","19/254","95/9446",0.2,7.43779527559055,10.4829319741021,5.3910807986982e-12,3.40985860517661e-10,2.97928149401743e-10,"CCL3/CCL3L1/CCL3L3/CXCL6/CXCL5/CXCL3/MMP1/HLA-DOB/MMP3/HLA-DMA/IL1B/TCIRG1/CCL20/CXCL8/CXCL2/CXCL1/IL6/IL1A/CTSK",19
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","20/254","119/9446",0.168067226890756,6.25024813074836,9.58065392829283,4.22822733790787e-11,2.13948303298138e-09,1.86932155991717e-09,"CEBPB/CXCL6/CXCL5/CXCL3/MMP9/MMP3/IL1B/CCL20/SELE/PTGS2/CXCL2/SOCS3/CXCL1/IRF1/BIRC3/TNFRSF1B/MAP3K8/IL18R1/RHBDF2/IL6",20
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","25/254","193/9446",0.129533678756477,4.81722491942393,8.90631303247876,5.38451990151031e-11,2.27047255847018e-09,1.98377049003011e-09,"CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/CCL20/CXCL8/CCL21/CXCL2/ITK/CCL11/GNG11/CXCL1/LYN/CXCR2/NCF1/FGR",25
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","13/254","78/9446",0.166666666666667,6.19816272965879,7.66278363338976,1.31518251863435e-07,4.75344538877844e-06,4.15320795358216e-06,"C1R/CXCL6/CXCL5/IL1B/CXCL8/NOS2/LY96/SERPING1/IRF1/IL6/C4BPB/IL1A/C4BPA",13
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","14/254","102/9446",0.137254901960784,5.10436930677783,6.92776159369444,5.20456921415241e-07,1.6459450139757e-05,1.43810465127896e-05,"C1R/DEFA5/DEFB4A/DEFB4B/LOC124906748/DEFA6/HLA-DOB/HLA-DMA/CFB/FCGR3B/LOC124905743/CFI/FCGR3A/SELP",14
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","20/254","216/9446",0.0925925925925926,3.44342373869933,6.03861922804426,1.35448351073981e-06,3.80760364685747e-05,3.32680160532585e-05,"CCL3/CCL3L1/CCL3L3/CXCL3/MMP9/MMP1/MMP3/IL1B/PPP3R1/SELE/CXCL8/CXCL2/CXCL1/LY96/ERO1A/LYN/NCF2/IL6/NCF1/SELP",20
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","13/254","103/9446",0.12621359223301,4.69375430012996,6.26550777638809,3.51012447630523e-06,8.88061492505223e-05,7.75922252656945e-05,"SERPINB4/GNA15/CXCL3/SERPINB3/IL1B/COL4A1/CXCL8/CXCL2/NOS2/CXCL1/COL1A2/LAMB2/IL6",13
