"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008009","chemokine activity","16/437","45/18639",0.355555555555556,15.1652173913043,14.7408967647583,2.20261608982768e-15,9.31202330807221e-13,8.41829970884546e-13,"CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/CXCL8/CCL21/CCL11",16
"GO:0042379","chemokine receptor binding","19/437","72/18639",0.263888888888889,11.2554347826087,13.5092199854307,2.73883038472712e-15,9.31202330807221e-13,8.41829970884546e-13,"TFF2/DEFB4A/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/CCL20/CXCL8/CCL21/CCL11",19
"GO:0005201","extracellular matrix structural constituent","24/437","168/18639",0.142857142857143,6.09316770186335,10.2749148201453,1.33722030980121e-12,2.61152116870159e-10,2.36087981814509e-10,"COL18A1/MXRA5/COL4A1/COL7A1/ANOS1/CTHRC1/MGP/COL15A1/PXDN/COL5A2/IGFBP7/SPARC/AEBP1/BGN/MMRN1/TNC/THBS2/COL1A2/LUM/LAMB2/COL6A3/CHI3L1/PCOLCE/CCN1",24
"GO:0005125","cytokine activity","28/437","234/18639",0.11965811965812,5.10367892976589,9.78800560523718,1.53618892276564e-12,2.61152116870159e-10,2.36087981814509e-10,"GREM1/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/GDF15/WNT5A/IL1B/CXCL8/CCL21/CMTM2/CCL11/TIMP1/SPP1/IL33/AREG/INHBA/IL6/IL1A",28
"GO:0001664","G protein-coupled receptor binding","30/437","297/18639",0.101010101010101,4.30830039525692,8.90513759234424,1.90924982510149e-11,2.59657976213802e-09,2.34737241654583e-09,"SAA1/TFF2/DEFB4A/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/GNA15/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/PROK2/WNT5A/CCL20/CXCL8/CTHRC1/CCL21/PNOC/RSPO3/AGT/CCL11/GAL/CAV2/ADM",30
"GO:0005126","cytokine receptor binding","28/437","275/18639",0.101818181818182,4.34276679841897,8.65305774603336,7.5658337952054e-11,8.57461163456612e-09,7.75166129192974e-09,"TFF2/DEFB4A/GREM1/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CXCL6/CCL19/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL3/IL1B/CCL20/CXCL8/CCL21/CCL11/PXDN/SOCS1/IL33/CDH5/SOCS3/IL6/IL1A",28
"GO:0061134","peptidase regulator activity","25/437","226/18639",0.110619469026549,4.71816083108888,8.7136664513974,1.37180019391134e-10,1.33260590265673e-08,1.20470874172064e-08,"SERPINB4/SERPINA1/SLPI/SERPINB7/PI15/CST7/SPINK4/SERPINB3/COL7A1/ANOS1/CSTA/SFRP2/AGT/SLCO1B3/TIMP1/PI3/SERPINA3/CAV1/GBP5/AIM2/SERPING1/SERPINI1/COL6A3/PCOLCE/GBP2",25
"GO:0061135","endopeptidase regulator activity","22/437","184/18639",0.119565217391304,5.09971644612476,8.65937453232494,4.01429356414986e-10,3.41214952952738e-08,3.08466768613621e-08,"SERPINB4/SERPINA1/SLPI/SERPINB7/CST7/SPINK4/SERPINB3/COL7A1/ANOS1/CSTA/SFRP2/AGT/SLCO1B3/TIMP1/PI3/SERPINA3/GBP5/AIM2/SERPING1/SERPINI1/COL6A3/GBP2",22
"GO:0030414","peptidase inhibitor activity","21/437","169/18639",0.124260355029586,5.29997427321842,8.70074777160342,4.92695705296563e-10,3.72258977335181e-08,3.36531335547594e-08,"SERPINB4/SERPINA1/SLPI/SERPINB7/PI15/CST7/SPINK4/SERPINB3/COL7A1/ANOS1/CSTA/AGT/SLCO1B3/TIMP1/PI3/SERPINA3/GBP5/SERPING1/SERPINI1/COL6A3/GBP2",21
"GO:0005539","glycosaminoglycan binding","25/437","242/18639",0.103305785123967,4.40621631333094,8.26394124082408,5.90310540541114e-10,4.01411167567957e-08,3.62885637553695e-08,"SAA1/CCN4/CXCL6/CXCL11/CXCL13/PF4/ANOS1/REG3A/TNFAIP6/CXCL8/DMBT1/LIPG/RSPO3/CCN2/SULF1/REG4/SELL/BGN/LPL/THBS2/PCOLCE/REG1B/SELP/REG1A/CCN1",25
"GO:0004866","endopeptidase inhibitor activity","20/437","161/18639",0.124223602484472,5.29840669727248,8.48738256063519,1.28755937381265e-09,7.95945794720545e-08,7.19554712255105e-08,"SERPINB4/SERPINA1/SLPI/SERPINB7/CST7/SPINK4/SERPINB3/COL7A1/ANOS1/CSTA/AGT/SLCO1B3/TIMP1/PI3/SERPINA3/GBP5/SERPING1/SERPINI1/COL6A3/GBP2",20
"GO:0045236","CXCR chemokine receptor binding","8/437","17/18639",0.470588235294118,20.0716112531969,12.1893206704865,1.73045418548649e-09,9.80590705109013e-08,8.86478284494835e-08,"TFF2/CXCL6/CXCL9/CXCL11/CXCL13/PF4/CXCL5/CXCL8",8
"GO:0004857","enzyme inhibitor activity","32/437","416/18639",0.0769230769230769,3.2809364548495,7.29005376374237,4.27071674381476e-09,2.23391337368772e-07,2.0195130189375e-07,"CDKN1C/SERPINB4/SERPINA1/SLPI/SERPINB7/PI15/CST7/SPINK4/SERPINB3/COL7A1/ANOS1/CSTA/AGT/SLCO1B3/TIMP1/SOCS1/TESC/PPP1R16B/SKI/PI3/ANXA1/SERPINA3/CAV1/GBP5/SOCS3/PKIA/PLN/SERPING1/LRRK2/SERPINI1/COL6A3/GBP2",32
"GO:0004867","serine-type endopeptidase inhibitor activity","15/437","95/18639",0.157894736842105,6.73455377574371,8.68241499775806,5.57035984646396e-09,2.70560335399678e-07,2.44593244386087e-07,"SERPINB4/SERPINA1/SLPI/SERPINB7/SPINK4/SERPINB3/COL7A1/ANOS1/AGT/SLCO1B3/PI3/SERPINA3/SERPING1/SERPINI1/COL6A3",15
"GO:0048020","CCR chemokine receptor binding","11/437","50/18639",0.22,9.38347826086956,9.19733590631621,1.70237400375229e-08,7.71742881701038e-07,6.97674679432518e-07,"DEFB4A/CCL4/CCL18/CCL3/CCL3L1/CCL3L3/CCL19/CXCL13/CCL20/CCL21/CCL11",11
"GO:0004252","serine-type endopeptidase activity","19/437","176/18639",0.107954545454545,4.60449604743083,7.44441490282676,3.43631988892032e-08,1.46043595279114e-06,1.32027027311149e-06,"C1R/MMP9/MMP10/MMP1/MMP3/MMP12/CFB/GZMB/GZMK/KLK10/MMP2/MMP7/PCSK1/HTRA1/CFI/KLK6/F3/FAP/CTSK",19
"GO:0008201","heparin binding","18/437","172/18639",0.104651162790698,4.46359959555106,7.07089757401086,1.27144024321536e-07,5.08576097286144e-06,4.59765388258681e-06,"SAA1/CCN4/CXCL6/CXCL11/CXCL13/PF4/ANOS1/CXCL8/LIPG/RSPO3/CCN2/REG4/SELL/LPL/THBS2/PCOLCE/SELP/CCN1",18
"GO:0008236","serine-type peptidase activity","19/437","194/18639",0.0979381443298969,4.17727476467952,6.89282298927364,1.63476798103511e-07,6.17579015057708e-06,5.58306725686845e-06,"C1R/MMP9/MMP10/MMP1/MMP3/MMP12/CFB/GZMB/GZMK/KLK10/MMP2/MMP7/PCSK1/HTRA1/CFI/KLK6/F3/FAP/CTSK",19
"GO:0017171","serine hydrolase activity","19/437","198/18639",0.095959595959596,4.09288537549407,6.77930234980077,2.25306198526084e-07,8.0635902630388e-06,7.28968531519297e-06,"C1R/MMP9/MMP10/MMP1/MMP3/MMP12/CFB/GZMB/GZMK/KLK10/MMP2/MMP7/PCSK1/HTRA1/CFI/KLK6/F3/FAP/CTSK",19
"GO:0005178","integrin binding","16/437","161/18639",0.0993788819875776,4.23872535781799,6.39499774138957,1.27674579409835e-06,4.34093569993441e-05,3.924313388176e-05,"CCN4/JAM2/EGFL6/IL1B/SFRP2/SPP1/CCN2/MADCAM1/LYN/TNC/THY1/ISG15/LAMB2/FAP/SELP/CCN1",16
"GO:0070492","oligosaccharide binding","6/437","17/18639",0.352941176470588,15.0537084398977,8.9822069309807,1.59524847614158e-06,5.16556649417272e-05,4.66980005045955e-05,"REG3A/SELE/SELL/REG1B/SELP/REG1A",6
"GO:0016176","superoxide-generating NADPH oxidase activator activity","5/437","11/18639",0.454545454545455,19.3873517786561,9.4517718511939,2.84727028398976e-06,8.41801649179581e-05,7.61009540434792e-05,"AGT/NCF1B/NCF1C/NCF2/NCF1",5
"GO:0050786","RAGE receptor binding","5/437","11/18639",0.454545454545455,19.3873517786561,9.4517718511939,2.84727028398976e-06,8.41801649179581e-05,7.61009540434792e-05,"S100B/S100A12/S100A4/S100A8/S100A9",5
"GO:0019838","growth factor binding","14/437","136/18639",0.102941176470588,4.39066496163683,6.14913567327658,3.87957809868599e-06,0.00010992137946277,9.93716495452904e-05,"CXCL13/COL4A1/CHRDL1/CCN2/PXDN/IGFBP7/PDGFRB/EPHA2/IL10RA/HTRA1/COL1A2/RHBDF2/IGFBP5/CCN1",14
"GO:0019955","cytokine binding","14/437","144/18639",0.0972222222222222,4.14673913043478,5.87348191839273,7.58138260529333e-06,0.000206213606863979,0.000186422208062792,"GREM1/CHRDL2/CHRDL1/PXDN/IL13RA2/BGN/PDPN/IL10RA/TNFRSF1B/CXCR2/IL18R1/ACKR4/GBP1/ACKR1",14
"GO:1901681","sulfur compound binding","20/437","275/18639",0.0727272727272727,3.10197628458498,5.44115795930159,8.35281948227775e-06,0.000218458355690341,0.000197491764277336,"SAA1/CCN4/CXCL6/CXCL11/CXCL13/PF4/ANOS1/CXCL8/DMBT1/LIPG/RSPO3/CCN2/REG4/SELL/LPL/TPK1/THBS2/PCOLCE/SELP/CCN1",20
"GO:0048306","calcium-dependent protein binding","10/437","80/18639",0.125,5.33152173913043,6.01573952025955,1.72245731677633e-05,0.000433804064965891,0.000392169619102291,"S100P/S100B/DMBT1/S100A12/ANXA1/S100A2/S100A4/S100A8/SELP/S100A9",10
"GO:0004175","endopeptidase activity","24/437","405/18639",0.0592592592592593,2.52753623188406,4.81569389579267,3.35512340417247e-05,0.000814815683870458,0.000736613559412302,"C1R/CTSZ/MMP9/BACE2/MMP10/MMP1/MMP3/MMP12/CLC/PSMB9/CFB/GZMB/GZMK/KLK10/MMP2/MMP7/PCSK1/HTRA1/CFI/KLK6/F3/FAP/CTSK/CTSE",24
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","7/437","44/18639",0.159090909090909,6.78557312252964,5.9532682359875,6.71895132616751e-05,0.0015754782419979,0.00142427135189903,"COL18A1/COL4A1/COL7A1/COL15A1/COL5A2/COL1A2/COL6A3",7
"GO:0140313","molecular sequestering activity","7/437","55/18639",0.127272727272727,5.42845849802371,5.09618449857535,0.000285114891377487,0.00646260420455636,0.00584235426541938,"C1R/PMEPA1/TREM1/LCN2/TCN1/CAV1/XAF1",7
"GO:0030246","carbohydrate binding","17/437","280/18639",0.0607142857142857,2.58959627329193,4.15261968019017,0.000350055393939956,0.00767863444771516,0.00694167572363104,"ZG16B/CD93/CLC/REG3A/SELE/ALDOB/EGLN3/NPTX2/REG4/SELL/GALNT6/CHI3L1/CHI3L2/REG1B/SELP/REG1A/FBXO6",17
"GO:0051861","glycolipid binding","5/437","29/18639",0.172413793103448,7.35382308845577,5.30568849135941,0.000516570318225239,0.0109771192622863,0.00992358769222169,"SELL/FCGR3B/LYN/THY1/SELP",5
"GO:0001968","fibronectin binding","5/437","30/18639",0.166666666666667,7.10869565217391,5.18833983837427,0.000608065045841026,0.0125298251870272,0.0113272723053001,"TNFAIP6/SFRP2/MMP2/IGFBP5/CTSK",5
"GO:0140375","immune receptor activity","11/437","156/18639",0.0705128205128205,3.00752508361204,3.90137651195478,0.00115175759836571,0.0230351519673142,0.0208243479085317,"LILRB2/CSF2RB/HLA-DOB/IL13RA2/FCGR3B/IL10RA/CXCR2/IL18R1/FCGR3A/ACKR4/F3",11
"GO:0016175","superoxide-generating NAD(P)H oxidase activity","3/437","10/18639",0.3,12.795652173913,5.7810670116564,0.00135849971925167,0.0256605502525315,0.0231977729837127,"DUOX2/NCF2/NCF1",3
"GO:0043208","glycosphingolipid binding","3/437","10/18639",0.3,12.795652173913,5.7810670116564,0.00135849971925167,0.0256605502525315,0.0231977729837127,"SELL/LYN/SELP",3
"GO:0005518","collagen binding","7/437","72/18639",0.0972222222222222,4.14673913043478,4.14511837390798,0.00147228351310359,0.027058183484066,0.0244612680413228,"MMP9/MMP12/SPARC/AEBP1/LUM/PCOLCE/CTSK",7
