"gene","degree","clustering_coeff","module"
"ENPP3",3,0,"Module_1"
"PDE6A",2,0,"Module_1"
"CFD",2,0,"Module_1"
"AMPD1",2,0,"Module_1"
"ITLN1",1,0,"Module_1"
"PDE9A",1,0,"Module_1"
"LAMA1",1,0,"Module_1"
"SLC26A3",12,0.378787878787879,"Module_2"
"MS4A12",10,0.444444444444444,"Module_2"
"CLCA1",10,0.511111111111111,"Module_2"
"GUCA2A",9,0.694444444444444,"Module_2"
"CLCA4",9,0.638888888888889,"Module_2"
"SI",8,0.357142857142857,"Module_2"
"GUCA2B",8,0.75,"Module_2"
"AQP8",7,0.761904761904762,"Module_2"
"ZG16",7,0.952380952380952,"Module_2"
"MEP1A",4,0.666666666666667,"Module_2"
"BEST2",4,0.5,"Module_2"
"CEACAM7",3,0,"Module_2"
"MEP1B",3,0.666666666666667,"Module_2"
"BEST4",3,0.666666666666667,"Module_2"
"ANPEP",3,0.333333333333333,"Module_2"
"NXPE4",3,0,"Module_2"
"BCHE",2,0,"Module_2"
"CA2",2,0,"Module_2"
"CA1",2,0,"Module_2"
"CA4",1,0,"Module_2"
"CWH43",1,0,"Module_2"
"CHP2",1,0,"Module_2"
"HEPACAM2",1,0,"Module_2"
"CD177",1,0,"Module_2"
"CHGA",9,0.416666666666667,"Module_3"
"SST",8,0.5,"Module_3"
"GCG",6,0.6,"Module_3"
"PYY",5,0.8,"Module_3"
"CHGB",5,0.7,"Module_3"
"STMN2",5,0.3,"Module_3"
"VIP",4,1,"Module_3"
"TPH1",3,1,"Module_3"
"SCGN",3,1,"Module_3"
"SLC30A10",3,0.333333333333333,"Module_3"
"SLC26A2",1,0,"Module_3"
"TEX11",1,0,"Module_3"
"PLP1",1,0,"Module_3"
"NR1H4",9,0.305555555555556,"Module_4"
"UGT1A1",7,0.285714285714286,"Module_4"
"UGT2A3",6,0.266666666666667,"Module_4"
"HSD3B2",6,0.4,"Module_4"
"HSD17B2",5,0.4,"Module_4"
"ABCG2",5,0.3,"Module_4"
"FABP1",5,0.5,"Module_4"
"ADH1B",5,0.4,"Module_4"
"SLC51A",5,0.5,"Module_4"
"ADH1C",5,0.4,"Module_4"
"UGT2B17",4,0.333333333333333,"Module_4"
"AKR1B10",4,0.166666666666667,"Module_4"
"PCK1",3,1,"Module_4"
"HMGCS2",3,1,"Module_4"
"DHRS11",3,0.333333333333333,"Module_4"
"SLC51B",2,1,"Module_4"
"SLC17A4",1,0,"Module_4"
"DHRS9",1,0,"Module_4"
"GHR",1,0,"Module_4"
"CHRDL1",2,0,"Module_5"
"GREM2",1,0,"Module_5"
"MAMDC2",1,0,"Module_5"
"CLEC3B",1,0,"Module_6"
"SCARA5",1,0,"Module_6"
"CLDN8",1,0,"Module_7"
"CLDN23",1,0,"Module_7"
