"STRING_ID","Gene_Symbol","Degree","Betweenness","Closeness"
"9606.ENSP00000345873","SLC26A3",13,282.338725017672,0.00632911392405063
"9606.ENSP00000349493","GUCA2A",12,341.719194080773,0.00694444444444444
"9606.ENSP00000234701","CLCA1",11,203.736418698261,0.00609756097560976
"9606.ENSP00000264382","SI",11,634.41311758417,0.00719424460431655
"9606.ENSP00000447149","NR1H4",11,182.044882310672,0.00584795321637427
"9606.ENSP00000016913","MS4A12",10,215.776334776335,0.00552486187845304
"9606.ENSP00000216492","CHGA",9,122.195887445887,0.00537634408602151
"9606.ENSP00000287641","SST",9,148.148744588745,0.00540540540540541
"9606.ENSP00000359594","CLCA4",9,65.3811965811966,0.00591715976331361
"9606.ENSP00000387662","GCG",9,277.782213663529,0.00628930817610063
"9606.ENSP00000295834","FABP1",8,143.293700889754,0.00595238095238095
"9606.ENSP00000353198","PYY",8,291.091855658961,0.00666666666666667
"9606.ENSP00000361662","GUCA2B",8,13.655077086656,0.00543478260869565
"9606.ENSP00000362549","UGT1A1",8,202.528784431942,0.00595238095238095
"9606.ENSP00000251566","UGT2A3",7,52.7126813245234,0.00552486187845304
"9606.ENSP00000219660","AQP8",7,6.00550808840283,0.00531914893617021
"9606.ENSP00000383563","ZG16",7,0.519480519480519,0.00540540540540541
