"from","to","combined_score"
"9606.ENSP00000016913","9606.ENSP00000219660",624
"9606.ENSP00000016913","9606.ENSP00000234701",530
"9606.ENSP00000230588","9606.ENSP00000234701",485
"9606.ENSP00000216492","9606.ENSP00000250018",558
"9606.ENSP00000199936","9606.ENSP00000251566",691
"9606.ENSP00000230588","9606.ENSP00000251566",406
"9606.ENSP00000230588","9606.ENSP00000264382",759
"9606.ENSP00000234701","9606.ENSP00000264382",730
"9606.ENSP00000264381","9606.ENSP00000264382",569
"9606.ENSP00000230588","9606.ENSP00000269202",873
"9606.ENSP00000264382","9606.ENSP00000269202",649
"9606.ENSP00000216492","9606.ENSP00000287641",897
"9606.ENSP00000250018","9606.ENSP00000287641",493
"9606.ENSP00000230588","9606.ENSP00000295834",509
"9606.ENSP00000251566","9606.ENSP00000295834",567
"9606.ENSP00000237612","9606.ENSP00000296327",432
"9606.ENSP00000295834","9606.ENSP00000296327",557
"9606.ENSP00000006724","9606.ENSP00000300060",433
"9606.ENSP00000264382","9606.ENSP00000300060",584
"9606.ENSP00000269202","9606.ENSP00000300060",558
"9606.ENSP00000016913","9606.ENSP00000300113",412
"9606.ENSP00000251566","9606.ENSP00000306606",711
"9606.ENSP00000295834","9606.ENSP00000319814",687
"9606.ENSP00000199936","9606.ENSP00000320401",750
"9606.ENSP00000306606","9606.ENSP00000320401",793
"9606.ENSP00000234701","9606.ENSP00000323587",513
"9606.ENSP00000323587","9606.ENSP00000332139",517
"9606.ENSP00000296327","9606.ENSP00000335292",998
"9606.ENSP00000016913","9606.ENSP00000345873",555
"9606.ENSP00000219660","9606.ENSP00000345873",499
"9606.ENSP00000234701","9606.ENSP00000345873",566
"9606.ENSP00000264382","9606.ENSP00000345873",424
"9606.ENSP00000285379","9606.ENSP00000345873",742
"9606.ENSP00000295834","9606.ENSP00000345873",400
"9606.ENSP00000300900","9606.ENSP00000345873",507
"9606.ENSP00000296130","9606.ENSP00000346990",403
"9606.ENSP00000016913","9606.ENSP00000349493",640
"9606.ENSP00000219660","9606.ENSP00000349493",532
"9606.ENSP00000230588","9606.ENSP00000349493",480
"9606.ENSP00000234701","9606.ENSP00000349493",695
"9606.ENSP00000264382","9606.ENSP00000349493",524
"9606.ENSP00000295834","9606.ENSP00000349493",440
"9606.ENSP00000320401","9606.ENSP00000349493",400
