"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig","STRING_id"
"CLCA4",-4.38911721680136,12.2155531158097,-7.28732486755306,1.39537613582945e-10,2.31674035004134e-08,13.8548535847312,"Down","9606.ENSP00000359594"
"MS4A12",-4.37891260032101,10.78879481202,-6.54003703595668,4.14246120395292e-09,2.83507715878159e-07,10.5912761640117,"Down","9606.ENSP00000016913"
"AQP8",-4.28330426314766,9.15626430784439,-5.91598776121312,6.45569560033487e-08,2.24588145078937e-06,7.95404184138087,"Down","9606.ENSP00000219660"
"SLC26A3",-3.66661085002414,13.0420179239608,-6.62455553401979,2.83682111908341e-09,2.18403026036943e-07,10.9553689681411,"Down","9606.ENSP00000345873"
"CA4",-3.54195960925475,10.5610979252219,-7.70674197989664,2.01069420870262e-11,7.64711311001322e-09,15.7213395444758,"Down","9606.ENSP00000300900"
"GCG",-3.48150787131045,9.99022437144169,-6.2275821657375,1.65744603683172e-08,7.9468870983904e-07,9.25882372579267,"Down","9606.ENSP00000387662"
"GUCA2A",-3.38295594028555,10.8509899149523,-6.2968165907591,1.22129934393998e-08,6.3436888839512e-07,9.55212304555493,"Down","9606.ENSP00000349493"
"PYY",-3.23578364334945,8.54351221187604,-5.86055182594749,8.20042643663849e-08,2.65143182725837e-06,7.72470519879781,"Down","9606.ENSP00000353198"
"ZG16",-3.23132243038271,12.6733023239495,-5.74859686481973,1.32587991604777e-07,3.74231691021332e-06,7.26432100715626,"Down","9606.ENSP00000383563"
"CLDN8",-3.19317221388093,7.45106615811934,-4.75819361651902,7.76354882748702e-06,8.8429579766488e-05,3.38176461944369,"Down","9606.ENSP00000382783"
"CHP2",-3.12047403515399,9.39446240598335,-7.03919152682978,4.34481552635432e-10,5.41629531088137e-08,12.7610131531286,"Down","9606.ENSP00000300113"
"NXPE4",-3.01187725423925,9.67007056118934,-6.97425862880058,5.8399429004237e-10,6.81370007749755e-08,12.4762890178043,"Down","9606.ENSP00000364627"
"GUCA2B",-2.93725359021581,8.8538409426984,-5.80121424646391,1.0583458072849e-07,3.17065708540265e-06,7.48022631080193,"Down","9606.ENSP00000361662"
"MAMDC2",-2.93051611968657,6.41004079182283,-6.89097877553656,8.52529619000442e-10,8.99420445276485e-08,12.112120502976,"Down","9606.ENSP00000366387"
"ADH1C",-2.89066284580752,10.5256834254897,-5.73565506956759,1.40127754738513e-07,3.91572439424344e-06,7.21134671056741,"Down","9606.ENSP00000426083"
"SLC51B",-2.8463308822741,9.31451495927642,-7.19427478892589,2.13849957339185e-10,3.15695999521972e-08,13.4436386258628,"Down","9606.ENSP00000335292"
"CD177",-2.81725332215584,9.81881590615627,-5.71271264691498,1.54544106360096e-07,4.23420659659854e-06,7.11756475256812,"Down","9606.ENSP00000479536"
"ABCG2",-2.80680134317581,8.01699768544043,-5.39527325448399,5.89126716657989e-07,1.16976540890084e-05,5.83757744887846,"Down","9606.ENSP00000237612"
"UGT2B17",-2.7596885881716,10.7134914712523,-3.3677654111368,0.00113319153666179,0.00522343568018774,-1.28884356641861,"Down","9606.ENSP00000320401"
"CNTN3",-2.68162621446289,6.85572228338993,-6.65310378540682,2.49548802401569e-09,2.00703425702107e-07,11.078676842217,"Down","9606.ENSP00000263665"
"SLC51A",-2.64973385454366,6.59117863222167,-5.12195515319992,1.81468081885156e-06,2.79284107642045e-05,4.76410658250137,"Down","9606.ENSP00000296327"
"SLC30A10",-2.64394841263644,6.50756339748879,-7.32835915025025,1.15549295283323e-10,2.00993072624998e-08,14.0365603702289,"Down","9606.ENSP00000355893"
"SST",-2.58810910938914,8.31720125797948,-5.67560090262095,1.81009690819166e-07,4.80103599561614e-06,6.96621187621119,"Down","9606.ENSP00000287641"
"UGT2A3",-2.58544221005492,6.8099332232154,-5.21803039353112,1.225674809669e-06,2.05688109019139e-05,5.13823141560381,"Down","9606.ENSP00000251566"
"CEACAM7",-2.58276764783906,11.2472408474407,-6.45827925750415,5.96644540281083e-09,3.75016998301603e-07,10.2405009017756,"Down","9606.ENSP00000006724"
"SLC26A2",-2.55536864274047,11.1105982963411,-5.87668086955278,7.64974379192151e-08,2.53923965897821e-06,7.79133859159013,"Down","9606.ENSP00000286298"
"ADH1B",-2.49996424808599,8.00377150254945,-6.74296819749798,1.66517726056594e-09,1.4635979168763e-07,11.4678618525289,"Down","9606.ENSP00000306606"
"OGN",-2.46155801542668,6.29617936694882,-5.59496001842592,2.54826016319109e-07,6.23559539823826e-06,6.63885164291063,"Down","9606.ENSP00000262551"
"CA1",-2.40977963535643,7.753026772209,-6.67351054970274,2.27675111046847e-09,1.86452621050372e-07,11.1669178632079,"Down","9606.ENSP00000430656"
"PLP1",-2.39303516486887,6.3858369166777,-5.98840061690683,4.71720416939203e-08,1.71721029487904e-06,8.25493155231951,"Down","9606.ENSP00000481006"
"LYPD8",-2.38676933769452,10.7785987495068,-5.09318131841334,2.03963334173645e-06,3.0410187744335e-05,4.6527633811773,"Down","9606.ENSP00000466070"
"HSD17B2",-2.37934904708345,10.1181132581762,-6.44876576150108,6.22464601152868e-09,3.86910891558703e-07,10.1997779366431,"Down","9606.ENSP00000199936"
"BEST2",-2.37250034699462,8.27755119269506,-5.41294747720882,5.47298089492673e-07,1.10043206363137e-05,5.90794120282317,"Down","9606.ENSP00000448310"
"MT1M",-2.35660377870621,8.30930147209801,-4.72525095474735,8.83224562781656e-06,9.81579442948393e-05,3.25940765849091,"Down","9606.ENSP00000369146"
"ANPEP",-2.33949764616813,9.48142295878456,-5.02028178238163,2.73856477509034e-06,3.81207537147967e-05,4.37216054031447,"Down","9606.ENSP00000300060"
"MEP1A",-2.31926194837067,10.797615594653,-6.71072523796526,1.92563530672595e-09,1.63054077915561e-07,11.3280461378056,"Down","9606.ENSP00000230588"
