"gene","degree","clustering_coeff","module"
"SLC26A3",12,0.378787878787879,"Module_2"
"MS4A12",10,0.444444444444444,"Module_2"
"CLCA1",10,0.511111111111111,"Module_2"
"GUCA2A",9,0.694444444444444,"Module_2"
"CLCA4",9,0.638888888888889,"Module_2"
"SI",8,0.357142857142857,"Module_2"
"GUCA2B",8,0.75,"Module_2"
"AQP8",7,0.761904761904762,"Module_2"
"ZG16",7,0.952380952380952,"Module_2"
"MEP1A",4,0.666666666666667,"Module_2"
"BEST2",4,0.5,"Module_2"
"CEACAM7",3,0,"Module_2"
"MEP1B",3,0.666666666666667,"Module_2"
"BEST4",3,0.666666666666667,"Module_2"
"ANPEP",3,0.333333333333333,"Module_2"
"NXPE4",3,0,"Module_2"
"BCHE",2,0,"Module_2"
"CA2",2,0,"Module_2"
"CA1",2,0,"Module_2"
"CA4",1,0,"Module_2"
"CWH43",1,0,"Module_2"
"CHP2",1,0,"Module_2"
"HEPACAM2",1,0,"Module_2"
"CD177",1,0,"Module_2"
