"gene","degree","clustering_coeff","module"
"HCAR2",2,1,"Module_1"
"HCAR3",2,1,"Module_1"
"GPR84",2,1,"Module_1"
"MMP1",11,0.454545454545455,"Module_2"
"TIMP1",10,0.511111111111111,"Module_2"
"LCN2",9,0.5,"Module_2"
"MMP3",8,0.607142857142857,"Module_2"
"SPP1",8,0.678571428571429,"Module_2"
"MMP7",6,0.8,"Module_2"
"MMP10",6,0.733333333333333,"Module_2"
"CHI3L1",5,1,"Module_2"
"TCN1",4,0.833333333333333,"Module_2"
"GDF15",3,1,"Module_2"
"SERPINB2",3,1,"Module_2"
"TGFBI",3,1,"Module_2"
"INHBA",2,1,"Module_2"
"SULF1",1,0,"Module_3"
"CTHRC1",1,0,"Module_3"
"SLC7A5",1,0,"Module_4"
"PSAT1",1,0,"Module_4"
"AQP9",1,0,"Module_5"
"CLEC5A",1,0,"Module_5"
"DMBT1",3,0,"Module_6"
"PI3",1,0,"Module_6"
"CA9",1,0,"Module_6"
"DUOX2",1,0,"Module_6"
"IL1B",22,0.606060606060606,"Module_7"
"CXCL8",22,0.606060606060606,"Module_7"
"CXCL10",21,0.647619047619048,"Module_7"
"CCL3",21,0.633333333333333,"Module_7"
"CCL4",21,0.628571428571429,"Module_7"
"IL1A",19,0.701754385964912,"Module_7"
"CXCL1",18,0.705882352941177,"Module_7"
"CXCL11",15,0.8,"Module_7"
"CXCL9",15,0.723809523809524,"Module_7"
"CXCL5",14,0.868131868131868,"Module_7"
"PTGS2",14,0.725274725274725,"Module_7"
"CCL3L3",13,0.897435897435897,"Module_7"
"CXCL3",12,0.954545454545455,"Module_7"
"FCGR3B",12,0.893939393939394,"Module_7"
"CXCL6",11,1,"Module_7"
"TREM1",11,0.909090909090909,"Module_7"
"GZMB",11,0.854545454545454,"Module_7"
"SELE",11,0.927272727272727,"Module_7"
"FCGR3A",10,0.955555555555555,"Module_7"
"OSM",9,0.972222222222222,"Module_7"
"MMP12",9,0.916666666666667,"Module_7"
"IDO1",8,0.892857142857143,"Module_7"
"BCL2A1",5,1,"Module_7"
"COL10A1",1,0,"Module_8"
"COL11A1",1,0,"Module_8"
"KRT23",1,0,"Module_9"
"FOXQ1",1,0,"Module_9"
"REG1A",1,0,"Module_10"
"REG1B",1,0,"Module_10"
"CDH3",0,0,"Module_11"
"ANOS1",0,0,"Module_12"
"PCSK9",0,0,"Module_13"
"OLR1",0,0,"Module_14"
"FAP",0,0,"Module_15"
"THBS2",0,0,"Module_16"
"MSX2",0,0,"Module_17"
"CLDN1",0,0,"Module_18"
"PROK2",0,0,"Module_19"
"LRP8",0,0,"Module_20"
"IFI6",0,0,"Module_21"
"S100A2",0,0,"Module_22"
"ZIC2",0,0,"Module_23"
"UBD",0,0,"Module_24"
"VSNL1",0,0,"Module_25"
"HS6ST2",0,0,"Module_26"
"CLDN2",0,0,"Module_27"
"SLC6A14",0,0,"Module_28"
