"from","to","combined_score"
"9606.ENSP00000215781","9606.ENSP00000218388",944
"9606.ENSP00000215781","9606.ENSP00000244709",507
"9606.ENSP00000219919","9606.ENSP00000244709",572
"9606.ENSP00000218388","9606.ENSP00000252809",441
"9606.ENSP00000215781","9606.ENSP00000255409",468
"9606.ENSP00000218388","9606.ENSP00000255409",481
"9606.ENSP00000218388","9606.ENSP00000260227",936
"9606.ENSP00000257264","9606.ENSP00000260227",462
"9606.ENSP00000215781","9606.ENSP00000263339",927
"9606.ENSP00000218388","9606.ENSP00000263339",610
"9606.ENSP00000226317","9606.ENSP00000263339",504
"9606.ENSP00000244709","9606.ENSP00000263339",486
"9606.ENSP00000215781","9606.ENSP00000263341",940
"9606.ENSP00000216341","9606.ENSP00000263341",588
"9606.ENSP00000218388","9606.ENSP00000263341",750
"9606.ENSP00000219919","9606.ENSP00000263341",424
"9606.ENSP00000226317","9606.ENSP00000263341",791
"9606.ENSP00000243924","9606.ENSP00000263341",484
"9606.ENSP00000244709","9606.ENSP00000263341",731
"9606.ENSP00000252809","9606.ENSP00000263341",405
"9606.ENSP00000255409","9606.ENSP00000263341",500
"9606.ENSP00000260227","9606.ENSP00000263341",664
"9606.ENSP00000263339","9606.ENSP00000263341",995
"9606.ENSP00000219919","9606.ENSP00000267953",403
"9606.ENSP00000263341","9606.ENSP00000267953",678
"9606.ENSP00000218388","9606.ENSP00000279441",980
"9606.ENSP00000257264","9606.ENSP00000279441",511
"9606.ENSP00000260227","9606.ENSP00000279441",696
"9606.ENSP00000263339","9606.ENSP00000279441",445
"9606.ENSP00000263341","9606.ENSP00000279441",674
"9606.ENSP00000264012","9606.ENSP00000295522",457
"9606.ENSP00000219919","9606.ENSP00000295619",533
"9606.ENSP00000262648","9606.ENSP00000295619",812
"9606.ENSP00000226317","9606.ENSP00000296026",668
"9606.ENSP00000263339","9606.ENSP00000296026",752
"9606.ENSP00000263341","9606.ENSP00000296026",857
"9606.ENSP00000218388","9606.ENSP00000296027",521
"9606.ENSP00000226317","9606.ENSP00000296027",843
