"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig","STRING_id"
"MMP3",3.97847493256197,9.47034747089567,6.55153625066986,3.93480906709455e-09,2.74202424399175e-07,10.640726520355,"Up","9606.ENSP00000299855"
"REG1A",3.78502114896436,9.79400137095664,4.61566376973528,1.35187589248449e-05,0.000138768266932568,2.85595524747782,"Up","9606.ENSP00000233735"
"CXCL11",3.50852192072565,7.44363649328339,5.99258738080794,4.63220599734461e-08,1.69839984271921e-06,8.27237320322124,"Up","9606.ENSP00000306884"
"FOXQ1",3.45773701304623,8.39406049694838,7.35823659991031,1.00707020633564e-10,1.89896204705592e-08,14.1689975882143,"Up","9606.ENSP00000296839"
"MMP7",3.2435654968397,8.28245531558814,6.41602907606171,7.20050414080786e-09,4.30858966441567e-07,10.0597999790428,"Up","9606.ENSP00000260227"
"REG1B",3.21509820972506,8.50175889593044,3.62678010717849,0.000484560125651144,0.00258083186790553,-0.503876815871334,"Up","9606.ENSP00000303206"
"MMP1",3.13264149084247,9.50937043127368,5.85897485058819,8.25631867305037e-08,2.66183239518071e-06,7.71819437522426,"Up","9606.ENSP00000322788"
"TCN1",3.13074785677308,7.15253469813405,5.44468125116549,4.79381944846198e-07,9.96927846191274e-06,6.03455501292937,"Up","9606.ENSP00000257264"
"CXCL5",2.9105882297001,6.49713415221897,4.63987227558167,1.23110321223694e-05,0.000128666627756799,2.94460039956924,"Up","9606.ENSP00000296027"
"SLC6A14",2.59062705051782,7.99769691572021,4.85899989886566,5.21718228502815e-06,6.41061886139508e-05,3.75919121900019,"Up","9606.ENSP00000470801"
"CXCL3",2.57009116411042,9.34690581252489,6.01825401745972,4.14317466942073e-08,1.5598774564955e-06,8.3794033277612,"Up","9606.ENSP00000296026"
"HCAR2",2.54886326869497,7.70754899042247,5.03467537229974,2.58419926293164e-06,3.64467927472803e-05,4.42739295538872,"Up","9606.ENSP00000375066"
"HCAR3",2.54886326869497,7.70754899042247,5.03467537229974,2.58419926293164e-06,3.64467927472803e-05,4.42739295538872,"Up","9606.ENSP00000436714"
"CXCL8",2.52086524994747,9.21479195902903,4.83926563793651,5.64122736515228e-06,6.82390840143677e-05,3.68495227821233,"Up","9606.ENSP00000306512"
"CDH3",2.44385811791576,7.50778195920007,6.305546798993,1.1750743222075e-08,6.14626869837157e-07,9.58918894918352,"Up","9606.ENSP00000264012"
"EPHX4",2.41831208271851,4.78544277637444,7.88045511792667,8.96681727057554e-12,5.03016031836111e-09,16.4995359314901,"Up","9606.ENSP00000359410"
"UBD",2.40899243917557,10.322476773409,4.97951562586668,3.22624602789847e-06,4.35582037424872e-05,4.21619172669246,"Up","9606.ENSP00000366249"
"INHBA",2.38770353747076,5.77664081038246,8.24283265153829,1.6515173994005e-12,1.48233595700591e-09,18.1299667189047,"Up","9606.ENSP00000242208"
"CHI3L1",2.38443480860008,7.83791084708839,4.38265975257788,3.28275165918609e-05,0.00028266179769945,2.01720180618331,"Up","9606.ENSP00000255409"
"KRT80",2.33522655202014,5.4337113548172,11.2233146982819,1.47027392586355e-18,3.29914766224522e-14,31.5233377045443,"Up","9606.ENSP00000378292"
"C2CD4A",2.31850177043451,7.49918396681684,5.83400742151577,9.19288777560455e-08,2.90078046798418e-06,7.61520943680815,"Up","9606.ENSP00000347712"
"SPP1",2.31409273362715,8.32647508263715,4.82029695524622,6.08035599366831e-06,7.24573065012869e-05,3.61375391645,"Up","9606.ENSP00000378517"
"COL10A1",2.27931638895363,5.01235926740008,7.26034703933324,1.57943067659103e-10,2.54970107568533e-08,13.7355107753123,"Up","9606.ENSP00000327368"
"CLDN2",2.24981745962852,6.88894672910351,6.97495536816819,5.82146071597909e-10,6.81370007749755e-08,12.4793405694936,"Up","9606.ENSP00000441283"
"CXCL1",2.19493959602232,9.88372353449599,5.04861939573986,2.44277191137288e-06,3.48242432778247e-05,4.4809809150697,"Up","9606.ENSP00000379110"
"CTHRC1",2.1521003164526,8.65750575028844,5.1853371114083,1.40130889952594e-06,2.28020089894579e-05,5.01051937884183,"Up","9606.ENSP00000330523"
"STYXL2",2.10131209340648,4.66116655429077,5.05077507371483,2.42159350467451e-06,3.46102781219053e-05,4.48927241086958,"Up","9606.ENSP00000354483"
"TREM1",2.07568474505345,6.47213460901776,5.42748762102961,5.1508236405425e-07,1.04822320161303e-05,5.96591061188068,"Up","9606.ENSP00000244709"
"IL1B",2.07107906189623,9.23959863226687,5.5923322628117,2.57673309441008e-07,6.29525658652278e-06,6.62821988057731,"Up","9606.ENSP00000263341"
"TESC",2.07061500365093,7.25042599325903,7.66257471885277,2.4678977543075e-11,7.6502902738226e-09,15.5239068636796,"Up","9606.ENSP00000334785"
"CXCL10",2.06776889264463,8.83633427629666,4.8578471262444,5.24107499840575e-06,6.42998807486203e-05,3.75484990365636,"Up","9606.ENSP00000305651"
"CXCL9",2.06200866553331,8.99961984352381,4.37588547401111,3.36725960676891e-05,0.000288389077543082,1.9932187584909,"Up","9606.ENSP00000354901"
"DPEP1",2.04651355034679,6.90497778258664,6.17320637197168,2.10498944562238e-08,9.50796011973308e-07,9.02929744310095,"Up","9606.ENSP00000376807"
"KRT23",2.04284906028641,5.3729099438507,5.53175825721993,3.3269532608277e-07,7.56367823907931e-06,6.38377538918423,"Up","9606.ENSP00000209718"
"DUSP4",2.02551663619142,6.9975969020654,7.08269098556051,3.56264627535681e-10,4.67498361244044e-08,12.9521223427706,"Up","9606.ENSP00000240100"
"LCN2",2.0176273049776,12.105954223263,5.42132844697878,5.28495230946441e-07,1.07029823891762e-05,5.941345789095,"Up","9606.ENSP00000362108"
"MMP10",1.95767044682882,6.75285282178763,3.96343621651167,0.000151642970755274,0.000995237385427785,0.578812464598605,"Up","9606.ENSP00000279441"
