"gene","degree","clustering_coeff","module"
"IL1B",22,0.606060606060606,"Module_7"
"CXCL8",22,0.606060606060606,"Module_7"
"CXCL10",21,0.647619047619048,"Module_7"
"CCL3",21,0.633333333333333,"Module_7"
"CCL4",21,0.628571428571429,"Module_7"
"IL1A",19,0.701754385964912,"Module_7"
"CXCL1",18,0.705882352941177,"Module_7"
"CXCL11",15,0.8,"Module_7"
"CXCL9",15,0.723809523809524,"Module_7"
"CXCL5",14,0.868131868131868,"Module_7"
"PTGS2",14,0.725274725274725,"Module_7"
"CCL3L3",13,0.897435897435897,"Module_7"
"CXCL3",12,0.954545454545455,"Module_7"
"FCGR3B",12,0.893939393939394,"Module_7"
"CXCL6",11,1,"Module_7"
"TREM1",11,0.909090909090909,"Module_7"
"GZMB",11,0.854545454545454,"Module_7"
"SELE",11,0.927272727272727,"Module_7"
"FCGR3A",10,0.955555555555555,"Module_7"
"OSM",9,0.972222222222222,"Module_7"
"MMP12",9,0.916666666666667,"Module_7"
"IDO1",8,0.892857142857143,"Module_7"
"BCL2A1",5,1,"Module_7"
