"gene","degree","clustering_coeff","module"
"SLC16A9",4,0.333333333333333,"Module_1"
"SLC9A2",3,0.333333333333333,"Module_1"
"SLC26A2",3,0.333333333333333,"Module_1"
"SLC30A10",3,0.666666666666667,"Module_1"
"SLC17A4",2,0,"Module_1"
"SLC4A4",2,0,"Module_1"
"SLC3A1",1,0,"Module_1"
"GUCA2B",5,0.4,"Module_2"
"MS4A12",4,0.5,"Module_2"
"AQP8",4,0.5,"Module_2"
"GUCA2A",3,1,"Module_2"
"BEST4",3,0.333333333333333,"Module_2"
"CA7",2,1,"Module_2"
"BEST2",2,0,"Module_2"
"CHP2",1,0,"Module_2"
"HSD3B2",14,0.285714285714286,"Module_3"
"HSD17B2",13,0.256410256410256,"Module_3"
"ABCB1",12,0.363636363636364,"Module_3"
"NR1H4",11,0.472727272727273,"Module_3"
"ADH1C",11,0.145454545454545,"Module_3"
"ABCG2",10,0.466666666666667,"Module_3"
"UGT1A9",10,0.511111111111111,"Module_3"
"UGT1A3",10,0.6,"Module_3"
"UGT1A6",9,0.555555555555556,"Module_3"
"SLC51A",8,0.607142857142857,"Module_3"
"UGT1A4",7,0.714285714285714,"Module_3"
"UGT1A8",7,0.380952380952381,"Module_3"
"UGT1A1",7,0.380952380952381,"Module_3"
"UGT1A10",5,0.8,"Module_3"
"UGT2A3",5,0.2,"Module_3"
"UGT1A7",5,0.8,"Module_3"
"UGT2B17",3,0.333333333333333,"Module_3"
"UGT1A5",3,0.333333333333333,"Module_3"
"SLC22A5",2,1,"Module_3"
"SLC51B",2,1,"Module_3"
"SLC16A1",2,1,"Module_3"
"DHRS11",2,1,"Module_3"
"MEP1A",1,0,"Module_3"
"RUNDC3B",1,0,"Module_3"
"HMGCS2",2,0,"Module_4"
"PCK1",1,0,"Module_4"
"SGK2",1,0,"Module_4"
"CWH43",1,0,"Module_5"
"NXPE4",1,0,"Module_5"
"SELENBP1",1,0,"Module_6"
"CA1",1,0,"Module_6"
"MEP1B",1,0,"Module_7"
"ANPEP",1,0,"Module_7"
"PDE6A",3,0,"Module_8"
"ENTPD5",1,0,"Module_8"
"LAMA1",1,0,"Module_8"
"CDHR1",1,0,"Module_8"
"EXPH5",1,0,"Module_9"
"SLC38A4",1,0,"Module_9"
"DEPDC7",1,0,"Module_10"
"TMED6",1,0,"Module_10"
