"from","to","combined_score"
"9606.ENSP00000016913","9606.ENSP00000219660",624
"9606.ENSP00000237612","9606.ENSP00000245407",633
"9606.ENSP00000199936","9606.ENSP00000251566",691
"9606.ENSP00000230588","9606.ENSP00000251566",406
"9606.ENSP00000230588","9606.ENSP00000269202",873
"9606.ENSP00000241051","9606.ENSP00000288025",483
"9606.ENSP00000237612","9606.ENSP00000296327",432
"9606.ENSP00000269202","9606.ENSP00000300060",558
"9606.ENSP00000016913","9606.ENSP00000300113",412
"9606.ENSP00000199936","9606.ENSP00000303174",706
"9606.ENSP00000237612","9606.ENSP00000303174",643
"9606.ENSP00000296327","9606.ENSP00000303174",497
"9606.ENSP00000199936","9606.ENSP00000304845",729
"9606.ENSP00000237612","9606.ENSP00000304845",688
"9606.ENSP00000296327","9606.ENSP00000304845",496
"9606.ENSP00000199936","9606.ENSP00000320401",750
"9606.ENSP00000255266","9606.ENSP00000335246",657
"9606.ENSP00000296327","9606.ENSP00000335292",998
"9606.ENSP00000199936","9606.ENSP00000343838",697
"9606.ENSP00000199936","9606.ENSP00000346768",697
"9606.ENSP00000237612","9606.ENSP00000346768",529
"9606.ENSP00000343838","9606.ENSP00000346768",732
"9606.ENSP00000016913","9606.ENSP00000349493",640
"9606.ENSP00000219660","9606.ENSP00000349493",532
"9606.ENSP00000230588","9606.ENSP00000349493",480
"9606.ENSP00000320401","9606.ENSP00000349493",400
"9606.ENSP00000233969","9606.ENSP00000355893",568
"9606.ENSP00000286298","9606.ENSP00000355893",505
"9606.ENSP00000319814","9606.ENSP00000358414",661
"9606.ENSP00000340608","9606.ENSP00000358414",405
"9606.ENSP00000345659","9606.ENSP00000361281",461
"9606.ENSP00000016913","9606.ENSP00000361662",589
"9606.ENSP00000219660","9606.ENSP00000361662",434
"9606.ENSP00000345659","9606.ENSP00000361662",487
"9606.ENSP00000349493","9606.ENSP00000361662",736
"9606.ENSP00000361281","9606.ENSP00000361662",468
"9606.ENSP00000199936","9606.ENSP00000362508",698
"9606.ENSP00000303174","9606.ENSP00000362508",505
"9606.ENSP00000346768","9606.ENSP00000362508",509
"9606.ENSP00000199936","9606.ENSP00000362513",690
"9606.ENSP00000199936","9606.ENSP00000362525",690
"9606.ENSP00000343838","9606.ENSP00000362525",805
"9606.ENSP00000346768","9606.ENSP00000362525",815
"9606.ENSP00000199936","9606.ENSP00000362549",742
"9606.ENSP00000237612","9606.ENSP00000362549",688
"9606.ENSP00000296327","9606.ENSP00000362549",514
"9606.ENSP00000016913","9606.ENSP00000364627",407
"9606.ENSP00000226432","9606.ENSP00000364627",545
"9606.ENSP00000237612","9606.ENSP00000367137",417
"9606.ENSP00000260649","9606.ENSP00000367137",401
"9606.ENSP00000255266","9606.ENSP00000374309",618
"9606.ENSP00000233969","9606.ENSP00000378757",525
"9606.ENSP00000237612","9606.ENSP00000378757",566
"9606.ENSP00000245407","9606.ENSP00000378757",440
"9606.ENSP00000286298","9606.ENSP00000378757",503
"9606.ENSP00000355893","9606.ENSP00000378757",600
"9606.ENSP00000367137","9606.ENSP00000378757",680
