"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig","STRING_id"
"AQP8",-5.68122389650188,9.15626430784439,-8.26184707217965,1.51089255629026e-12,2.54909158425543e-10,18.2364643087188,"Down","9606.ENSP00000219660"
"PCK1",-4.08483833243373,9.31070287209663,-7.5209614272759,4.75398702038897e-11,3.84598582639815e-09,14.884761663892,"Down","9606.ENSP00000319814"
"CLDN8",-4.01195549303034,7.45106615811934,-6.29452235594447,1.23374221868632e-08,3.15460620683735e-07,9.49393469965998,"Down","9606.ENSP00000382783"
"ABCG2",-3.86763157438257,8.01699768544043,-7.82769277628336,1.14624660180613e-11,1.22127678376994e-09,16.2668347480074,"Down","9606.ENSP00000237612"
"HMGCS2",-3.71764121910697,8.53513128839423,-9.43625995044665,6.08070683127562e-15,3.40201585090952e-12,23.5981984683566,"Down","9606.ENSP00000358414"
"SLC26A2",-3.63098354200918,11.1105982963411,-8.79204154797569,1.25606201439014e-13,3.63293990069121e-11,20.6546714209279,"Down","9606.ENSP00000286298"
"GUCA2B",-3.27407113438395,8.8538409426984,-6.80851624108664,1.23852008228032e-09,5.09929396812626e-08,11.7205840215089,"Down","9606.ENSP00000361662"
"GUCA2A",-3.24608899125789,10.8509899149523,-6.36168306801052,9.16511709373426e-09,2.47778388513618e-07,9.78156954306291,"Down","9606.ENSP00000349493"
"SLC51A",-3.19586900456385,6.59117863222167,-6.50443221384871,4.85667558568955e-09,1.49082002007234e-07,10.3964133137768,"Down","9606.ENSP00000296327"
"UGT2A3",-3.15139655985985,6.8099332232154,-6.69671368863181,2.05104330402235e-09,7.52015697695384e-08,11.2315791569666,"Down","9606.ENSP00000251566"
"CHP2",-3.13175238495796,9.39446240598335,-7.43834865181912,6.96193976105743e-11,5.17281345358834e-09,14.5142430277476,"Down","9606.ENSP00000300113"
"ADH1C",-2.80183369303525,10.5256834254897,-5.85348950888054,8.45367187092536e-08,1.50085634207165e-06,7.63407261880273,"Down","9606.ENSP00000426083"
"SLC16A9",-2.6225562117485,8.73116953355439,-7.9575015864754,6.2624722496258e-12,7.31893827132049e-10,16.8543288587735,"Down","9606.ENSP00000378757"
"ANPEP",-2.57280814566576,9.48142295878456,-5.81299285432388,1.00616673051533e-07,1.73672117431027e-06,7.46604185815867,"Down","9606.ENSP00000300060"
"SLC30A10",-2.46335872769897,6.50756339748879,-7.18899752590937,2.190835558194e-10,1.32150965296546e-08,13.4011337469897,"Down","9606.ENSP00000355893"
"MEP1B",-2.45336149688465,5.95880501842453,-7.04567472004195,4.21824775950007e-10,2.19104771933847e-08,12.765323835981,"Down","9606.ENSP00000269202"
"CWH43",-2.40206047158522,7.43582254251962,-5.81638665149692,9.9160806113913e-08,1.71945920798669e-06,7.48010454743998,"Down","9606.ENSP00000226432"
"MT1M",-2.38355141045061,8.30930147209801,-5.03210550078077,2.61112276511921e-06,2.62857710751503e-05,4.33424015932845,"Down","9606.ENSP00000369146"
"ABCB1",-2.34370089135382,7.90869622242857,-8.87312978460451,8.58058799667936e-14,2.83146785378659e-11,21.0251498079487,"Down","9606.ENSP00000478255"
"HSD3B2",-2.34308742523814,5.21968243430152,-5.75261740640714,1.30327994786543e-07,2.16103342107899e-06,7.21645770598673,"Down","9606.ENSP00000445122"
"DPP10",-2.26476779730715,4.5135985400704,-8.86007025190793,9.12374516919978e-14,2.96706837466194e-11,20.9654774165691,"Down","9606.ENSP00000376855"
"CA1",-2.24905107202115,7.753026772209,-6.55787666245785,3.82475659588539e-09,1.21563333222482e-07,10.627770961646,"Down","9606.ENSP00000430656"
"NR1H4",-2.22200306202687,6.36008215286458,-5.82790766211669,9.43715576509276e-08,1.64794037519779e-06,7.52786957920646,"Down","9606.ENSP00000447149"
"LAMA1",-2.21957881233985,7.342126667061,-6.11937571829243,2.66509043924766e-08,5.8060159578911e-07,8.74907506915019,"Down","9606.ENSP00000374309"
"SLC16A1",-2.21878395332004,8.03638535332029,-10.6350470211304,2.23370604704809e-17,5.56912555441246e-14,29.043057017843,"Down","9606.ENSP00000441065"
"SLC17A4",-2.21458469500167,7.14445907334258,-8.81845704727143,1.10944055674016e-13,3.36415360171519e-11,20.7753496148351,"Down","9606.ENSP00000367137"
"SLC38A4",-2.15994160148651,4.34297158894721,-7.90755054621293,7.90382241218489e-12,8.86769355535084e-10,16.6280970527877,"Down","9606.ENSP00000389843"
"RUNDC3B",-2.15133697678609,6.85760234361838,-9.67121907160811,2.01746696728602e-15,1.56103245789418e-12,24.6703325215863,"Down","9606.ENSP00000337732"
"UGT1A8",-2.14412051582337,9.07922873778095,-7.34836355630045,1.05389055155291e-10,7.20983234338282e-09,14.1116021011067,"Down","9606.ENSP00000304845"
"UGT1A9",-2.14412051582337,9.07922873778095,-7.34836355630045,1.05389055155291e-10,7.20983234338282e-09,14.1116021011067,"Down","9606.ENSP00000346768"
"CNTN3",-2.10794223492022,6.85572228338993,-5.50644957663798,3.70053015270943e-07,5.10991975979365e-06,6.21092270931846,"Down","9606.ENSP00000263665"
"DEPDC7",-2.07502386325849,6.88877711162482,-11.1010916208569,2.58203350289344e-18,9.65637496190433e-15,31.1354523692984,"Down","9606.ENSP00000241051"
"SCUBE2",-2.0427124198097,6.82554268573047,-9.7815404616633,1.20240917163367e-15,1.226402700104e-12,25.1731450977338,"Down","9606.ENSP00000429969"
"UGT1A1",-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down","9606.ENSP00000362549"
"UGT1A10",-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down","9606.ENSP00000343838"
"UGT1A3",-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down","9606.ENSP00000418532"
"UGT1A4",-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down","9606.ENSP00000362508"
"UGT1A5",-2.04137060869139,9.59687521507384,-7.02865496143958,4.5586045968753e-10,2.30904127650756e-08,12.6900324383786,"Down","9606.ENSP00000362513"
"PRAP1",-2.02261416865215,8.32333346400363,-7.0103807379857,4.95443547902332e-10,2.46365892048776e-08,12.6092435987473,"Down","9606.ENSP00000416126"
"EXPH5",-2.00292199558717,7.73270872420699,-8.42496549508376,7.03657826297595e-13,1.5037502823135e-10,18.9793728007771,"Down","9606.ENSP00000265843"
"PBLD",-1.9965139992983,8.65084233420305,-8.36481219103462,9.32839964101433e-13,1.83270747436686e-10,18.7052680323148,"Down","9606.ENSP00000351619"
"BEST4",-1.9849171832331,6.71789658660522,-5.48711521142242,4.01338292515846e-07,5.47228465161093e-06,6.13280686044542,"Down","9606.ENSP00000361281"
"SELENBP1",-1.94180693527862,11.2416273362637,-6.24987661837409,1.50240800733677e-08,3.70060738492095e-07,9.30333160432314,"Down","9606.ENSP00000397261"
"LYPD8",-1.9393926003396,10.7785987495068,-4.35743911021008,3.60816672229166e-05,0.000241754712097649,1.82925148980467,"Down","9606.ENSP00000466070"
"DHRS11",-1.93174216251955,9.1336262858837,-6.89603114225114,8.33212625186507e-10,3.74327780194885e-08,12.1049756816584,"Down","9606.ENSP00000482704"
"APOBEC3B",-1.91669408044009,8.49711937147799,-8.48178203278827,5.39075836160591e-13,1.22185077652601e-10,19.2384073778928,"Down","9606.ENSP00000327459"
"MS4A12",-1.9119055721914,10.78879481202,-3.00654199851629,0.00345891559594551,0.0113405328839014,-2.43140422193127,"Down","9606.ENSP00000016913"
"BEST2",-1.90422496719385,8.27755119269506,-4.57438473653864,1.58481308974951e-05,0.00012134766475819,2.61140437696571,"Down","9606.ENSP00000448310"
"PADI2",-1.89620771027264,6.78691411626558,-9.69811977101333,1.77822823038926e-15,1.47783938006313e-12,24.7929775973303,"Down","9606.ENSP00000364635"
