"gene","degree","clustering_coeff","module"
"SERPINA3",3,0.666666666666667,"Module_1"
"SERPINA3",3,0.666666666666667,"Module_1"
"NPTX2",2,1,"Module_1"
"SAA1",2,1,"Module_1"
"C4BPB",2,1,"Module_2"
"C4BPA",2,1,"Module_2"
"CFI",2,1,"Module_2"
"FCGR3A",9,0.583333333333333,"Module_3"
"S100A12",9,0.611111111111111,"Module_3"
"FCGR3B",9,0.583333333333333,"Module_3"
"AQP9",7,0.761904761904762,"Module_3"
"MNDA",7,0.857142857142857,"Module_3"
"S100A8",7,0.809523809523809,"Module_3"
"S100A9",7,0.809523809523809,"Module_3"
"SELL",6,0.6,"Module_3"
"CD38",4,0.666666666666667,"Module_3"
"ANXA1",4,0.666666666666667,"Module_3"
"PROK2",3,0.666666666666667,"Module_3"
"CD55",2,1,"Module_3"
"MS4A1",2,1,"Module_3"
"REG1A",5,0.8,"Module_4"
"REG1B",5,0.8,"Module_4"
"REG3A",5,0.8,"Module_4"
"DEFA6",4,1,"Module_4"
"DEFA5",4,1,"Module_4"
"ZC3H12A",3,1,"Module_4"
"IL1B",26,0.467692307692308,"Module_5"
"CXCL8",24,0.485507246376812,"Module_5"
"MMP9",22,0.588744588744589,"Module_5"
"CCL20",20,0.652631578947368,"Module_5"
"CXCL1",20,0.647368421052632,"Module_5"
"CXCL2",19,0.654970760233918,"Module_5"
"CXCL13",17,0.639705882352941,"Module_5"
"CXCL5",17,0.772058823529412,"Module_5"
"CXCL11",17,0.691176470588235,"Module_5"
"CCL18",16,0.758333333333333,"Module_5"
"CXCL3",15,0.828571428571429,"Module_5"
"CXCR2",15,0.838095238095238,"Module_5"
"MMP1",14,0.681318681318681,"Module_5"
"CXCL9",14,0.626373626373626,"Module_5"
"CXCL6",12,0.984848484848485,"Module_5"
"MMP3",12,0.787878787878788,"Module_5"
"MMP12",11,0.872727272727273,"Module_5"
"MMP7",10,0.755555555555556,"Module_5"
"IL33",10,0.911111111111111,"Module_5"
"GZMB",9,0.833333333333333,"Module_5"
"NOS2",9,0.777777777777778,"Module_5"
"MMP10",8,0.785714285714286,"Module_5"
"CHI3L1",7,0.761904761904762,"Module_5"
"IDO1",7,0.761904761904762,"Module_5"
"BCL2A1",4,1,"Module_5"
"GBP1",4,1,"Module_5"
"TCN1",3,1,"Module_5"
"FDCSP",2,1,"Module_5"
"ADM",2,1,"Module_5"
"PCSK1",1,0,"Module_6"
"SLC6A14",1,0,"Module_6"
"DEFB4A",4,0.833333333333333,"Module_7"
"S100A7",4,0.833333333333333,"Module_7"
"LCN2",4,0.833333333333333,"Module_7"
"PI3",3,1,"Module_7"
"DEFB4B",3,1,"Module_7"
"PDZK1IP1",1,0,"Module_8"
"DMBT1",1,0,"Module_8"
"APOL1",1,0,"Module_9"
"SAA2",1,0,"Module_9"
"SPRR1B",0,0,"Module_10"
"VNN1",0,0,"Module_11"
"SERPINB7",0,0,"Module_12"
"HCAR2",0,0,"Module_13"
"SLC7A11",0,0,"Module_14"
"DUOXA2",0,0,"Module_15"
"IL13RA2",0,0,"Module_16"
"UBD",0,0,"Module_17"
"TNIP3",0,0,"Module_18"
"HCAR3",0,0,"Module_19"
"PFKFB3",0,0,"Module_20"
"DUOX2",0,0,"Module_21"
