"from","to","combined_score"
"9606.ENSP00000216341","9606.ENSP00000226279",610
"9606.ENSP00000216341","9606.ENSP00000236147",758
"9606.ENSP00000226279","9606.ENSP00000236147",702
"9606.ENSP00000257264","9606.ENSP00000260227",462
"9606.ENSP00000216341","9606.ENSP00000263341",588
"9606.ENSP00000219919","9606.ENSP00000263341",424
"9606.ENSP00000226279","9606.ENSP00000263341",492
"9606.ENSP00000226317","9606.ENSP00000263341",791
"9606.ENSP00000236147","9606.ENSP00000263341",690
"9606.ENSP00000243924","9606.ENSP00000263341",484
"9606.ENSP00000255409","9606.ENSP00000263341",500
"9606.ENSP00000260227","9606.ENSP00000263341",664
"9606.ENSP00000219919","9606.ENSP00000267953",403
"9606.ENSP00000263341","9606.ENSP00000267953",678
"9606.ENSP00000257264","9606.ENSP00000279441",511
"9606.ENSP00000260227","9606.ENSP00000279441",696
"9606.ENSP00000263341","9606.ENSP00000279441",674
"9606.ENSP00000216341","9606.ENSP00000286758",460
"9606.ENSP00000226279","9606.ENSP00000286758",424
"9606.ENSP00000226317","9606.ENSP00000286758",554
"9606.ENSP00000236147","9606.ENSP00000286758",529
"9606.ENSP00000255409","9606.ENSP00000286758",405
"9606.ENSP00000263341","9606.ENSP00000286758",610
"9606.ENSP00000219919","9606.ENSP00000295619",533
"9606.ENSP00000226317","9606.ENSP00000296026",668
"9606.ENSP00000263341","9606.ENSP00000296026",857
"9606.ENSP00000286758","9606.ENSP00000296026",600
"9606.ENSP00000226317","9606.ENSP00000296027",843
"9606.ENSP00000260227","9606.ENSP00000296027",489
"9606.ENSP00000263341","9606.ENSP00000296027",885
"9606.ENSP00000286758","9606.ENSP00000296027",742
"9606.ENSP00000296026","9606.ENSP00000296027",703
"9606.ENSP00000233735","9606.ENSP00000297436",627
"9606.ENSP00000260227","9606.ENSP00000297436",433
"9606.ENSP00000255409","9606.ENSP00000299855",518
"9606.ENSP00000263341","9606.ENSP00000299855",825
"9606.ENSP00000279441","9606.ENSP00000299855",933
"9606.ENSP00000296026","9606.ENSP00000299855",406
"9606.ENSP00000296027","9606.ENSP00000299855",539
"9606.ENSP00000233735","9606.ENSP00000303206",922
"9606.ENSP00000297436","9606.ENSP00000303206",674
"9606.ENSP00000243924","9606.ENSP00000303532",626
"9606.ENSP00000263341","9606.ENSP00000303532",653
"9606.ENSP00000297436","9606.ENSP00000303532",577
"9606.ENSP00000243924","9606.ENSP00000306461",724
"9606.ENSP00000216341","9606.ENSP00000306512",537
"9606.ENSP00000226279","9606.ENSP00000306512",452
"9606.ENSP00000226317","9606.ENSP00000306512",588
"9606.ENSP00000236147","9606.ENSP00000306512",620
"9606.ENSP00000243924","9606.ENSP00000306512",546
"9606.ENSP00000255409","9606.ENSP00000306512",527
"9606.ENSP00000260227","9606.ENSP00000306512",671
"9606.ENSP00000263341","9606.ENSP00000306512",998
"9606.ENSP00000267953","9606.ENSP00000306512",587
"9606.ENSP00000279441","9606.ENSP00000306512",527
"9606.ENSP00000296026","9606.ENSP00000306512",753
"9606.ENSP00000296027","9606.ENSP00000306512",582
"9606.ENSP00000299855","9606.ENSP00000306512",734
"9606.ENSP00000303532","9606.ENSP00000306512",687
"9606.ENSP00000216341","9606.ENSP00000306884",483
"9606.ENSP00000226317","9606.ENSP00000306884",784
"9606.ENSP00000263341","9606.ENSP00000306884",682
"9606.ENSP00000286758","9606.ENSP00000306884",943
"9606.ENSP00000296026","9606.ENSP00000306884",789
"9606.ENSP00000296027","9606.ENSP00000306884",783
"9606.ENSP00000306512","9606.ENSP00000306884",719
"9606.ENSP00000286758","9606.ENSP00000318437",455
"9606.ENSP00000216341","9606.ENSP00000319635",401
"9606.ENSP00000226317","9606.ENSP00000319635",989
"9606.ENSP00000236147","9606.ENSP00000319635",592
"9606.ENSP00000263341","9606.ENSP00000319635",700
"9606.ENSP00000286758","9606.ENSP00000319635",951
"9606.ENSP00000295619","9606.ENSP00000319635",490
"9606.ENSP00000296026","9606.ENSP00000319635",998
"9606.ENSP00000296027","9606.ENSP00000319635",999
