"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig","STRING_id"
"SLC6A14",6.18788710563178,7.99769691572021,12.2200021139167,1.56548366015952e-20,3.51278878503195e-16,36.0771792417723,"Up","9606.ENSP00000470801"
"REG1A",5.52604000572993,9.79400137095664,7.09523500341392,3.36428421022409e-10,1.85938850722213e-08,12.984828170749,"Up","9606.ENSP00000233735"
"DUOX2",5.48880720359181,9.4678367741311,11.2123763935592,1.54619365909734e-18,6.93900790329703e-15,31.6324078851235,"Up","9606.ENSP00000475084"
"REG1B",5.29747259268483,8.50175889593044,6.29191149788169,1.24805477058648e-08,3.17518151895579e-07,9.48277488132694,"Up","9606.ENSP00000303206"
"CHI3L1",5.03601478802754,7.83791084708839,9.74599545384717,1.42052461582168e-15,1.32813132726761e-12,25.0111892305497,"Up","9606.ENSP00000255409"
"DEFA5",4.82620262966154,8.74997731339227,6.41806275548363,7.13570175175861e-09,2.02681027351533e-07,10.0238523484163,"Up","9606.ENSP00000329890"
"S100A8",4.3553267914031,10.8780509817851,8.83473157385838,1.02775515822042e-13,3.20302749934833e-11,20.8497041286781,"Up","9606.ENSP00000357722"
"DUOXA2",4.26565927912641,8.95313197691208,11.2998821470834,1.03385811232263e-18,5.79968554560185e-15,32.0223942830146,"Up","9606.ENSP00000319705"
"LCN2",4.1506148753293,12.105954223263,11.742595917805,1.36310716094716e-19,1.52933807922466e-15,33.9842434173835,"Up","9606.ENSP00000362108"
"MMP3",4.06477874291066,9.47034747089567,7.04774753637666,4.17855875339941e-10,2.18052743877975e-08,12.774496652829,"Up","9606.ENSP00000299855"
"TNIP3",4.05122223657045,5.9105773419574,10.0685217017674,3.1353747817135e-16,5.02533390906209e-13,26.4787883595879,"Up","9606.ENSP00000426613"
"CXCL1",4.02727045063095,9.88372353449599,9.75321413089019,1.37323426608624e-15,1.32813132726761e-12,25.044083938396,"Up","9606.ENSP00000379110"
"CXCL3",3.93960765575541,9.34690581252489,9.71318955030855,1.65684550494226e-15,1.46839704109624e-12,24.8616725910129,"Up","9606.ENSP00000296026"
"PI3",3.85551318819728,10.5679335906642,9.65430850965898,2.18409669464169e-15,1.63363152436883e-12,24.5932219428463,"Up","9606.ENSP00000243924"
"DEFA6",3.83584451844921,9.24117986099114,6.15161381841622,2.31412445092382e-08,5.1809068520435e-07,8.8855862893857,"Up","9606.ENSP00000297436"
"CXCL6",3.70630019385334,7.06731503971956,7.83371841107654,1.11456260479508e-11,1.19663494205727e-09,16.2940748941959,"Up","9606.ENSP00000226317"
"DEFB4A",3.58313255025267,7.46333602148693,8.2951166763582,1.29297161444939e-12,2.28282009145106e-10,18.3878852013665,"Up","9606.ENSP00000303532"
"DEFB4B",3.58313255025267,7.46333602148693,8.2951166763582,1.29297161444939e-12,2.28282009145106e-10,18.3878852013665,"Up","9606.ENSP00000424598"
"TCN1",3.56746545180301,7.15253469813405,6.53237411554079,4.28682332887581e-09,1.34911681173414e-07,10.5172953083853,"Up","9606.ENSP00000257264"
"VNN1",3.36191381749642,7.02560161671007,8.61697289791786,2.85841994156233e-13,7.37242357111691e-11,19.8552111764004,"Up","9606.ENSP00000356905"
"CXCL11",3.34609094721335,7.44363649328339,6.01748238225287,4.15710567354278e-08,8.26961828090661e-07,8.31944025685328,"Up","9606.ENSP00000306884"
"MMP10",3.29068696901569,6.75285282178763,7.01464610733745,4.85909715221871e-10,2.42835815141727e-08,12.6280955953402,"Up","9606.ENSP00000279441"
"CXCL5",3.17591836703985,6.49713415221897,5.33066625867795,7.70432433209474e-07,9.42624502114906e-06,5.50558857043236,"Up","9606.ENSP00000296027"
"FCGR3B",3.17486674013753,7.89849821129331,8.90210426263823,7.48813109193362e-14,2.54585111472573e-11,21.157547999751,"Up","9606.ENSP00000433642"
"FCGR3A",3.11945484935081,7.29614691678381,8.7908957113611,1.26284287291731e-13,3.63293990069121e-11,20.6494369506234,"Up","9606.ENSP00000356946"
"CXCL13",3.09180091368638,8.95721156971779,4.89868358652181,4.45637681575596e-06,4.09151552245286e-05,3.82246657242687,"Up","9606.ENSP00000286758"
"CXCL8",3.07899834963302,9.21479195902903,6.22337816847611,1.68840388533317e-08,4.03043561521181e-07,9.19043725789808,"Up","9606.ENSP00000306512"
"IDO1",2.91214584156286,9.06297828787055,7.31547410847327,1.22603255802057e-10,8.09145428512455e-09,13.9646955581552,"Up","9606.ENSP00000430950"
"HCAR2",2.91135622213463,7.70754899042247,6.05490295674503,3.53196489809633e-08,7.26676560120106e-07,8.47689687681981,"Up","9606.ENSP00000375066"
