"gene","degree","clustering_coeff","module"
"IL1B",26,0.467692307692308,"Module_5"
"CXCL8",24,0.485507246376812,"Module_5"
"MMP9",22,0.588744588744589,"Module_5"
"CCL20",20,0.652631578947368,"Module_5"
"CXCL1",20,0.647368421052632,"Module_5"
"CXCL2",19,0.654970760233918,"Module_5"
"CXCL13",17,0.639705882352941,"Module_5"
"CXCL5",17,0.772058823529412,"Module_5"
"CXCL11",17,0.691176470588235,"Module_5"
"CCL18",16,0.758333333333333,"Module_5"
"CXCL3",15,0.828571428571429,"Module_5"
"CXCR2",15,0.838095238095238,"Module_5"
"MMP1",14,0.681318681318681,"Module_5"
"CXCL9",14,0.626373626373626,"Module_5"
"CXCL6",12,0.984848484848485,"Module_5"
"MMP3",12,0.787878787878788,"Module_5"
"MMP12",11,0.872727272727273,"Module_5"
"MMP7",10,0.755555555555556,"Module_5"
"IL33",10,0.911111111111111,"Module_5"
"GZMB",9,0.833333333333333,"Module_5"
"NOS2",9,0.777777777777778,"Module_5"
"MMP10",8,0.785714285714286,"Module_5"
"CHI3L1",7,0.761904761904762,"Module_5"
"IDO1",7,0.761904761904762,"Module_5"
"BCL2A1",4,1,"Module_5"
"GBP1",4,1,"Module_5"
"TCN1",3,1,"Module_5"
"FDCSP",2,1,"Module_5"
"ADM",2,1,"Module_5"
