"gene","degree","clustering_coeff","module"
"NXPE4",3,0,"Module_1"
"NXPE1",2,0,"Module_1"
"CEACAM7",1,0,"Module_1"
"CWH43",1,0,"Module_1"
"HEPACAM2",1,0,"Module_1"
"CDH1",5,0.1,"Module_2"
"BSG",4,0.166666666666667,"Module_2"
"SLC9A2",3,0,"Module_2"
"SLC16A9",3,0,"Module_2"
"CD46",2,1,"Module_2"
"SLC26A2",2,0,"Module_2"
"SLC16A1",2,0,"Module_2"
"SLC4A4",2,0,"Module_2"
"PKP2",1,0,"Module_2"
"FOXA1",1,0,"Module_2"
"MEP1B",1,0,"Module_2"
"MS4A12",5,0.3,"Module_3"
"AQP8",5,0.4,"Module_3"
"GUCA2A",5,0.3,"Module_3"
"GUCA2B",3,1,"Module_3"
"HNF4G",2,1,"Module_3"
"BEST2",2,1,"Module_3"
"PRKG2",1,0,"Module_3"
"ATOH1",1,0,"Module_3"
"CHP2",1,0,"Module_3"
"CD177",1,0,"Module_3"
"HSD3B2",12,0.121212121212121,"Module_4"
"ADH1C",10,0.177777777777778,"Module_4"
"ABCG2",8,0.535714285714286,"Module_4"
"UGT1A6",8,0.464285714285714,"Module_4"
"UGT1A9",8,0.5,"Module_4"
"UGT1A3",8,0.607142857142857,"Module_4"
"ABCB1",8,0.535714285714286,"Module_4"
"SLC51A",7,0.476190476190476,"Module_4"
"UGT1A4",6,0.733333333333333,"Module_4"
"UGT1A8",6,0.266666666666667,"Module_4"
"UGT1A1",6,0.266666666666667,"Module_4"
"EPHX1",6,0.2,"Module_4"
"UGT1A10",4,0.833333333333333,"Module_4"
"UGT1A7",4,0.833333333333333,"Module_4"
"UGT2A3",3,0,"Module_4"
"UGT1A5",2,0,"Module_4"
"NR5A2",2,0,"Module_4"
"FMO5",1,0,"Module_4"
"DHRS11",1,0,"Module_4"
"YWHAE",1,0,"Module_5"
"HSP90AB1",1,0,"Module_5"
"PCK1",1,0,"Module_6"
"HMGCS2",1,0,"Module_6"
"SELENBP1",1,0,"Module_7"
"CA1",1,0,"Module_7"
"ENTPD5",1,0,"Module_8"
"ABCD3",1,0,"Module_8"
"EXPH5",1,0,"Module_9"
"SLC38A4",1,0,"Module_9"
"SNORA63",1,0,"Module_10"
"DHX9",1,0,"Module_10"
