"from","to","combined_score"
"9606.ENSP00000016913","9606.ENSP00000219660",624
"9606.ENSP00000070846","9606.ENSP00000261769",628
"9606.ENSP00000237612","9606.ENSP00000261769",560
"9606.ENSP00000250448","9606.ENSP00000261769",564
"9606.ENSP00000261769","9606.ENSP00000269202",929
"9606.ENSP00000237612","9606.ENSP00000296327",432
"9606.ENSP00000016913","9606.ENSP00000300113",412
"9606.ENSP00000237612","9606.ENSP00000303174",643
"9606.ENSP00000296327","9606.ENSP00000303174",497
"9606.ENSP00000237612","9606.ENSP00000304845",688
"9606.ENSP00000296327","9606.ENSP00000304845",496
"9606.ENSP00000261769","9606.ENSP00000313875",466
"9606.ENSP00000261769","9606.ENSP00000333769",486
"9606.ENSP00000313875","9606.ENSP00000333769",443
"9606.ENSP00000237612","9606.ENSP00000346768",529
"9606.ENSP00000343838","9606.ENSP00000346768",732
"9606.ENSP00000016913","9606.ENSP00000349493",640
"9606.ENSP00000219660","9606.ENSP00000349493",532
"9606.ENSP00000264399","9606.ENSP00000349493",666
"9606.ENSP00000302216","9606.ENSP00000349493",402
"9606.ENSP00000296327","9606.ENSP00000356331",493
"9606.ENSP00000326381","9606.ENSP00000356520",600
"9606.ENSP00000319814","9606.ENSP00000358414",661
"9606.ENSP00000335246","9606.ENSP00000359233",417
"9606.ENSP00000264335","9606.ENSP00000360609",568
"9606.ENSP00000016913","9606.ENSP00000361662",589
"9606.ENSP00000219660","9606.ENSP00000361662",434
"9606.ENSP00000349493","9606.ENSP00000361662",736
"9606.ENSP00000303174","9606.ENSP00000362508",505
"9606.ENSP00000346768","9606.ENSP00000362508",509
"9606.ENSP00000343838","9606.ENSP00000362525",805
"9606.ENSP00000346768","9606.ENSP00000362525",815
"9606.ENSP00000237612","9606.ENSP00000362549",688
"9606.ENSP00000296327","9606.ENSP00000362549",514
"9606.ENSP00000006724","9606.ENSP00000364627",553
"9606.ENSP00000016913","9606.ENSP00000364627",407
