"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig","STRING_id"
"CLDN8",-4.78152700224067,7.45106615811934,-7.38331968333795,8.97214936940425e-11,1.50467907100196e-09,14.0641941857442,"Down","9606.ENSP00000382783"
"AQP8",-3.95848849145085,9.15626430784439,-5.6655623037555,1.88903609784085e-07,1.40777419460149e-06,6.56096740819489,"Down","9606.ENSP00000219660"
"UGT2A3",-3.83954158931534,6.8099332232154,-8.03001649665625,4.46527996293854e-12,1.0458916188766e-10,17.0209992077025,"Down","9606.ENSP00000251566"
"PCK1",-3.37052852078704,9.31070287209663,-6.10766039899939,2.80523804830415e-08,2.56297787320427e-07,8.42376344918633,"Down","9606.ENSP00000319814"
"HMGCS2",-3.28577168709202,8.53513128839423,-8.20820493735275,1.94199272048762e-12,4.95749427247119e-11,17.8424152865442,"Down","9606.ENSP00000358414"
"SLC4A4",-3.01790346098237,7.37463025311924,-11.6750814714477,1.85447922285221e-19,2.22527589741074e-17,33.8211989047781,"Down","9606.ENSP00000393557"
"SLC26A2",-2.90891525786133,11.1105982963411,-6.93226102873615,7.06847817622938e-10,9.58945476399099e-09,12.0337982965647,"Down","9606.ENSP00000286298"
"EPHX1",-2.80016762757835,7.11196915689099,-20.2496649095536,1.44662927828062e-34,3.24609143753389e-30,68.0383164534858,"Down","9606.ENSP00000480004"
"BSG",-2.70716085244573,9.89969784157561,-17.6640940791636,1.99612802119181e-30,1.11977791668807e-26,58.7157602225763,"Down","9606.ENSP00000333769"
"CWH43",-2.64402168638277,7.43582254251962,-6.30104718625335,1.19867887703634e-08,1.20237618783275e-07,9.25612720688123,"Down","9606.ENSP00000226432"
"EXPH5",-2.64253022378399,7.73270872420699,-10.9396252410329,5.44295208970382e-18,4.96481308702699e-16,30.4790624114286,"Down","9606.ENSP00000265843"
"SLC9A2",-2.62425442893816,6.21412060291316,-10.8782035714059,7.23203537261623e-18,6.31438294654224e-16,30.197966795887,"Down","9606.ENSP00000233969"
"SLC44A4",-2.59785677326954,9.34059295956069,-11.455961857345,5.05096590274367e-19,5.78258285161557e-17,32.8303185003891,"Down","9606.ENSP00000229729"
"ABCG2",-2.59651610714621,8.01699768544043,-5.17199483367471,1.47985807608546e-06,8.81766194018919e-06,4.55860394492343,"Down","9606.ENSP00000237612"
"CHP2",-2.46905862047946,9.39446240598335,-5.77163557336702,1.20141090279028e-07,9.38229307856918e-07,7.0024249131435,"Down","9606.ENSP00000300113"
"SNORA63",-2.4094115506368,5.44127578417511,-14.0630273273726,4.65056855216263e-24,2.00680976426879e-21,44.2877657197846,"Down","9606.ENSP00000326381"
"ADH1C",-2.34277448040017,10.5256834254897,-4.81705230295116,6.15873106725206e-06,3.1551544844308e-05,3.1780927459766,"Down","9606.ENSP00000426083"
"VAV3",-2.3321885914629,8.33493567430447,-10.6340784312003,2.24378092202995e-17,1.75429268673972e-15,29.0780992833454,"Down","9606.ENSP00000359073"
"DPP10",-2.32971655328485,4.5135985400704,-8.97005190641137,5.44079627417109e-14,1.97870385082861e-12,21.3724772315075,"Down","9606.ENSP00000376855"
"CDH1",-2.31368298967403,9.88420277898032,-14.2881562503158,1.77265330034123e-24,8.64707987094714e-22,45.2394115566367,"Down","9606.ENSP00000261769"
"GUCA2A",-2.14217918130167,10.8509899149523,-4.13186181045922,8.28804034927407e-05,0.000316607656447669,0.680893875924079,"Down","9606.ENSP00000349493"
"ATOH1",-2.08199170790594,6.81055042519209,-10.7788052962222,1.14617861931816e-17,9.56100447542017e-16,29.742495368539,"Down","9606.ENSP00000302216"
"SLC51A",-2.07865127352691,6.59117863222167,-4.16370972107384,7.38119482019948e-05,0.000286650450969983,0.791528228017264,"Down","9606.ENSP00000296327"
