"gene","degree","clustering_coeff","module"
"HSD3B2",12,0.121212121212121,"Module_4"
"ADH1C",10,0.177777777777778,"Module_4"
"ABCG2",8,0.535714285714286,"Module_4"
"UGT1A6",8,0.464285714285714,"Module_4"
"UGT1A9",8,0.5,"Module_4"
"UGT1A3",8,0.607142857142857,"Module_4"
"ABCB1",8,0.535714285714286,"Module_4"
"SLC51A",7,0.476190476190476,"Module_4"
"UGT1A4",6,0.733333333333333,"Module_4"
"UGT1A8",6,0.266666666666667,"Module_4"
"UGT1A1",6,0.266666666666667,"Module_4"
"EPHX1",6,0.2,"Module_4"
"UGT1A10",4,0.833333333333333,"Module_4"
"UGT1A7",4,0.833333333333333,"Module_4"
"UGT2A3",3,0,"Module_4"
"UGT1A5",2,0,"Module_4"
"NR5A2",2,0,"Module_4"
"FMO5",1,0,"Module_4"
"DHRS11",1,0,"Module_4"
