"gene","degree","clustering_coeff","module"
"IL1B",22,0.545454545454546,"Module_1"
"MMP9",22,0.532467532467532,"Module_1"
"CXCL8",21,0.542857142857143,"Module_1"
"CXCL1",19,0.666666666666667,"Module_1"
"CXCL5",17,0.75,"Module_1"
"CXCL2",17,0.735294117647059,"Module_1"
"CXCL3",15,0.80952380952381,"Module_1"
"CCL11",15,0.780952380952381,"Module_1"
"CXCL11",15,0.723809523809524,"Module_1"
"CXCL13",14,0.736263736263736,"Module_1"
"MMP1",14,0.681318681318681,"Module_1"
"CCL18",14,0.824175824175824,"Module_1"
"CXCR2",13,0.935897435897436,"Module_1"
"CXCL6",12,0.984848484848485,"Module_1"
"MMP3",12,0.787878787878788,"Module_1"
"MMP7",11,0.745454545454545,"Module_1"
"SPP1",10,0.866666666666667,"Module_1"
"MMP10",9,0.805555555555556,"Module_1"
"IL33",9,0.972222222222222,"Module_1"
"CHI3L1",8,0.75,"Module_1"
"NOS2",7,0.809523809523809,"Module_1"
"IDO1",4,0.833333333333333,"Module_1"
"TCN1",3,1,"Module_1"
"ACKR4",3,1,"Module_1"
"BCL2A1",3,1,"Module_1"
"CCN1",1,0,"Module_1"
"THBS2",2,0,"Module_2"
"CTHRC1",1,0,"Module_2"
"CCN1",1,0,"Module_2"
"S100A12",10,0.4,"Module_3"
"S100A9",7,0.571428571428571,"Module_3"
"LCN2",7,0.428571428571429,"Module_3"
"S100A8",6,0.666666666666667,"Module_3"
"ANXA1",5,0.6,"Module_3"
"PI3",4,0.833333333333333,"Module_3"
"DEFB4A",4,0.666666666666667,"Module_3"
"MNDA",4,1,"Module_3"
"SAA1",4,0.666666666666667,"Module_3"
"FCGR3B",4,1,"Module_3"
"PROK2",3,1,"Module_3"
"DEFB4B",2,1,"Module_3"
"C4BPB",2,1,"Module_4"
"C4BPA",2,1,"Module_4"
"CFI",2,1,"Module_4"
"DMBT1",2,0,"Module_5"
"PDZK1IP1",1,0,"Module_5"
"DUOX2",1,0,"Module_5"
"NPTX2",3,1,"Module_6"
"PCDH17",3,1,"Module_6"
"SERPINA3",3,1,"Module_6"
"SERPINA3",3,1,"Module_6"
"REG1A",4,1,"Module_7"
"DEFA6",4,1,"Module_7"
"REG1B",4,1,"Module_7"
"DEFA5",4,1,"Module_7"
"REG3A",4,1,"Module_7"
"ART3",1,0,"Module_8"
"TMEM158",1,0,"Module_8"
"APOL1",1,0,"Module_9"
"SAA2",1,0,"Module_9"
"TWIST1",0,0,"Module_10"
"VNN1",0,0,"Module_11"
"CTSZ",0,0,"Module_12"
"SERPINB7",0,0,"Module_13"
"HCAR2",0,0,"Module_14"
"DUOXA2",0,0,"Module_15"
"SLC16A4",0,0,"Module_16"
"IL13RA2",0,0,"Module_17"
"ALDOB",0,0,"Module_18"
"TNIP3",0,0,"Module_19"
"HCAR3",0,0,"Module_20"
"GREM1",0,0,"Module_21"
