"from","to","combined_score"
"9606.ENSP00000257264","9606.ENSP00000260227",462
"9606.ENSP00000226317","9606.ENSP00000263341",791
"9606.ENSP00000243924","9606.ENSP00000263341",484
"9606.ENSP00000255409","9606.ENSP00000263341",500
"9606.ENSP00000260227","9606.ENSP00000263341",664
"9606.ENSP00000263341","9606.ENSP00000267953",678
"9606.ENSP00000257264","9606.ENSP00000279441",511
"9606.ENSP00000260227","9606.ENSP00000279441",696
"9606.ENSP00000263341","9606.ENSP00000279441",674
"9606.ENSP00000226317","9606.ENSP00000286758",554
"9606.ENSP00000249887","9606.ENSP00000286758",584
"9606.ENSP00000255409","9606.ENSP00000286758",405
"9606.ENSP00000263341","9606.ENSP00000286758",610
"9606.ENSP00000242261","9606.ENSP00000294338",441
"9606.ENSP00000226317","9606.ENSP00000296026",668
"9606.ENSP00000263341","9606.ENSP00000296026",857
"9606.ENSP00000286758","9606.ENSP00000296026",600
"9606.ENSP00000226317","9606.ENSP00000296027",843
"9606.ENSP00000260227","9606.ENSP00000296027",489
"9606.ENSP00000263341","9606.ENSP00000296027",885
"9606.ENSP00000286758","9606.ENSP00000296027",742
"9606.ENSP00000296026","9606.ENSP00000296027",703
"9606.ENSP00000233735","9606.ENSP00000297436",627
"9606.ENSP00000260227","9606.ENSP00000297436",433
"9606.ENSP00000242261","9606.ENSP00000299855",425
"9606.ENSP00000255409","9606.ENSP00000299855",518
"9606.ENSP00000263341","9606.ENSP00000299855",825
"9606.ENSP00000279441","9606.ENSP00000299855",933
"9606.ENSP00000296026","9606.ENSP00000299855",406
"9606.ENSP00000296027","9606.ENSP00000299855",539
"9606.ENSP00000226317","9606.ENSP00000302234",658
"9606.ENSP00000249887","9606.ENSP00000302234",488
"9606.ENSP00000263341","9606.ENSP00000302234",828
"9606.ENSP00000286758","9606.ENSP00000302234",651
"9606.ENSP00000296026","9606.ENSP00000302234",644
"9606.ENSP00000296027","9606.ENSP00000302234",740
"9606.ENSP00000299855","9606.ENSP00000302234",410
"9606.ENSP00000233735","9606.ENSP00000303206",922
"9606.ENSP00000297436","9606.ENSP00000303206",674
"9606.ENSP00000243924","9606.ENSP00000303532",626
"9606.ENSP00000263341","9606.ENSP00000303532",653
"9606.ENSP00000297436","9606.ENSP00000303532",577
"9606.ENSP00000226317","9606.ENSP00000306512",588
