"gene","degree","clustering_coeff","module"
"IL1B",22,0.545454545454546,"Module_1"
"MMP9",22,0.532467532467532,"Module_1"
"CXCL8",21,0.542857142857143,"Module_1"
"CXCL1",19,0.666666666666667,"Module_1"
"CXCL5",17,0.75,"Module_1"
"CXCL2",17,0.735294117647059,"Module_1"
"CXCL3",15,0.80952380952381,"Module_1"
"CCL11",15,0.780952380952381,"Module_1"
"CXCL11",15,0.723809523809524,"Module_1"
"CXCL13",14,0.736263736263736,"Module_1"
"MMP1",14,0.681318681318681,"Module_1"
"CCL18",14,0.824175824175824,"Module_1"
"CXCR2",13,0.935897435897436,"Module_1"
"CXCL6",12,0.984848484848485,"Module_1"
"MMP3",12,0.787878787878788,"Module_1"
"MMP7",11,0.745454545454545,"Module_1"
"SPP1",10,0.866666666666667,"Module_1"
"MMP10",9,0.805555555555556,"Module_1"
"IL33",9,0.972222222222222,"Module_1"
"CHI3L1",8,0.75,"Module_1"
"NOS2",7,0.809523809523809,"Module_1"
"IDO1",4,0.833333333333333,"Module_1"
"TCN1",3,1,"Module_1"
"ACKR4",3,1,"Module_1"
"BCL2A1",3,1,"Module_1"
"CCN1",1,0,"Module_1"
