"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","5/7","309/18805",0.0161812297734628,43.4697179842811,14.5257319976306,2.37121256655226e-08,1.25437144770615e-05,5.81571082112292e-06,"CXCL11/CXCL5/IL1B/CXCL8/CXCL1",5
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","4/7","136/18805",0.0294117647058824,79.0126050420168,17.6194369264258,9.00751988410227e-08,2.38248900934505e-05,1.10460638578728e-05,"CXCL11/CXCL5/CXCL8/CXCL1",4
"GO:0006935","chemotaxis","5/7","466/18805",0.0107296137339056,28.8243408951563,11.7367630614859,1.84389178276315e-07,2.49110658847066e-05,1.15496534695784e-05,"CXCL11/CXCL5/IL1B/CXCL8/CXCL1",5
"GO:0042330","taxis","5/7","468/18805",0.0106837606837607,28.70115995116,11.7104897329073,1.88363447143339e-07,2.49110658847066e-05,1.15496534695784e-05,"CXCL11/CXCL5/IL1B/CXCL8/CXCL1",5
"GO:0019730","antimicrobial humoral response","4/7","185/18805",0.0216216216216216,58.0849420849421,15.0569118999335,3.10137900167243e-07,3.28125898376944e-05,1.52130801555722e-05,"CXCL11/CXCL5/CXCL8/CXCL1",4
"GO:0030595","leukocyte chemotaxis","4/7","234/18805",0.0170940170940171,45.9218559218559,13.3433934776246,7.94284336961992e-07,7.00294023754823e-05,3.24681141249376e-05,"CXCL11/CXCL5/IL1B/CXCL8",4
"GO:0060326","cell chemotaxis","4/7","325/18805",0.0123076923076923,33.0637362637363,11.2518295174002,2.94232823009561e-06,0.000196441718127612,9.10773461819393e-05,"CXCL11/CXCL5/IL1B/CXCL8",4
"GO:0030593","neutrophil chemotaxis","3/7","84/18805",0.0357142857142857,95.9438775510204,16.8290811480659,2.97076322310188e-06,0.000196441718127612,9.10773461819393e-05,"CXCL5/IL1B/CXCL8",3
"GO:1990266","neutrophil migration","3/7","107/18805",0.0280373831775701,75.3204272363151,14.877187184093,6.1656256417043e-06,0.000337673132191698,0.000156557237689117,"CXCL5/IL1B/CXCL8",3
"GO:0050900","leukocyte migration","4/7","395/18805",0.010126582278481,27.2043399638336,10.1569472590284,6.38323501307557e-06,0.000337673132191698,0.000156557237689117,"CXCL11/CXCL5/IL1B/CXCL8",4
"GO:0031640","killing of cells of another organism","3/7","119/18805",0.0252100840336134,67.7250900360144,14.0903829168392,8.4894298381645e-06,0.000354293674283156,0.00016426311035315,"CXCL11/CXCL8/CXCL1",3
"GO:0141061","disruption of cell in another organism","3/7","119/18805",0.0252100840336134,67.7250900360144,14.0903829168392,8.4894298381645e-06,0.000354293674283156,0.00016426311035315,"CXCL11/CXCL8/CXCL1",3
"GO:0071621","granulocyte chemotaxis","3/7","122/18805",0.0245901639344262,66.059718969555,13.9119212314824,9.14916501761479e-06,0.000354293674283156,0.00016426311035315,"CXCL5/IL1B/CXCL8",3
"GO:0141060","disruption of anatomical structure in another organism","3/7","123/18805",0.024390243902439,65.5226480836237,13.8538784680819,9.37639213603816e-06,0.000354293674283156,0.00016426311035315,"CXCL11/CXCL8/CXCL1",3
"GO:0097530","granulocyte migration","3/7","149/18805",0.0201342281879195,54.0891658676894,12.5547505484948,1.66702195432292e-05,0.000587903075891216,0.000272572712531397,"CXCL5/IL1B/CXCL8",3
"GO:0060353","regulation of cell adhesion molecule production","2/7","20/18805",0.1,268.642857142857,23.1091182125892,2.24953707091932e-05,0.0007437531940727,0.000344830353634343,"IL1B/CXCL8",2
"GO:0060352","cell adhesion molecule production","2/7","23/18805",0.0869565217391304,233.60248447205,21.5390065205309,2.99384288865376e-05,0.000931613463586965,0.00043192903594819,"IL1B/CXCL8",2
"GO:0071222","cellular response to lipopolysaccharide","3/7","232/18805",0.0129310344827586,34.7383004926108,9.97802260977662,6.25485754872028e-05,0.00183823313515168,0.000852270063656039,"CXCL5/IL1B/CXCL8",3
"GO:0097529","myeloid leukocyte migration","3/7","237/18805",0.0126582278481013,34.005424954792,9.86723011838965,6.66451832972405e-05,0.00185554220864422,0.000860295163892357,"CXCL5/IL1B/CXCL8",3
"GO:0071219","cellular response to molecule of bacterial origin","3/7","246/18805",0.0121951219512195,32.7613240418118,9.67625232843198,7.44565848483356e-05,0.00196937666923848,0.00091307285629801,"CXCL5/IL1B/CXCL8",3
"GO:0001906","cell killing","3/7","263/18805",0.0114068441064639,30.6436719174362,9.34221596192202,9.08075702907758e-05,0.00228748593732478,0.00106055959286971,"CXCL11/CXCL8/CXCL1",3
"GO:0071216","cellular response to biotic stimulus","3/7","273/18805",0.010989010989011,29.5211930926217,9.16022592833245,0.000101444024226574,0.00243926767344807,0.00113093098778908,"CXCL5/IL1B/CXCL8",3
"GO:0032496","response to lipopolysaccharide","3/7","357/18805",0.00840336134453781,22.5750300120048,7.9419873361662,0.000224384457456833,0.00516084252150716,0.00239274959210261,"CXCL5/IL1B/CXCL8",3
"GO:0002237","response to molecule of bacterial origin","3/7","379/18805",0.0079155672823219,21.2646061062948,7.69060589933589,0.00026765545969121,0.0058995724240271,0.0027352509696514,"CXCL5/IL1B/CXCL8",3
"GO:0071347","cellular response to interleukin-1","2/7","88/18805",0.0227272727272727,61.0551948051948,10.8966277446292,0.000447786414278644,0.00947516052613611,0.00439302040113365,"IL1B/CXCL8",2
"GO:0070555","response to interleukin-1","2/7","116/18805",0.0172413793103448,46.3177339901478,9.44762109201399,0.000776363509300856,0.0157960114007751,0.007323590998668,"IL1B/CXCL8",2
"GO:0001659","temperature homeostasis","2/7","184/18805",0.0108695652173913,29.2003105590062,7.41787688684867,0.00193610453559499,0.0379333073825834,0.0175872263857167,"IL1B/LCN2",2
"GO:0045766","positive regulation of angiogenesis","2/7","192/18805",0.0104166666666667,27.983630952381,7.25205572902426,0.00210560305054832,0.0396008177686798,0.0183603433292257,"IL1B/CXCL8",2
"GO:1904018","positive regulation of vasculature development","2/7","195/18805",0.0102564102564103,27.5531135531136,7.19246720691839,0.00217093329922819,0.0396008177686798,0.0183603433292257,"IL1B/CXCL8",2
