"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","6/7","95/9446",0.0631578947368421,85.2270676691729,22.4683646381225,6.12607727268054e-12,3.4306032727011e-10,1.48315555022792e-10,"CXCL5/MMP1/IL1B/CXCL8/LCN2/CXCL1",6
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","5/7","95/9446",0.0526315789473684,71.0225563909774,18.6791772932848,1.9128276732785e-09,5.35591748517979e-08,2.31552823607397e-08,"CXCL5/MMP1/IL1B/CXCL8/CXCL1",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","4/7","100/9446",0.04,53.9771428571429,14.5031604664626,4.03968099003772e-07,7.54073784807042e-06,3.26009343055676e-06,"CXCL11/CXCL5/CXCL8/CXCL1",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","5/7","298/9446",0.0167785234899329,22.6414189837009,10.3375540988924,6.02728239204684e-07,8.43819534886557e-06,3.64809197413361e-06,"CXCL11/CXCL5/IL1B/CXCL8/CXCL1",5
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","4/7","193/9446",0.0207253886010363,27.9674315321984,10.3077521237669,5.63608528984282e-06,6.31241552462396e-05,2.72905182455547e-05,"CXCL11/CXCL5/CXCL8/CXCL1",4
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","3/7","56/9446",0.0535714285714286,72.2908163265306,14.5707468590156,6.79329987013111e-06,6.34041321212237e-05,2.74115608794764e-05,"IL1B/CXCL8/CXCL1",3
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","4/7","216/9446",0.0185185185185185,24.989417989418,9.71253830851324,8.81938580536902e-06,7.05550864429521e-05,3.05031388757124e-05,"MMP1/IL1B/CXCL8/CXCL1",4
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","3/7","78/9446",0.0384615384615385,51.9010989010989,12.2924380087227,1.85134370659507e-05,0.000129594059461655,5.6027506910114e-05,"CXCL5/IL1B/CXCL8",3
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","3/7","103/9446",0.029126213592233,39.3037447988904,10.6439709660892,4.26950857334188e-05,0.000253273207508852,0.000109497815276384,"IL1B/CXCL8/CXCL1",3
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","3/7","105/9446",0.0285714285714286,38.5551020408163,10.5378962373126,4.52273584837236e-05,0.000253273207508852,0.000109497815276384,"IL1B/CXCL8/CXCL1",3
