"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045236","CXCR chemokine receptor binding","3/7","17/18639",0.176470588235294,469.890756302521,37.4888317284317,2.20065129777806e-08,4.84143285511173e-07,2.08482754526343e-07,"CXCL11/CXCL5/CXCL8",3
"GO:0008009","chemokine activity","3/7","45/18639",0.0666666666666667,177.514285714286,22.9783393612232,4.57156903125703e-07,5.02872593438273e-06,2.16548006743754e-06,"CXCL11/CXCL5/CXCL8",3
"GO:0005125","cytokine activity","4/7","234/18639",0.0170940170940171,45.5164835164835,13.2824993894505,8.22745514890988e-07,6.03346710920058e-06,2.5981437312347e-06,"CXCL11/CXCL5/IL1B/CXCL8",4
"GO:0005126","cytokine receptor binding","4/7","275/18639",0.0145454545454545,38.7303896103896,12.2177977209347,1.5670845777508e-06,8.41747956580427e-06,3.62475196613581e-06,"CXCL11/CXCL5/IL1B/CXCL8",4
"GO:0042379","chemokine receptor binding","3/7","72/18639",0.0416666666666667,110.946428571429,18.1173820264244,1.91306353768279e-06,8.41747956580427e-06,3.62475196613581e-06,"CXCL11/CXCL5/CXCL8",3
"GO:0001664","G protein-coupled receptor binding","3/7","297/18639",0.0101010101010101,26.8961038961039,8.71983455271483,0.000133686382231343,0.000490183401514923,0.000211083761417909,"CXCL11/CXCL5/CXCL8",3
"GO:0008201","heparin binding","2/7","172/18639",0.0116279069767442,30.9617940199336,7.65160951987548,0.00172463017449479,0.0054202662626979,0.00233408595044407,"CXCL11/CXCL8",2
"GO:0005539","glycosaminoglycan binding","2/7","242/18639",0.00826446280991736,22.0059031877214,6.37520969592584,0.00337711875483486,0.00928707657579587,0.00399921957809391,"CXCL11/CXCL8",2
"GO:1901681","sulfur compound binding","2/7","275/18639",0.00727272727272727,19.3651948051948,5.94698961639251,0.00433732585323953,0.00989715596219318,0.00426193318946118,"CXCL11/CXCL8",2
"GO:0005527","macrolide binding","1/7","12/18639",0.0833333333333333,221.892857142857,14.8361007637823,0.00449870725554236,0.00989715596219318,0.00426193318946118,"LCN2",1
"GO:0005149","interleukin-1 receptor binding","1/7","16/18639",0.0625,166.419642857143,12.8304291989032,0.00599441617256724,0.0119888323451345,0.00516265507685217,"IL1B",1
"GO:0140313","molecular sequestering activity","1/7","55/18639",0.0181818181818182,48.412987012987,6.82539828468351,0.0204769262040512,0.0375410313740938,0.0161659943716193,"LCN2",1
